day,timestamp,product,side,price,quantity,source
-2,4000,EMERALDS,SELL,10008,6,MARKET_TRADE
-2,5200,EMERALDS,BUY,9992,5,MARKET_TRADE
-2,10500,EMERALDS,SELL,10008,5,MARKET_TRADE
-2,11300,EMERALDS,BUY,9992,3,MARKET_TRADE
-2,35600,EMERALDS,BUY,9992,5,MARKET_TRADE
-2,38300,EMERALDS,SELL,10008,4,MARKET_TRADE
-2,38800,EMERALDS,BUY,9992,6,MARKET_TRADE
-2,42100,EMERALDS,SELL,10008,6,MARKET_TRADE
-2,45700,EMERALDS,SELL,10008,4,MARKET_TRADE
-2,47000,EMERALDS,SELL,10008,4,MARKET_TRADE
-2,53500,EMERALDS,BUY,9992,6,MARKET_TRADE
-2,62900,EMERALDS,SELL,10008,5,MARKET_TRADE
-2,65500,EMERALDS,BUY,9992,5,MARKET_TRADE
-2,84300,EMERALDS,BUY,9992,6,MARKET_TRADE
-2,91000,EMERALDS,SELL,10008,3,MARKET_TRADE
-2,92800,EMERALDS,BUY,9992,6,MARKET_TRADE
-2,104300,EMERALDS,SELL,10008,6,MARKET_TRADE
-2,111900,EMERALDS,BUY,9992,6,MARKET_TRADE
-2,120700,EMERALDS,BUY,9992,6,MARKET_TRADE
-2,123000,EMERALDS,BUY,9992,6,MARKET_TRADE
-2,125900,EMERALDS,BUY,9992,4,MARKET_TRADE
-2,127200,EMERALDS,SELL,10008,6,MARKET_TRADE
-2,129700,EMERALDS,BUY,9992,3,MARKET_TRADE
-2,132600,EMERALDS,SELL,10008,5,MARKET_TRADE
-2,140400,EMERALDS,SELL,10008,6,MARKET_TRADE
-2,140600,EMERALDS,BUY,9992,5,MARKET_TRADE
-2,143800,EMERALDS,SELL,10008,5,MARKET_TRADE
-2,149200,EMERALDS,BUY,9992,6,MARKET_TRADE
-2,156400,EMERALDS,BUY,9992,6,MARKET_TRADE
-2,159600,EMERALDS,BUY,9992,6,MARKET_TRADE
-2,159700,EMERALDS,SELL,10008,6,MARKET_TRADE
-2,159900,EMERALDS,SELL,10008,6,MARKET_TRADE
-2,164000,EMERALDS,BUY,9992,3,MARKET_TRADE
-2,178600,EMERALDS,BUY,9992,5,MARKET_TRADE
-2,192900,EMERALDS,SELL,10008,6,MARKET_TRADE
-2,193700,EMERALDS,BUY,9992,5,MARKET_TRADE
-2,194100,EMERALDS,BUY,9992,5,MARKET_TRADE
-2,207600,EMERALDS,SELL,10008,3,MARKET_TRADE
-2,209900,EMERALDS,BUY,9992,6,MARKET_TRADE
