day,timestamp,global_ts,equity_total,pnl_total,pnl_TOMATOES,pnl_EMERALDS
-2,0,0,0.0,0.0,0.0,0.0
-2,100,100,0.0,0.0,0.0,0.0
-2,200,200,0.0,0.0,0.0,0.0
-2,300,300,0.0,0.0,0.0,0.0
-2,400,400,0.0,0.0,0.0,0.0
-2,500,500,0.0,0.0,0.0,0.0
-2,600,600,0.0,0.0,0.0,0.0
-2,700,700,0.0,0.0,0.0,0.0
-2,800,800,0.0,0.0,0.0,0.0
-2,900,900,0.0,0.0,0.0,0.0
-2,1000,1000,0.0,0.0,0.0,0.0
-2,1100,1100,0.0,0.0,0.0,0.0
-2,1200,1200,0.0,0.0,0.0,0.0
-2,1300,1300,0.0,0.0,0.0,0.0
-2,1400,1400,0.0,0.0,0.0,0.0
-2,1500,1500,0.0,0.0,0.0,0.0
-2,1600,1600,0.0,0.0,0.0,0.0
-2,1700,1700,0.0,0.0,0.0,0.0
-2,1800,1800,0.0,0.0,0.0,0.0
-2,1900,1900,0.0,0.0,0.0,0.0
-2,2000,2000,0.0,0.0,0.0,0.0
-2,2100,2100,0.0,0.0,0.0,0.0
-2,2200,2200,0.0,0.0,0.0,0.0
-2,2300,2300,0.0,0.0,0.0,0.0
-2,2400,2400,0.0,0.0,0.0,0.0
-2,2500,2500,0.0,0.0,0.0,0.0
-2,2600,2600,0.0,0.0,0.0,0.0
-2,2700,2700,0.0,0.0,0.0,0.0
-2,2800,2800,0.0,0.0,0.0,0.0
-2,2900,2900,0.0,0.0,0.0,0.0
-2,3000,3000,0.0,0.0,0.0,0.0
-2,3100,3100,0.0,0.0,0.0,0.0
-2,3200,3200,0.0,0.0,0.0,0.0
-2,3300,3300,0.0,0.0,0.0,0.0
-2,3400,3400,0.0,0.0,0.0,0.0
-2,3500,3500,0.0,0.0,0.0,0.0
-2,3600,3600,0.0,0.0,0.0,0.0
-2,3700,3700,0.0,0.0,0.0,0.0
-2,3800,3800,0.0,0.0,0.0,0.0
-2,3900,3900,0.0,0.0,0.0,0.0
-2,4000,4000,0.0,0.0,0.0,0.0
-2,4100,4100,48.0,48.0,0.0,48.0
-2,4200,4200,48.0,48.0,0.0,48.0
-2,4300,4300,48.0,48.0,0.0,48.0
-2,4400,4400,48.0,48.0,0.0,48.0
-2,4500,4500,48.0,48.0,0.0,48.0
-2,4600,4600,48.0,48.0,0.0,48.0
-2,4700,4700,48.0,48.0,0.0,48.0
-2,4800,4800,48.0,48.0,0.0,48.0
-2,4900,4900,48.0,48.0,0.0,48.0
-2,5000,5000,48.0,48.0,0.0,48.0
-2,5100,5100,48.0,48.0,0.0,48.0
-2,5200,5200,48.0,48.0,0.0,48.0
-2,5300,5300,88.0,88.0,0.0,88.0
-2,5400,5400,88.0,88.0,0.0,88.0
-2,5500,5500,88.0,88.0,0.0,88.0
-2,5600,5600,88.0,88.0,0.0,88.0
-2,5700,5700,88.0,88.0,0.0,88.0
-2,5800,5800,88.0,88.0,0.0,88.0
-2,5900,5900,84.0,84.0,0.0,84.0
-2,6000,6000,88.0,88.0,0.0,88.0
-2,6100,6100,88.0,88.0,0.0,88.0
-2,6200,6200,88.0,88.0,0.0,88.0
-2,6300,6300,88.0,88.0,0.0,88.0
-2,6400,6400,88.0,88.0,0.0,88.0
-2,6500,6500,88.0,88.0,0.0,88.0
-2,6600,6600,88.0,88.0,0.0,88.0
