day,timestamp,product,side,price,quantity,source
-2,700,EMERALDS,BUY,10000,6,AGGRESSIVE
-2,900,TOMATOES,SELL,5008,2,MARKET_TRADE
-2,1700,TOMATOES,SELL,5006,3,MARKET_TRADE
-2,2500,EMERALDS,SELL,10000,8,AGGRESSIVE
-2,3300,TOMATOES,BUY,4993,11,AGGRESSIVE
-2,3800,EMERALDS,BUY,10000,9,AGGRESSIVE
-2,4000,EMERALDS,SELL,10008,7,MARKET_TRADE
-2,4100,TOMATOES,SELL,5002,3,MARKET_TRADE
-2,5200,EMERALDS,BUY,9992,5,MARKET_TRADE
-2,5900,EMERALDS,SELL,10000,8,AGGRESSIVE
-2,6700,TOMATOES,BUY,4988,5,MARKET_TRADE
-2,7100,TOMATOES,SELL,5000,3,MARKET_TRADE
-2,7500,EMERALDS,BUY,10000,6,AGGRESSIVE
-2,8200,TOMATOES,SELL,4994,5,AGGRESSIVE
-2,10500,EMERALDS,SELL,10008,5,MARKET_TRADE
-2,11200,EMERALDS,SELL,10000,5,AGGRESSIVE
-2,11200,TOMATOES,BUY,4985,4,MARKET_TRADE
-2,11300,EMERALDS,BUY,9992,3,MARKET_TRADE
-2,12300,EMERALDS,BUY,10000,9,AGGRESSIVE
-2,12700,TOMATOES,SELL,4999,2,MARKET_TRADE
-2,14100,TOMATOES,SELL,4998,2,MARKET_TRADE
-2,14300,EMERALDS,SELL,10000,7,AGGRESSIVE
-2,14600,EMERALDS,BUY,10000,8,AGGRESSIVE
-2,14900,EMERALDS,BUY,10000,9,AGGRESSIVE
-2,17100,TOMATOES,BUY,4986,4,MARKET_TRADE
-2,17800,TOMATOES,BUY,4986,5,MARKET_TRADE
-2,18000,TOMATOES,SELL,4990,3,AGGRESSIVE
-2,18700,TOMATOES,SELL,4993,3,AGGRESSIVE
-2,21900,EMERALDS,SELL,10000,6,AGGRESSIVE
-2,22800,EMERALDS,SELL,10000,6,AGGRESSIVE
-2,24000,TOMATOES,SELL,5001,5,MARKET_TRADE
-2,24100,EMERALDS,BUY,10000,6,AGGRESSIVE
-2,26800,TOMATOES,BUY,4994,12,AGGRESSIVE
-2,27100,EMERALDS,SELL,10000,9,AGGRESSIVE
-2,27200,EMERALDS,SELL,10000,10,AGGRESSIVE
-2,27700,TOMATOES,SELL,4994,3,AGGRESSIVE
-2,28700,TOMATOES,SELL,4995,12,AGGRESSIVE
-2,29100,EMERALDS,SELL,10000,6,AGGRESSIVE
-2,30500,TOMATOES,BUY,4996,8,AGGRESSIVE
-2,31400,EMERALDS,SELL,10000,9,AGGRESSIVE
-2,32700,TOMATOES,SELL,5004,3,MARKET_TRADE
-2,35000,EMERALDS,BUY,10000,6,AGGRESSIVE
-2,35100,EMERALDS,SELL,10000,10,AGGRESSIVE
-2,35600,EMERALDS,BUY,9992,5,MARKET_TRADE
-2,38300,EMERALDS,SELL,10008,4,MARKET_TRADE
-2,38800,EMERALDS,BUY,9992,6,MARKET_TRADE
-2,39000,TOMATOES,SELL,5005,5,MARKET_TRADE
-2,41700,TOMATOES,BUY,4989,2,MARKET_TRADE
-2,42100,EMERALDS,SELL,10008,8,MARKET_TRADE
-2,42400,EMERALDS,BUY,10000,10,AGGRESSIVE
-2,42800,EMERALDS,BUY,10000,6,AGGRESSIVE
-2,43200,TOMATOES,BUY,4991,3,MARKET_TRADE
-2,45700,EMERALDS,SELL,10008,4,MARKET_TRADE
-2,46000,EMERALDS,SELL,10000,10,AGGRESSIVE
-2,47000,EMERALDS,SELL,10008,4,MARKET_TRADE
-2,49400,EMERALDS,SELL,10000,8,AGGRESSIVE
-2,51500,TOMATOES,BUY,4998,2,MARKET_TRADE
-2,51800,EMERALDS,BUY,10000,10,AGGRESSIVE
-2,53500,EMERALDS,BUY,9992,6,MARKET_TRADE
-2,53600,EMERALDS,BUY,10000,7,AGGRESSIVE
-2,62900,EMERALDS,SELL,10008,5,MARKET_TRADE
-2,64500,EMERALDS,SELL,10000,9,AGGRESSIVE
-2,64900,EMERALDS,BUY,10000,8,AGGRESSIVE
-2,65000,TOMATOES,SELL,5017,5,MARKET_TRADE
-2,65500,EMERALDS,BUY,9992,5,MARKET_TRADE
-2,67000,TOMATOES,SELL,5020,5,MARKET_TRADE
-2,67500,EMERALDS,BUY,10000,5,AGGRESSIVE
-2,68300,TOMATOES,SELL,5021,2,MARKET_TRADE
-2,69000,TOMATOES,BUY,5005,5,MARKET_TRADE
-2,69100,EMERALDS,BUY,10000,8,AGGRESSIVE
-2,70300,EMERALDS,BUY,10000,9,AGGRESSIVE
-2,71300,EMERALDS,BUY,10000,7,AGGRESSIVE
-2,71500,TOMATOES,BUY,5013,5,AGGRESSIVE
-2,71900,EMERALDS,SELL,10000,9,AGGRESSIVE
-2,73400,EMERALDS,SELL,10000,7,AGGRESSIVE
-2,73400,TOMATOES,SELL,5022,5,MARKET_TRADE
-2,76400,TOMATOES,BUY,5014,3,AGGRESSIVE
-2,77700,EMERALDS,SELL,10000,7,AGGRESSIVE
-2,78200,EMERALDS,SELL,10000,10,AGGRESSIVE
