day,timestamp,product,side,price,quantity,source
-2,900,TOMATOES,SELL,5008,2,MARKET_TRADE
-2,1700,TOMATOES,SELL,5006,3,MARKET_TRADE
-2,3300,TOMATOES,BUY,4993,11,AGGRESSIVE
-2,4000,EMERALDS,SELL,10008,6,MARKET_TRADE
-2,4100,TOMATOES,SELL,5002,3,MARKET_TRADE
-2,5200,EMERALDS,BUY,9992,5,MARKET_TRADE
-2,6700,TOMATOES,BUY,4988,4,MARKET_TRADE
-2,7100,TOMATOES,SELL,5000,3,MARKET_TRADE
-2,10500,EMERALDS,SELL,10008,5,MARKET_TRADE
-2,11200,TOMATOES,BUY,4985,3,MARKET_TRADE
-2,11300,EMERALDS,BUY,9992,3,MARKET_TRADE
-2,12700,TOMATOES,SELL,4999,2,MARKET_TRADE
-2,14100,TOMATOES,SELL,4998,2,MARKET_TRADE
-2,17100,TOMATOES,BUY,4986,3,MARKET_TRADE
-2,17800,TOMATOES,BUY,4986,3,MARKET_TRADE
-2,18700,TOMATOES,SELL,4993,3,AGGRESSIVE
-2,24000,TOMATOES,SELL,5001,5,MARKET_TRADE
-2,27300,TOMATOES,BUY,4988,3,MARKET_TRADE
-2,32700,TOMATOES,SELL,5004,3,MARKET_TRADE
-2,35600,EMERALDS,BUY,9992,5,MARKET_TRADE
-2,38300,EMERALDS,SELL,10008,4,MARKET_TRADE
-2,38800,EMERALDS,BUY,9992,6,MARKET_TRADE
-2,39000,TOMATOES,SELL,5005,4,MARKET_TRADE
-2,41700,TOMATOES,BUY,4989,2,MARKET_TRADE
-2,42100,EMERALDS,SELL,10008,6,MARKET_TRADE
-2,43200,TOMATOES,BUY,4991,3,MARKET_TRADE
-2,45700,EMERALDS,SELL,10008,4,MARKET_TRADE
-2,47000,EMERALDS,SELL,10008,4,MARKET_TRADE
-2,51500,TOMATOES,BUY,4998,2,MARKET_TRADE
-2,53500,EMERALDS,BUY,9992,6,MARKET_TRADE
-2,62900,EMERALDS,SELL,10008,5,MARKET_TRADE
-2,65000,TOMATOES,SELL,5017,5,MARKET_TRADE
-2,65500,EMERALDS,BUY,9992,5,MARKET_TRADE
-2,67000,TOMATOES,SELL,5020,4,MARKET_TRADE
-2,68300,TOMATOES,SELL,5021,2,MARKET_TRADE
-2,68700,TOMATOES,SELL,5020,3,MARKET_TRADE
