day;timestamp;product;fair_value;position;cash;mtm_pnl
-2;0;EMERALDS;10000.0;0;0.0;0.0
-2;0;TOMATOES;5000.0;0;0.0;0.0
-2;100;EMERALDS;10000.0;0;0.0;0.0
-2;100;TOMATOES;5000.5;0;0.0;0.0
-2;200;EMERALDS;10000.0;0;0.0;0.0
-2;200;TOMATOES;5000.25;0;0.0;0.0
-2;300;EMERALDS;10000.0;0;0.0;0.0
-2;300;TOMATOES;4999.5;0;0.0;0.0
-2;400;EMERALDS;10000.0;0;0.0;0.0
-2;400;TOMATOES;5000.25;0;0.0;0.0
-2;500;EMERALDS;10000.0;0;0.0;0.0
-2;500;TOMATOES;5000.5;0;0.0;0.0
-2;600;EMERALDS;10000.0;0;0.0;0.0
-2;600;TOMATOES;5001.0;0;0.0;0.0
-2;700;EMERALDS;10000.0;0;0.0;0.0
-2;700;TOMATOES;5001.25;0;0.0;0.0
-2;800;EMERALDS;10000.0;0;0.0;0.0
-2;800;TOMATOES;5001.5;0;0.0;0.0
-2;900;EMERALDS;10000.0;0;0.0;0.0
-2;900;TOMATOES;5001.25;0;0.0;0.0
-2;1000;EMERALDS;10000.0;0;0.0;0.0
-2;1000;TOMATOES;5001.0;0;0.0;0.0
-2;1100;EMERALDS;10000.0;0;0.0;0.0
-2;1100;TOMATOES;5000.75;0;0.0;0.0
-2;1200;EMERALDS;10000.0;0;0.0;0.0
-2;1200;TOMATOES;5001.25;0;0.0;0.0
-2;1300;EMERALDS;10000.0;0;0.0;0.0
-2;1300;TOMATOES;5001.5;0;0.0;0.0
-2;1400;EMERALDS;10000.0;0;0.0;0.0
-2;1400;TOMATOES;5002.25;0;0.0;0.0
-2;1500;EMERALDS;10000.0;0;0.0;0.0
-2;1500;TOMATOES;5002.25;0;0.0;0.0
-2;1600;EMERALDS;10000.0;0;0.0;0.0
-2;1600;TOMATOES;5002.0;0;0.0;0.0
-2;1700;EMERALDS;10000.0;0;0.0;0.0
-2;1700;TOMATOES;5001.5;0;0.0;0.0
-2;1800;EMERALDS;10000.0;0;0.0;0.0
-2;1800;TOMATOES;5001.0;2;-9990.0;12.0
-2;1900;EMERALDS;10000.0;0;0.0;0.0
-2;1900;TOMATOES;5000.75;5;-24975.0;28.75
-2;2000;EMERALDS;10000.0;-6;60042.0;42.0
-2;2000;TOMATOES;5000.5;5;-24975.0;27.5
-2;2100;EMERALDS;10000.0;-6;60042.0;42.0
-2;2100;TOMATOES;5000.5;5;-24975.0;27.5
-2;2200;EMERALDS;10000.0;-6;60042.0;42.0
-2;2200;TOMATOES;5000.25;5;-24975.0;26.25
-2;2300;EMERALDS;10000.0;-6;60042.0;42.0
-2;2300;TOMATOES;5000.25;5;-24975.0;26.25
-2;2400;EMERALDS;10000.0;-6;60042.0;42.0
