session_id,total_pnl,emerald_pnl,tomato_pnl,emerald_position,tomato_position,emerald_cash,tomato_cash,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
0,13178.0,6545.0,6633.0,35,6,-343455.0,-23166.0,1.3016699418896993,0.9981325580280358,0.6494348700263487,0.9956687258882837,0.6522350718633507,0.9983005934884632
1,13985.0,7151.0,6834.0,52,-6,-512849.0,36654.0,1.3622467125459672,0.9968288333552463,0.6671007239030072,0.9916667929345812,0.6951459886429598,0.9962894179901632
2,13678.0,7298.0,6380.0,-39,8,397298.0,-33980.0,1.3166622277556224,0.9963084533241678,0.684738205459382,0.9921845278737865,0.6319240222962402,0.9974153423123708
3,14925.25,8116.0,6809.25,-43,5,438116.0,-19062.0,1.4809484851874848,0.9984785647534409,0.8060479521864795,0.9971863809705077,0.6749005330010053,0.9975950809603805
4,14307.75,7505.0,6802.75,-23,5,237505.0,-18286.0,1.3723351233148513,0.9978959329247707,0.7444965161749652,0.9952743734318389,0.627838607139886,0.9951789987611539
5,13544.25,6750.0,6794.25,-32,5,326750.0,-18132.0,1.3289555820445558,0.9984102150754163,0.6708915119109151,0.9967944913803185,0.6580640701336407,0.998102131724302
6,14323.5,7706.0,6617.5,-47,1,477706.0,1627.0,1.4369550583675506,0.9978259143731526,0.8112965433369654,0.9929899341956205,0.6256585150305851,0.9991350869185607
7,12866.0,6209.0,6657.0,-6,-1,66209.0,11563.0,1.2398913104774132,0.9987862422972553,0.5581424810594248,0.9938603031941701,0.6817488294179883,0.9971478195301392
8,14641.5,7208.0,7433.5,17,6,-162792.0,-22391.0,1.443263194396132,0.9989847315584627,0.71819600803196,0.9949265608637065,0.7250671863641719,0.9982446607899302
9,12774.0,6794.0,5980.0,-32,-6,326794.0,35953.0,1.2131514400165144,0.996654583687414,0.6292027049680271,0.9917704274251443,0.5839487350484873,0.9979598036396673
10,13657.0,7141.0,6516.0,-54,0,547141.0,6516.0,1.3871490537894906,0.9984612595388453,0.7113421560034215,0.9964073109464546,0.675806897786069,0.9972621110882413
11,14900.75,7132.0,7768.75,34,-5,-332868.0,32895.0,1.4569967238784673,0.9968582551938316,0.6989677721036778,0.9916886470637357,0.7580289517747896,0.9978884417654956
