day,bucket,time_start,time_end,end_gap_model_D_minus_C,bucket_gap_change,avg_pos_C,avg_pos_model_D,avg_pos_gap_model_D_minus_C
-2,0,0,99900,-9837.5,-9837.5,56.42242242242242,6.2492492492492495,-50.173173173173176
-2,1,100000,199900,-21032.0,-11169.0,61.20941883767535,5.342685370741483,-55.866733466933866
-2,2,200000,299900,-31600.0,-10618.0,54.84384384384384,7.93993993993994,-46.9039039039039
-2,3,300000,399900,-40591.0,-9047.0,48.80220883534137,8.635542168674698,-40.166666666666664
-2,4,400000,499900,-50899.0,-10294.0,56.0970970970971,11.007007007007006,-45.090090090090094
-2,5,500000,599900,-61993.0,-10864.0,56.892892892892895,10.863863863863864,-46.029029029029026
-2,6,600000,699900,-70538.0,-8545.0,55.55855855855856,9.516516516516516,-46.04204204204204
-2,7,700000,799900,-79595.0,-8973.0,59.492492492492495,12.675675675675675,-46.81681681681682
-2,8,800000,899900,-87869.5,-8274.5,53.212637913741226,11.110330992978938,-42.10230692076229
-2,9,900000,999900,-94508.0,-6580.0,49.73873873873874,14.74874874874875,-34.989989989989986
-1,0,0,99900,-10012.0,-10012.0,57.3436873747495,6.260521042084168,-51.08316633266533
-1,1,100000,199900,-19407.0,-9464.0,53.662988966900706,5.694082246740221,-47.96890672016048
-1,2,200000,299900,-27590.5,-8183.5,44.39679358717435,7.875751503006012,-36.521042084168336
-1,3,300000,399900,-36967.0,-9429.0,56.02502502502502,8.571571571571571,-47.453453453453456
-1,4,400000,499900,-44894.0,-7981.0,53.22444889779559,10.404809619238478,-42.81963927855711
-1,5,500000,599900,-53683.0,-8579.0,52.83583583583584,9.80980980980981,-43.026026026026024
-1,6,600000,699900,-62564.5,-8881.5,49.4964964964965,8.641641641641641,-40.85485485485486
-1,7,700000,799900,-70733.0,-8045.5,45.886886886886884,10.481481481481481,-35.4054054054054
-1,8,800000,899900,-78549.0,-7954.0,50.15747241725175,10.828485456369107,-39.328986960882645
-1,9,900000,999900,-85067.0,-6688.0,44.08408408408408,11.403403403403404,-32.68068068068068
0,0,0,99900,-7361.5,-7361.5,46.09939759036145,5.553212851405623,-40.54618473895582
0,1,100000,199900,-15153.0,-7561.0,45.46038114343029,4.752256770310932,-40.70812437311936
0,2,200000,299900,-21481.0,-6262.0,36.14328657314629,4.726452905811623,-31.416833667334668
0,3,300000,399900,-28219.0,-7128.0,43.55511022044088,6.216432865731463,-37.33867735470942
0,4,400000,499900,-35852.0,-7633.0,46.467,6.18,-40.287
0,5,500000,599900,-43947.0,-8256.0,51.98194583751254,11.872617853560682,-40.10932798395186
0,6,600000,699900,-51984.0,-8037.0,50.6391959798995,12.526633165829146,-38.11256281407035
0,7,700000,799900,-57273.5,-5346.5,38.46492985971944,8.443887775551103,-30.021042084168336
0,8,800000,899900,-63530.0,-6309.0,41.789,9.03,-32.759
0,9,900000,999900,-71616.0,-8086.0,54.884,15.007,-39.877
