model,day,realized_pepper_pnl,ideal_hold_pnl_80,drift_capture_ratio,avg_position,avg_position_early,avg_position_mid,avg_position_late,frac_time_ge_20,frac_time_ge_40,frac_time_ge_60,frac_time_ge_80,first_reach_20_ts,first_reach_40_ts,first_reach_60_ts,sell_count,sold_qty,buy_count,buy_qty,inventory_reducing_sell_count,inventory_reducing_sell_qty,sell_lost_upside_upper_bound,sells_while_inv_lt_40,sold_qty_while_inv_lt_40,fill_count,turnover_qty,aggressive_fill_share,maker_share
model_C,-2,47917.5,80240.0,0.5971772183449651,55.22876602564103,56.87590144230769,54.439434926360086,54.37098227696005,0.9965945512820513,0.8713942307692307,0.4205729166666667,0.0,2200.0,5100.0,5200.0,392,2808,429,2871,392,2808,1359531.0,50,341,821,5679.0,0.7831912302070646,0.21680876979293545
model_C,-1,41834.0,79960.0,0.5231865932966483,50.710608033657216,52.001202645820804,54.10997596153846,46.022829678582156,0.9836722428127818,0.7443654212160673,0.3194430531904237,0.0,3400.0,4300.0,4800.0,401,2943,438,2974,401,2943,1457127.0,103,702,839,5917.0,0.8164481525625745,0.1835518474374255
model_C,0,40744.0,80120.0,0.5085371942086869,45.54744964425293,42.192897983749624,48.86349969933855,45.582882882882885,0.9903797975749074,0.6819320573203728,0.14821124361158433,0.0,2200.0,2400.0,6000.0,351,2515,392,2562,351,2515,1268610.0,96,625,743,5077.0,0.8061911170928667,0.19380888290713325
model_C,TOTAL,130495.5,240320.0,0.5430072403462051,50.49642690175649,50.36042898666934,52.47149584209999,48.658590308370044,0.9902157216322715,0.765911974888132,0.2960996460295198,0.0,2600.0,3933.3333333333335,5333.333333333333,1144,8266,1259,8407,1144,8266,4085268.0,249,1668,2403,16673.0,0.8019142738243862,0.19808572617561382
model_D,-2,-46590.5,80240.0,-0.580639332003988,9.809495192307692,6.7647235576923075,10.351668169522092,12.311504956443377,0.18078926282051283,0.010216346153846154,0.0,0.0,5200.0,91300.0,,878,7350,922,7357,749,5712,2925563.0,859,7171,1800,14707.0,0.9127777777777778,0.08722222222222223
model_D,-1,-43233.0,79960.0,-0.5406828414207103,8.997696083341681,6.603126879134095,10.055288461538462,10.332832682487233,0.1846138435340078,0.007212260843433837,0.0,0.0,4200.0,4800.0,,785,6521,820,6536,654,4982,2534245.0,766,6337,1605,13057.0,0.9202492211838006,0.07975077881619938
model_D,0,-30872.0,80120.0,-0.3853220169745382,8.431205531616394,5.178754137827265,9.2919422730006,10.817117117117117,0.14831145405351237,0.003908207235193907,0.0,0.0,5200.0,265900.0,,635,5181,665,5181,525,4004,1930009.0,619,5029,1300,10362.0,0.9030769230769231,0.09692307692307692
model_D,TOTAL,-120695.5,240320.0,-0.5022282789613848,9.079576571161423,6.182620026059938,9.899709447951107,11.15378454144974,0.17124156815601416,0.007112803045481867,0.0,0.0,4866.666666666667,120666.66666666667,,2298,19052,2407,19074,2298,14698,7389817.0,2244,18537,4705,38126.0,0.9126461211477152,0.08735387885228481
model_E,-2,74019.5,80240.0,0.9224763210368894,74.23297275641026,77.0733173076923,77.19266606552449,68.43556623610694,0.9988982371794872,0.992988782051282,0.9177684294871795,0.5180288461538461,1100.0,3600.0,5100.0,179,1119,208,1196,179,1119,356767.5,2,14,387,2315.0,0.7235142118863049,0.27648578811369506
model_E,-1,67587.0,79960.0,0.8452601300650325,71.16888710808374,76.4795550210463,75.83954326923077,61.193751877440675,0.9981969347891415,0.9745567464689973,0.8281077832314936,0.3950716217569869,1000.0,3400.0,4800.0,223,1504,261,1547,223,1504,496027.0,16,111,484,3051.0,0.7892561983471075,0.21074380165289255
model_E,0,67331.0,80120.0,0.8403769345981028,68.58252329892775,71.74240144447788,74.49518941671678,59.52372372372373,0.9987974746968634,0.9765507565888366,0.8185188896683034,0.23038380599258443,1200.0,2200.0,2400.0,219,1440,266,1505,219,1440,514880.0,9,62,485,2945.0,0.7587628865979381,0.24123711340206186
model_E,TOTAL,208937.5,240320.0,0.8694136984021305,71.32859146463635,75.09982960809863,75.8426009417894,63.05066079295154,0.9986308688973485,0.9813664596273292,0.8548053162358913,0.3811861350430775,1100.0,3066.6666666666665,4100.0,621,4063,735,4248,621,4063,1367674.5,27,187,1356,8311.0,0.7595870206489675,0.24041297935103245
