model,progress_mid,position
model_C,0.025,52.344919786096256
model_C,0.075,54.24315297261189
model_C,0.125,54.89163879598662
model_C,0.175,52.00400801603207
model_C,0.225,45.08561872909699
model_C,0.275,45.17666666666667
model_C,0.325,51.068804275217104
model_C,0.375,47.856951871657756
model_C,0.425,52.34422948632422
model_C,0.475,51.510013351134845
model_C,0.525,54.48563794255177
model_C,0.575,53.32443257676903
model_C,0.625,52.279411764705884
model_C,0.675,51.52037408149633
model_C,0.725,45.505003335557035
model_C,0.775,50.40080160320641
model_C,0.825,49.06751336898396
model_C,0.875,47.692923898531376
model_C,0.925,45.71247498332222
model_C,0.975,53.42895263509006
model_D,0.025,6.127673796791444
model_D,0.075,5.915163660654643
model_D,0.125,6.182608695652174
model_D,0.175,4.344689378757515
model_D,0.225,7.426086956521739
model_D,0.275,6.271333333333334
model_D,0.325,7.938543754175017
model_D,0.375,7.676470588235294
model_D,0.425,9.058705803869247
model_D,0.475,9.333110814419225
model_D,0.525,10.999331997327989
model_D,0.575,10.696929238985314
model_D,0.625,10.870989304812834
model_D,0.675,9.579826319305278
model_D,0.725,9.19212808539026
model_D,0.775,11.878423513694054
model_D,0.825,8.932486631016042
model_D,0.875,11.708945260347129
model_D,0.925,11.788525683789192
model_D,0.975,15.651767845230154
model_E,0.025,73.02673796791444
model_E,0.075,77.7935871743487
model_E,0.125,75.38193979933111
model_E,0.175,78.18370073480294
model_E,0.225,71.86555183946489
model_E,0.275,75.41
model_E,0.325,74.25718102872412
model_E,0.375,76.27473262032086
model_E,0.425,75.20413609072715
model_E,0.475,75.47930574098798
model_E,0.525,74.91449565798263
model_E,0.575,76.41455273698264
model_E,0.625,76.33489304812834
model_E,0.675,73.47561790247161
model_E,0.725,65.86324216144097
model_E,0.775,66.38610554442218
model_E,0.825,64.80815508021391
model_E,0.875,60.3497997329773
model_E,0.925,54.78519012675117
model_E,0.975,60.40426951300867
