model,day,realized_pepper_pnl,ideal_hold_pnl_80,drift_capture_ratio,avg_position,avg_position_early,avg_position_mid,avg_position_late,gap_to_ideal_early,gap_to_ideal_mid,gap_to_ideal_late,sell_qty_early,sell_qty_mid,sell_qty_late,lost_upside_early,lost_upside_mid,lost_upside_late,frac_below_60_early,frac_below_60_mid,frac_below_60_late,frac_below_70_early,frac_below_70_mid,frac_below_70_late,frac_below_80_early,frac_below_80_mid,frac_below_80_late,sell_count,sold_qty,buy_count,buy_qty,turnover_qty,aggressive_fill_share
model_C,-2,47917.5,80240.0,0.5971772183449651,55.22876602564103,56.87590144230769,54.439434926360086,54.37098227696005,23.124098557692307,25.560565073639914,25.62901772303995,864.0,936.0,1008.0,707630.0,481665.0,170236.0,0.4924879807692308,0.62639014126841,0.6194052267948332,0.8665865384615384,0.8262699128343853,0.8651246620606788,1.0,1.0,1.0,392,2808.0,429.0,2871.0,5679.0,0.7831912302070646
model_C,-1,41834.0,79960.0,0.5231865932966483,50.710608033657216,52.001202645820804,54.10997596153846,46.022829678582156,27.998797354179196,25.89002403846154,33.977170321417844,929.0,1017.0,997.0,765124.0,509569.0,182434.0,0.6313890559230306,0.6631610576923077,0.7470711925503154,0.8418520745640409,0.8278245192307693,0.9408230699909883,1.0,1.0,1.0,401,2943.0,438.0,2974.0,5917.0,0.8164481525625745
model_C,0,40744.0,80120.0,0.5085371942086869,45.54744964425293,42.192897983749624,48.86349969933855,45.582882882882885,37.807102016250376,31.136500300661453,34.417117117117115,850.0,809.0,856.0,716332.0,411304.0,140974.0,0.8904604273247065,0.7994588093806374,0.8654654654654654,0.9891664158892567,0.9906794948887553,0.9762762762762762,1.0,1.0,1.0,351,2515.0,392.0,2562.0,5077.0,0.8061911170928667
model_C,TOTAL,130495.5,240320.0,0.5430072403462051,50.49642690175649,50.36042898666934,52.47149584209999,48.658590308370044,29.63957101333066,27.52850415790001,31.341409691629956,2643.0,2762.0,2861.0,2189086.0,1402538.0,493644.0,0.6713440914102435,0.6963230137260795,0.7439927913496196,0.8991680865991781,0.8815749924857229,0.9274128954745695,1.0,1.0,1.0,1144,8266.0,,,16673.0,0.8019142738243862
model_E,-2,74019.5,80240.0,0.9224763210368894,74.23297275641026,77.0733173076923,77.19266606552449,68.43556623610694,2.9266826923076934,2.8073339344755084,11.564433763893064,193.0,225.0,701.0,155977.5,110944.5,89845.5,0.01953125,0.013225127742711151,0.21387804145389006,0.09915865384615384,0.06642620979861737,0.4562931811354761,0.3272235576923077,0.401863540727382,0.7167317512766597,179,1119.0,208.0,1196.0,2315.0,0.7235142118863049
model_E,-1,67587.0,79960.0,0.8452601300650325,71.16888710808374,76.4795550210463,75.83954326923077,61.193751877440675,3.520444978953705,4.160456730769226,18.806248122559325,209.0,377.0,918.0,171019.0,188037.0,136971.0,0.023752254960914012,0.01893028846153846,0.4728146590567738,0.07336139506915214,0.13611778846153846,0.6164013217182337,0.4326518340348767,0.5339543269230769,0.8480024031240613,223,1504.0,261.0,1547.0,3051.0,0.7892561983471075
model_E,0,67331.0,80120.0,0.8403769345981028,68.58252329892775,71.74240144447788,74.49518941671678,59.52372372372373,8.257598555522122,5.504810583283216,20.476276276276273,263.0,360.0,817.0,217375.0,179697.0,117808.0,0.06740896780018056,0.01803968731208659,0.45855855855855854,0.3581101414384592,0.2312086590499098,0.8009009009009009,0.7102016250376166,0.6181599518941672,0.9801801801801802,219,1440.0,266.0,1505.0,2945.0,0.7587628865979381
model_E,TOTAL,208937.5,240320.0,0.8694136984021305,71.32859146463635,75.09982960809863,75.8426009417894,63.05066079295154,4.900170391901369,4.157399058210601,16.94933920704846,665.0,962.0,2436.0,544371.5,478678.5,344624.5,0.03688483512077779,0.01673179040176335,0.381758109731678,0.17680665530720657,0.14457469191463782,0.6245494593512214,0.48992683171293977,0.5179841699228535,0.8483179815778935,621,4063.0,,,8311.0,0.7595870206489675
model_E_plus_1,-2,74058.5,80240.0,0.9229623629112662,74.33583733974359,77.0733173076923,77.19266606552449,68.74406728747371,2.9266826923076934,2.8073339344755084,11.255932712526288,193.0,225.0,692.0,155977.5,110944.5,87939.0,0.01953125,0.013225127742711151,0.2135776509462301,0.09915865384615384,0.06642620979861737,0.4550916191048363,0.3272235576923077,0.401863540727382,0.7125262841694202,178,1110.0,207.0,1187.0,2297.0,0.7220779220779221
model_E_plus_1,-1,67756.0,79960.0,0.8473736868434217,71.29660422718622,76.4795550210463,75.83954326923077,61.57674977470712,3.520444978953705,4.160456730769226,18.423250225292882,209.0,377.0,900.0,171019.0,188037.0,132255.0,0.023752254960914012,0.01893028846153846,0.4556924001201562,0.07336139506915214,0.13611778846153846,0.6109942925803544,0.4326518340348767,0.5339543269230769,0.8474016221087414,221,1486.0,259.0,1529.0,3015.0,0.7916666666666666
