day,bucket,time_start,time_end,gap_end_vs_ideal,gap_change_within_bucket,avg_position,avg_gap_to_ideal_inventory
-2,0,0,99900,-706.0,-706.0,75.52152152152152,4.478478478478478
-2,1,100000,199900,-894.0,-188.0,78.3186372745491,1.6813627254509018
-2,2,200000,299900,-747.0,147.0,77.57757757757757,2.4224224224224224
-2,3,300000,399900,-560.0,180.0,77.85642570281125,2.143574297188755
-2,4,400000,499900,-930.0,-382.0,75.82082082082083,4.1791791791791795
-2,5,500000,599900,-728.0,202.0,77.68268268268268,2.3173173173173174
-2,6,600000,699900,-837.5,-109.5,76.84484484484484,3.155155155155155
-2,7,700000,799900,-1030.0,-185.0,75.29029029029029,4.70970970970971
-2,8,800000,899900,-2292.0,-1262.0,66.51755265797392,13.482447342026079
-2,9,900000,999900,-6220.5,-3889.5,60.8988988988989,19.1011011011011
-1,0,0,99900,-583.0,-583.0,76.07615230460922,3.9238476953907817
-1,1,100000,199900,-612.0,-29.0,78.64192577733199,1.358074222668004
-1,2,200000,299900,-1205.0,-593.0,75.37675350701403,4.623246492985972
-1,3,300000,399900,-1663.0,-464.0,75.67967967967968,4.32032032032032
-1,4,400000,499900,-1681.0,-18.0,76.76152304609218,3.2384769539078158
-1,5,500000,599900,-2556.0,-833.0,74.29629629629629,5.703703703703703
-1,6,600000,699900,-3176.0,-620.0,73.93293293293293,6.067067067067067
-1,7,700000,799900,-4901.0,-1671.0,65.1951951951952,14.804804804804805
-1,8,800000,899900,-7643.5,-2742.5,63.29388164493481,16.706118355065197
-1,9,900000,999900,-12373.0,-5078.0,52.448448448448445,27.55155155155155
0,0,0,99900,-879.5,-879.5,74.63353413654619,5.366465863453815
0,1,100000,199900,-1551.0,-658.0,73.38916750250752,6.610832497492478
0,2,200000,299900,-2742.0,-1191.0,67.96392785571142,12.036072144288577
0,3,300000,399900,-3279.0,-647.0,72.26553106212425,7.734468937875752
0,4,400000,499900,-3628.0,-349.0,73.446,6.554
0,5,500000,599900,-3777.5,-149.5,75.01404212637914,4.985957873620863
0,6,600000,699900,-4176.0,-398.5,73.93266331658292,6.067336683417086
0,7,700000,799900,-6679.0,-2521.0,57.879759519038075,22.120240480961925
0,8,800000,899900,-10029.0,-3350.0,57.935,22.065
0,9,900000,999900,-12789.0,-2760.0,59.435,20.565
