model,product,official_day_-2_pnl,official_day_-1_pnl,official_day_0_pnl,official_total_pnl
model_C,ASH_COATED_OSMIUM,18037.5,19867.0,18885.0,56789.5
model_C,INTARIAN_PEPPER_ROOT,40881.0,35091.0,35794.0,111766.0
model_E,ASH_COATED_OSMIUM,18037.5,19867.0,18885.0,56789.5
model_E,INTARIAN_PEPPER_ROOT,72203.5,64326.0,63375.0,199904.5
model_E_plus_1,ASH_COATED_OSMIUM,18037.5,19867.0,18885.0,56789.5
model_E_plus_1,INTARIAN_PEPPER_ROOT,72482.5,64593.0,63385.0,200460.5
model_E_plus_2,ASH_COATED_OSMIUM,18037.5,19867.0,18885.0,56789.5
model_E_plus_2,INTARIAN_PEPPER_ROOT,72203.5,64402.0,63375.0,199980.5
model_E_plus_3,ASH_COATED_OSMIUM,18037.5,19867.0,18885.0,56789.5
model_E_plus_3,INTARIAN_PEPPER_ROOT,73910.0,66891.0,65037.0,205838.0
