model,day,total_pnl
model_C,-2,68019.0
model_C,-1,63832.0
model_C,0,61622.0
model_E,-2,94121.0
model_E,-1,89585.0
model_E,0,88209.0
model_E_plus_3,-2,95095.5
model_E_plus_3,-1,91311.0
model_E_plus_3,0,89700.0
model_E_plus_4,-2,95093.5
model_E_plus_4,-1,91295.0
model_E_plus_4,0,89677.0
model_E_plus_5,-2,95006.5
model_E_plus_5,-1,91288.0
model_E_plus_5,0,90525.0
model_E_plus_6,-2,95075.5
model_E_plus_6,-1,91311.0
model_E_plus_6,0,89712.0
model_E_plus_7,-2,94976.5
model_E_plus_7,-1,91265.0
model_E_plus_7,0,90531.0
model_E_plus_8,-2,94976.5
model_E_plus_8,-1,91265.0
model_E_plus_8,0,90531.0
