model,product,day,pnl
model_C,ASH_COATED_OSMIUM,-2,20101.5
model_C,ASH_COATED_OSMIUM,-1,21998.0
model_C,ASH_COATED_OSMIUM,0,20878.0
model_C,INTARIAN_PEPPER_ROOT,-2,47917.5
model_C,INTARIAN_PEPPER_ROOT,-1,41834.0
model_C,INTARIAN_PEPPER_ROOT,0,40744.0
model_E,ASH_COATED_OSMIUM,-2,20101.5
model_E,ASH_COATED_OSMIUM,-1,21998.0
model_E,ASH_COATED_OSMIUM,0,20878.0
model_E,INTARIAN_PEPPER_ROOT,-2,74019.5
model_E,INTARIAN_PEPPER_ROOT,-1,67587.0
model_E,INTARIAN_PEPPER_ROOT,0,67331.0
model_E_plus_3,ASH_COATED_OSMIUM,-2,20101.5
model_E_plus_3,ASH_COATED_OSMIUM,-1,21998.0
model_E_plus_3,ASH_COATED_OSMIUM,0,20878.0
model_E_plus_3,INTARIAN_PEPPER_ROOT,-2,74994.0
model_E_plus_3,INTARIAN_PEPPER_ROOT,-1,69313.0
model_E_plus_3,INTARIAN_PEPPER_ROOT,0,68822.0
model_E_plus_4,ASH_COATED_OSMIUM,-2,20101.5
model_E_plus_4,ASH_COATED_OSMIUM,-1,21998.0
model_E_plus_4,ASH_COATED_OSMIUM,0,20878.0
model_E_plus_4,INTARIAN_PEPPER_ROOT,-2,74992.0
model_E_plus_4,INTARIAN_PEPPER_ROOT,-1,69297.0
model_E_plus_4,INTARIAN_PEPPER_ROOT,0,68799.0
model_E_plus_5,ASH_COATED_OSMIUM,-2,20101.5
model_E_plus_5,ASH_COATED_OSMIUM,-1,21998.0
model_E_plus_5,ASH_COATED_OSMIUM,0,20878.0
model_E_plus_5,INTARIAN_PEPPER_ROOT,-2,74905.0
model_E_plus_5,INTARIAN_PEPPER_ROOT,-1,69290.0
model_E_plus_5,INTARIAN_PEPPER_ROOT,0,69647.0
model_E_plus_6,ASH_COATED_OSMIUM,-2,20101.5
model_E_plus_6,ASH_COATED_OSMIUM,-1,21998.0
model_E_plus_6,ASH_COATED_OSMIUM,0,20878.0
model_E_plus_6,INTARIAN_PEPPER_ROOT,-2,74974.0
model_E_plus_6,INTARIAN_PEPPER_ROOT,-1,69313.0
model_E_plus_6,INTARIAN_PEPPER_ROOT,0,68834.0
model_E_plus_7,ASH_COATED_OSMIUM,-2,20101.5
model_E_plus_7,ASH_COATED_OSMIUM,-1,21998.0
model_E_plus_7,ASH_COATED_OSMIUM,0,20878.0
model_E_plus_7,INTARIAN_PEPPER_ROOT,-2,74875.0
model_E_plus_7,INTARIAN_PEPPER_ROOT,-1,69267.0
model_E_plus_7,INTARIAN_PEPPER_ROOT,0,69653.0
model_E_plus_8,ASH_COATED_OSMIUM,-2,20101.5
model_E_plus_8,ASH_COATED_OSMIUM,-1,21998.0
model_E_plus_8,ASH_COATED_OSMIUM,0,20878.0
model_E_plus_8,INTARIAN_PEPPER_ROOT,-2,74875.0
model_E_plus_8,INTARIAN_PEPPER_ROOT,-1,69267.0
model_E_plus_8,INTARIAN_PEPPER_ROOT,0,69653.0
