model,day,product,official_pnl
model_C,-2,ASH_COATED_OSMIUM,18037.5
model_C,-2,INTARIAN_PEPPER_ROOT,40881.0
model_C,-1,ASH_COATED_OSMIUM,19867.0
model_C,-1,INTARIAN_PEPPER_ROOT,35091.0
model_C,0,ASH_COATED_OSMIUM,18885.0
model_C,0,INTARIAN_PEPPER_ROOT,35794.0
model_E,-2,ASH_COATED_OSMIUM,18037.5
model_E,-2,INTARIAN_PEPPER_ROOT,72203.5
model_E,-1,ASH_COATED_OSMIUM,19867.0
model_E,-1,INTARIAN_PEPPER_ROOT,64326.0
model_E,0,ASH_COATED_OSMIUM,18885.0
model_E,0,INTARIAN_PEPPER_ROOT,63375.0
model_E_plus_3,-2,ASH_COATED_OSMIUM,18037.5
model_E_plus_3,-2,INTARIAN_PEPPER_ROOT,73910.0
model_E_plus_3,-1,ASH_COATED_OSMIUM,19867.0
model_E_plus_3,-1,INTARIAN_PEPPER_ROOT,66891.0
model_E_plus_3,0,ASH_COATED_OSMIUM,18885.0
model_E_plus_3,0,INTARIAN_PEPPER_ROOT,65037.0
model_E_plus_4,-2,ASH_COATED_OSMIUM,18037.5
model_E_plus_4,-2,INTARIAN_PEPPER_ROOT,73932.0
model_E_plus_4,-1,ASH_COATED_OSMIUM,19867.0
model_E_plus_4,-1,INTARIAN_PEPPER_ROOT,66982.0
model_E_plus_4,0,ASH_COATED_OSMIUM,18885.0
model_E_plus_4,0,INTARIAN_PEPPER_ROOT,65127.0
model_E_plus_5,-2,ASH_COATED_OSMIUM,18037.5
model_E_plus_5,-2,INTARIAN_PEPPER_ROOT,73730.0
model_E_plus_5,-1,ASH_COATED_OSMIUM,19867.0
model_E_plus_5,-1,INTARIAN_PEPPER_ROOT,66982.0
model_E_plus_5,0,ASH_COATED_OSMIUM,18885.0
model_E_plus_5,0,INTARIAN_PEPPER_ROOT,65080.0
model_E_plus_6,-2,ASH_COATED_OSMIUM,18037.5
model_E_plus_6,-2,INTARIAN_PEPPER_ROOT,73954.0
model_E_plus_6,-1,ASH_COATED_OSMIUM,19867.0
model_E_plus_6,-1,INTARIAN_PEPPER_ROOT,66991.0
model_E_plus_6,0,ASH_COATED_OSMIUM,18885.0
model_E_plus_6,0,INTARIAN_PEPPER_ROOT,65152.0
model_E_plus_7,-2,ASH_COATED_OSMIUM,18037.5
model_E_plus_7,-2,INTARIAN_PEPPER_ROOT,73777.0
model_E_plus_7,-1,ASH_COATED_OSMIUM,19867.0
model_E_plus_7,-1,INTARIAN_PEPPER_ROOT,67115.0
model_E_plus_7,0,ASH_COATED_OSMIUM,18885.0
model_E_plus_7,0,INTARIAN_PEPPER_ROOT,65191.0
model_E_plus_8,-2,ASH_COATED_OSMIUM,18037.5
model_E_plus_8,-2,INTARIAN_PEPPER_ROOT,73777.0
model_E_plus_8,-1,ASH_COATED_OSMIUM,19867.0
model_E_plus_8,-1,INTARIAN_PEPPER_ROOT,67115.0
model_E_plus_8,0,ASH_COATED_OSMIUM,18885.0
model_E_plus_8,0,INTARIAN_PEPPER_ROOT,65191.0
