model,day,session_bucket,avg_inventory,avg_gap_to_80,estimated_gap_drag
model_E_plus_3,-2,early,24.705882352941178,55.294117647058826,306.0
model_E_plus_3,-2,late,74.72461429867903,5.275385701320964,6133.5
model_E_plus_3,-2,mid,59.21212121212121,20.78787878787879,109.0
model_E_plus_3,-1,early,17.705882352941178,62.294117647058826,405.0
model_E_plus_3,-1,late,72.12968939088343,7.870310609116579,9378.5
model_E_plus_3,-1,mid,62.96969696969697,17.03030303030303,-110.0
model_E_plus_3,0,early,32.470588235294116,47.529411764705884,658.0
model_E_plus_3,0,late,69.50090799031477,10.49909200968523,12721.5
model_E_plus_3,0,mid,73.18181818181819,6.818181818181818,-163.5
model_E_plus_4,-2,early,24.705882352941178,55.294117647058826,306.0
model_E_plus_4,-2,late,74.71261470202683,5.287385297973177,6141.0
model_E_plus_4,-2,mid,59.21212121212121,20.78787878787879,109.0
model_E_plus_4,-1,early,17.705882352941178,62.294117647058826,405.0
model_E_plus_4,-1,late,72.12626058894716,7.873739411052844,9380.5
model_E_plus_4,-1,mid,62.96969696969697,17.03030303030303,-110.0
model_E_plus_4,0,early,32.470588235294116,47.529411764705884,658.0
model_E_plus_4,0,late,69.47941888619854,10.520581113801454,12745.0
model_E_plus_4,0,mid,73.18181818181819,6.818181818181818,-163.5
model_E_plus_5,-2,early,24.705882352941178,55.294117647058826,306.0
model_E_plus_5,-2,late,74.71432893011999,5.285671069880004,6058.0
model_E_plus_5,-2,mid,59.21212121212121,20.78787878787879,109.0
model_E_plus_5,-1,early,17.705882352941178,62.294117647058826,405.0
model_E_plus_5,-1,late,72.15601048810004,7.843989511899959,9373.0
model_E_plus_5,-1,mid,62.96969696969697,17.03030303030303,-110.0
model_E_plus_5,0,early,32.470588235294116,47.529411764705884,658.0
model_E_plus_5,0,late,70.14124293785311,9.858757062146893,12007.0
model_E_plus_5,0,mid,73.18181818181819,6.818181818181818,-163.5
model_E_plus_6,-2,early,24.705882352941178,55.294117647058826,306.0
model_E_plus_6,-2,late,74.74226076434405,5.2577392356559445,6121.0
model_E_plus_6,-2,mid,59.21212121212121,20.78787878787879,109.0
model_E_plus_6,-1,early,17.705882352941178,62.294117647058826,405.0
model_E_plus_6,-1,late,72.12696651875757,7.8730334812424365,9378.0
model_E_plus_6,-1,mid,62.96969696969697,17.03030303030303,-110.0
model_E_plus_6,0,early,32.470588235294116,47.529411764705884,658.0
model_E_plus_6,0,late,69.49889023405973,10.501109765940274,12723.5
model_E_plus_6,0,mid,73.18181818181819,6.818181818181818,-163.5
model_E_plus_7,-2,early,24.705882352941178,55.294117647058826,306.0
model_E_plus_7,-2,late,74.73852979731774,5.261470202682263,6043.0
model_E_plus_7,-2,mid,59.21212121212121,20.78787878787879,109.0
model_E_plus_7,-1,early,17.705882352941178,62.294117647058826,405.0
model_E_plus_7,-1,late,72.14320290439693,7.856797095603066,9404.0
model_E_plus_7,-1,mid,62.96969696969697,17.03030303030303,-110.0
model_E_plus_7,0,early,32.470588235294116,47.529411764705884,658.0
model_E_plus_7,0,late,70.14457223567393,9.85542776432607,12007.0
model_E_plus_7,0,mid,73.18181818181819,6.818181818181818,-163.5
model_E_plus_8,-2,early,24.705882352941178,55.294117647058826,306.0
model_E_plus_8,-2,late,74.73852979731774,5.261470202682263,6043.0
model_E_plus_8,-2,mid,59.21212121212121,20.78787878787879,109.0
model_E_plus_8,-1,early,17.705882352941178,62.294117647058826,405.0
model_E_plus_8,-1,late,72.14320290439693,7.856797095603066,9404.0
model_E_plus_8,-1,mid,62.96969696969697,17.03030303030303,-110.0
model_E_plus_8,0,early,32.470588235294116,47.529411764705884,658.0
model_E_plus_8,0,late,70.14457223567393,9.85542776432607,12007.0
model_E_plus_8,0,mid,73.18181818181819,6.818181818181818,-163.5
