model,product,day,pnl
model_E_plus_3,ASH_COATED_OSMIUM,-2,20101.5
model_E_plus_3,ASH_COATED_OSMIUM,-1,21998.0
model_E_plus_3,ASH_COATED_OSMIUM,0,20878.0
model_E_plus_3,INTARIAN_PEPPER_ROOT,-2,74994.0
model_E_plus_3,INTARIAN_PEPPER_ROOT,-1,69313.0
model_E_plus_3,INTARIAN_PEPPER_ROOT,0,68822.0
model_E_plus_6,ASH_COATED_OSMIUM,-2,20101.5
model_E_plus_6,ASH_COATED_OSMIUM,-1,21998.0
model_E_plus_6,ASH_COATED_OSMIUM,0,20878.0
model_E_plus_6,INTARIAN_PEPPER_ROOT,-2,74974.0
model_E_plus_6,INTARIAN_PEPPER_ROOT,-1,69313.0
model_E_plus_6,INTARIAN_PEPPER_ROOT,0,68834.0
model_E_plus_9,ASH_COATED_OSMIUM,-2,20101.5
model_E_plus_9,ASH_COATED_OSMIUM,-1,21998.0
model_E_plus_9,ASH_COATED_OSMIUM,0,20878.0
model_E_plus_9,INTARIAN_PEPPER_ROOT,-2,74976.0
model_E_plus_9,INTARIAN_PEPPER_ROOT,-1,69346.0
model_E_plus_9,INTARIAN_PEPPER_ROOT,0,68834.0
model_E_plus_10,ASH_COATED_OSMIUM,-2,20101.5
model_E_plus_10,ASH_COATED_OSMIUM,-1,21998.0
model_E_plus_10,ASH_COATED_OSMIUM,0,20878.0
model_E_plus_10,INTARIAN_PEPPER_ROOT,-2,74976.0
model_E_plus_10,INTARIAN_PEPPER_ROOT,-1,69335.0
model_E_plus_10,INTARIAN_PEPPER_ROOT,0,68834.0
model_E_plus_11,ASH_COATED_OSMIUM,-2,20101.5
model_E_plus_11,ASH_COATED_OSMIUM,-1,21998.0
model_E_plus_11,ASH_COATED_OSMIUM,0,20878.0
model_E_plus_11,INTARIAN_PEPPER_ROOT,-2,74983.0
model_E_plus_11,INTARIAN_PEPPER_ROOT,-1,69319.0
model_E_plus_11,INTARIAN_PEPPER_ROOT,0,68865.0
model_E_plus_12,ASH_COATED_OSMIUM,-2,20101.5
model_E_plus_12,ASH_COATED_OSMIUM,-1,21998.0
model_E_plus_12,ASH_COATED_OSMIUM,0,20878.0
model_E_plus_12,INTARIAN_PEPPER_ROOT,-2,74976.0
model_E_plus_12,INTARIAN_PEPPER_ROOT,-1,69335.0
model_E_plus_12,INTARIAN_PEPPER_ROOT,0,68834.0
model_E_plus_13,ASH_COATED_OSMIUM,-2,20101.5
model_E_plus_13,ASH_COATED_OSMIUM,-1,21998.0
model_E_plus_13,ASH_COATED_OSMIUM,0,20878.0
model_E_plus_13,INTARIAN_PEPPER_ROOT,-2,74985.0
model_E_plus_13,INTARIAN_PEPPER_ROOT,-1,69341.0
model_E_plus_13,INTARIAN_PEPPER_ROOT,0,68865.0
