model,day,product,official_pnl
model_E_plus_3,-2,ASH_COATED_OSMIUM,18037.5
model_E_plus_3,-2,INTARIAN_PEPPER_ROOT,73910.0
model_E_plus_3,-1,ASH_COATED_OSMIUM,19867.0
model_E_plus_3,-1,INTARIAN_PEPPER_ROOT,66891.0
model_E_plus_3,0,ASH_COATED_OSMIUM,18885.0
model_E_plus_3,0,INTARIAN_PEPPER_ROOT,65037.0
model_E_plus_6,-2,ASH_COATED_OSMIUM,18037.5
model_E_plus_6,-2,INTARIAN_PEPPER_ROOT,73954.0
model_E_plus_6,-1,ASH_COATED_OSMIUM,19867.0
model_E_plus_6,-1,INTARIAN_PEPPER_ROOT,66991.0
model_E_plus_6,0,ASH_COATED_OSMIUM,18885.0
model_E_plus_6,0,INTARIAN_PEPPER_ROOT,65152.0
model_E_plus_9,-2,ASH_COATED_OSMIUM,18037.5
model_E_plus_9,-2,INTARIAN_PEPPER_ROOT,73945.0
model_E_plus_9,-1,ASH_COATED_OSMIUM,19867.0
model_E_plus_9,-1,INTARIAN_PEPPER_ROOT,67009.0
model_E_plus_9,0,ASH_COATED_OSMIUM,18885.0
model_E_plus_9,0,INTARIAN_PEPPER_ROOT,65145.0
model_E_plus_10,-2,ASH_COATED_OSMIUM,18037.5
model_E_plus_10,-2,INTARIAN_PEPPER_ROOT,73945.0
model_E_plus_10,-1,ASH_COATED_OSMIUM,19867.0
model_E_plus_10,-1,INTARIAN_PEPPER_ROOT,67001.0
model_E_plus_10,0,ASH_COATED_OSMIUM,18885.0
model_E_plus_10,0,INTARIAN_PEPPER_ROOT,65151.0
model_E_plus_11,-2,ASH_COATED_OSMIUM,18037.5
model_E_plus_11,-2,INTARIAN_PEPPER_ROOT,73962.0
model_E_plus_11,-1,ASH_COATED_OSMIUM,19867.0
model_E_plus_11,-1,INTARIAN_PEPPER_ROOT,66996.0
model_E_plus_11,0,ASH_COATED_OSMIUM,18885.0
model_E_plus_11,0,INTARIAN_PEPPER_ROOT,65181.0
model_E_plus_12,-2,ASH_COATED_OSMIUM,18037.5
model_E_plus_12,-2,INTARIAN_PEPPER_ROOT,73951.0
model_E_plus_12,-1,ASH_COATED_OSMIUM,19867.0
model_E_plus_12,-1,INTARIAN_PEPPER_ROOT,67001.0
model_E_plus_12,0,ASH_COATED_OSMIUM,18885.0
model_E_plus_12,0,INTARIAN_PEPPER_ROOT,65151.0
model_E_plus_13,-2,ASH_COATED_OSMIUM,18037.5
model_E_plus_13,-2,INTARIAN_PEPPER_ROOT,73959.0
model_E_plus_13,-1,ASH_COATED_OSMIUM,19867.0
model_E_plus_13,-1,INTARIAN_PEPPER_ROOT,67006.0
model_E_plus_13,0,ASH_COATED_OSMIUM,18885.0
model_E_plus_13,0,INTARIAN_PEPPER_ROOT,65180.0
