model,product,day,final_pnl,limit_mode
model_A,ASH_COATED_OSMIUM,-2,18037.5,external_no_limit
model_A,ASH_COATED_OSMIUM,-1,19867.0,external_no_limit
model_A,ASH_COATED_OSMIUM,0,18885.0,external_no_limit
model_A,ASH_COATED_OSMIUM,ALL,56789.5,external_no_limit
model_A,INTARIAN_PEPPER_ROOT,-2,36884.0,external_no_limit
model_A,INTARIAN_PEPPER_ROOT,-1,35805.0,external_no_limit
model_A,INTARIAN_PEPPER_ROOT,0,38616.0,external_no_limit
model_A,INTARIAN_PEPPER_ROOT,ALL,111305.0,external_no_limit
model_B,ASH_COATED_OSMIUM,-2,18037.5,external_no_limit
model_B,ASH_COATED_OSMIUM,-1,19867.0,external_no_limit
model_B,ASH_COATED_OSMIUM,0,18885.0,external_no_limit
model_B,ASH_COATED_OSMIUM,ALL,56789.5,external_no_limit
model_B,INTARIAN_PEPPER_ROOT,-2,47656.5,external_no_limit
model_B,INTARIAN_PEPPER_ROOT,-1,31907.0,external_no_limit
model_B,INTARIAN_PEPPER_ROOT,0,29122.0,external_no_limit
model_B,INTARIAN_PEPPER_ROOT,ALL,108685.5,external_no_limit
model_C,ASH_COATED_OSMIUM,-2,18037.5,external_no_limit
model_C,ASH_COATED_OSMIUM,-1,19867.0,external_no_limit
model_C,ASH_COATED_OSMIUM,0,18885.0,external_no_limit
model_C,ASH_COATED_OSMIUM,ALL,56789.5,external_no_limit
model_C,INTARIAN_PEPPER_ROOT,-2,103499.0,external_no_limit
model_C,INTARIAN_PEPPER_ROOT,-1,67560.0,external_no_limit
model_C,INTARIAN_PEPPER_ROOT,0,38768.0,external_no_limit
model_C,INTARIAN_PEPPER_ROOT,ALL,209827.0,external_no_limit
