model,product,day,day_pnl,end_cum_pnl,max_abs_position_day,avg_abs_position_day
model_A,ASH_COATED_OSMIUM,-2,20101.5,20101.5,80.0,21.54828691644961
model_A,ASH_COATED_OSMIUM,-1,21998.0,42099.5,58.0,22.79224681959331
model_A,ASH_COATED_OSMIUM,0,20878.0,62977.5,74.0,31.673442819947926
model_A,INTARIAN_PEPPER_ROOT,-2,42350.5,42350.5,65.0,37.03866185897436
model_A,INTARIAN_PEPPER_ROOT,-1,40216.0,82566.5,64.0,34.55864970449765
model_A,INTARIAN_PEPPER_ROOT,0,40520.0,123086.5,68.0,32.816314259945884
model_B,ASH_COATED_OSMIUM,-2,20101.5,20101.5,80.0,21.54828691644961
model_B,ASH_COATED_OSMIUM,-1,21998.0,42099.5,58.0,22.79224681959331
model_B,ASH_COATED_OSMIUM,0,20878.0,62977.5,74.0,31.673442819947926
model_B,INTARIAN_PEPPER_ROOT,-2,42385.5,42385.5,74.0,43.46804887820513
model_B,INTARIAN_PEPPER_ROOT,-1,39101.0,81486.5,74.0,40.293999799659424
model_B,INTARIAN_PEPPER_ROOT,0,38145.0,119631.5,72.0,36.411063232788855
model_C,ASH_COATED_OSMIUM,-2,20101.5,20101.5,80.0,21.54828691644961
model_C,ASH_COATED_OSMIUM,-1,21998.0,42099.5,58.0,22.79224681959331
model_C,ASH_COATED_OSMIUM,0,20878.0,62977.5,74.0,31.673442819947926
model_C,INTARIAN_PEPPER_ROOT,-2,47917.5,47917.5,78.0,55.22876602564103
model_C,INTARIAN_PEPPER_ROOT,-1,41834.0,89751.5,78.0,50.710608033657216
model_C,INTARIAN_PEPPER_ROOT,0,40744.0,130495.5,78.0,45.54744964425293
model_D,ASH_COATED_OSMIUM,-2,20101.5,20101.5,80.0,21.54828691644961
model_D,ASH_COATED_OSMIUM,-1,21998.0,42099.5,58.0,22.79224681959331
model_D,ASH_COATED_OSMIUM,0,20878.0,62977.5,74.0,31.673442819947926
model_D,INTARIAN_PEPPER_ROOT,-2,-46590.5,-46590.5,54.0,11.70713141025641
model_D,INTARIAN_PEPPER_ROOT,-1,-43233.0,-89823.5,52.0,11.224080937593909
model_D,INTARIAN_PEPPER_ROOT,0,-30872.0,-120695.5,54.0,10.69956909509971
