model,product,day,fills,volume,aggressive_share_day,maker_share_day
model_A,ASH_COATED_OSMIUM,-2,736,4011.0,0.4388586956521739,0.561141304347826
model_A,ASH_COATED_OSMIUM,-1,729,4011.0,0.4348422496570645,0.5651577503429356
model_A,ASH_COATED_OSMIUM,0,758,4241.0,0.4868073878627968,0.5131926121372031
model_A,INTARIAN_PEPPER_ROOT,-2,656,4025.0,0.6905487804878049,0.3094512195121951
model_A,INTARIAN_PEPPER_ROOT,-1,643,3937.0,0.7262830482115086,0.2737169517884914
model_A,INTARIAN_PEPPER_ROOT,0,579,3487.0,0.7098445595854922,0.29015544041450775
model_B,ASH_COATED_OSMIUM,-2,736,4011.0,0.4388586956521739,0.561141304347826
model_B,ASH_COATED_OSMIUM,-1,729,4011.0,0.4348422496570645,0.5651577503429356
model_B,ASH_COATED_OSMIUM,0,758,4241.0,0.4868073878627968,0.5131926121372031
model_B,INTARIAN_PEPPER_ROOT,-2,748,4945.0,0.7299465240641712,0.2700534759358289
model_B,INTARIAN_PEPPER_ROOT,-1,745,4930.0,0.7691275167785235,0.23087248322147652
model_B,INTARIAN_PEPPER_ROOT,0,643,4145.0,0.7698289269051322,0.2301710730948678
model_C,ASH_COATED_OSMIUM,-2,736,4011.0,0.4388586956521739,0.561141304347826
model_C,ASH_COATED_OSMIUM,-1,729,4011.0,0.4348422496570645,0.5651577503429356
model_C,ASH_COATED_OSMIUM,0,758,4241.0,0.4868073878627968,0.5131926121372031
model_C,INTARIAN_PEPPER_ROOT,-2,821,5679.0,0.7831912302070646,0.21680876979293545
model_C,INTARIAN_PEPPER_ROOT,-1,839,5917.0,0.8164481525625745,0.1835518474374255
model_C,INTARIAN_PEPPER_ROOT,0,743,5077.0,0.8061911170928667,0.19380888290713325
model_D,ASH_COATED_OSMIUM,-2,736,4011.0,0.4388586956521739,0.561141304347826
model_D,ASH_COATED_OSMIUM,-1,729,4011.0,0.4348422496570645,0.5651577503429356
model_D,ASH_COATED_OSMIUM,0,758,4241.0,0.4868073878627968,0.5131926121372031
model_D,INTARIAN_PEPPER_ROOT,-2,1800,14707.0,0.9127777777777778,0.08722222222222223
model_D,INTARIAN_PEPPER_ROOT,-1,1605,13057.0,0.9202492211838006,0.07975077881619938
model_D,INTARIAN_PEPPER_ROOT,0,1300,10362.0,0.9030769230769231,0.09692307692307692
