model,product,day,official_pnl
model_E_plus_11,ASH_COATED_OSMIUM,-2,18037.5
model_E_plus_11,INTARIAN_PEPPER_ROOT,-2,73962.0
model_E_plus_11,ASH_COATED_OSMIUM,-1,19867.0
model_E_plus_11,INTARIAN_PEPPER_ROOT,-1,66996.0
model_E_plus_11,ASH_COATED_OSMIUM,0,18885.0
model_E_plus_11,INTARIAN_PEPPER_ROOT,0,65181.0
model_F1,ASH_COATED_OSMIUM,-2,18037.5
model_F1,INTARIAN_PEPPER_ROOT,-2,79998.0
model_F1,ASH_COATED_OSMIUM,-1,19867.0
model_F1,INTARIAN_PEPPER_ROOT,-1,78198.0
model_F1,ASH_COATED_OSMIUM,0,18885.0
model_F1,INTARIAN_PEPPER_ROOT,0,76503.0
model_F2,ASH_COATED_OSMIUM,-2,18037.5
model_F2,INTARIAN_PEPPER_ROOT,-2,80408.0
model_F2,ASH_COATED_OSMIUM,-1,19867.0
model_F2,INTARIAN_PEPPER_ROOT,-1,79221.0
model_F2,ASH_COATED_OSMIUM,0,18885.0
model_F2,INTARIAN_PEPPER_ROOT,0,77852.0
model_F3,ASH_COATED_OSMIUM,-2,18037.5
model_F3,INTARIAN_PEPPER_ROOT,-2,79963.0
model_F3,ASH_COATED_OSMIUM,-1,19867.0
model_F3,INTARIAN_PEPPER_ROOT,-1,79261.0
model_F3,ASH_COATED_OSMIUM,0,18885.0
model_F3,INTARIAN_PEPPER_ROOT,0,78277.0
model_F4,ASH_COATED_OSMIUM,-2,18037.5
model_F4,INTARIAN_PEPPER_ROOT,-2,80215.0
model_F4,ASH_COATED_OSMIUM,-1,19867.0
model_F4,INTARIAN_PEPPER_ROOT,-1,79205.0
model_F4,ASH_COATED_OSMIUM,0,18885.0
model_F4,INTARIAN_PEPPER_ROOT,0,77809.0
model_F5,ASH_COATED_OSMIUM,-2,18037.5
model_F5,INTARIAN_PEPPER_ROOT,-2,80044.0
model_F5,ASH_COATED_OSMIUM,-1,19867.0
model_F5,INTARIAN_PEPPER_ROOT,-1,78841.0
model_F5,ASH_COATED_OSMIUM,0,18885.0
model_F5,INTARIAN_PEPPER_ROOT,0,76688.0
