day,timestamp,global_ts,product,side,price,quantity,source
-2,400,400,INTARIAN_PEPPER_ROOT,BUY,10006,12,AGGRESSIVE
-2,400,400,INTARIAN_PEPPER_ROOT,BUY,10008,6,AGGRESSIVE
-2,4000,4000,INTARIAN_PEPPER_ROOT,SELL,10007,7,AGGRESSIVE
-2,4400,4400,INTARIAN_PEPPER_ROOT,BUY,10010,9,AGGRESSIVE
-2,5100,5100,INTARIAN_PEPPER_ROOT,BUY,10007,7,AGGRESSIVE
-2,5200,5200,INTARIAN_PEPPER_ROOT,BUY,10002,5,AGGRESSIVE
-2,10500,10500,INTARIAN_PEPPER_ROOT,SELL,10013,5,AGGRESSIVE
-2,11300,11300,INTARIAN_PEPPER_ROOT,BUY,10008,3,AGGRESSIVE
-2,15000,15000,INTARIAN_PEPPER_ROOT,SELL,10021,7,MARKET_TRADE
-2,15600,15600,INTARIAN_PEPPER_ROOT,SELL,10021,3,MARKET_TRADE
-2,21800,21800,INTARIAN_PEPPER_ROOT,BUY,10023,6,AGGRESSIVE
-2,22600,22600,INTARIAN_PEPPER_ROOT,BUY,10019,7,AGGRESSIVE
-2,24100,24100,INTARIAN_PEPPER_ROOT,SELL,10019,10,AGGRESSIVE
-2,29300,29300,INTARIAN_PEPPER_ROOT,BUY,10021,6,MARKET_TRADE
-2,29400,29400,INTARIAN_PEPPER_ROOT,SELL,10035,7,MARKET_TRADE
-2,33700,33700,INTARIAN_PEPPER_ROOT,BUY,10035,5,AGGRESSIVE
-2,35100,35100,INTARIAN_PEPPER_ROOT,BUY,10032,6,AGGRESSIVE
-2,35100,35100,INTARIAN_PEPPER_ROOT,BUY,10037,5,AGGRESSIVE
-2,35200,35200,INTARIAN_PEPPER_ROOT,BUY,10032,5,AGGRESSIVE
-2,37900,37900,INTARIAN_PEPPER_ROOT,SELL,10040,4,AGGRESSIVE
-2,39900,39900,INTARIAN_PEPPER_ROOT,SELL,10042,6,AGGRESSIVE
-2,42500,42500,INTARIAN_PEPPER_ROOT,BUY,10037,3,MARKET_TRADE
-2,45100,45100,INTARIAN_PEPPER_ROOT,SELL,10048,4,AGGRESSIVE
-2,45100,45100,INTARIAN_PEPPER_ROOT,SELL,10040,12,AGGRESSIVE
-2,45900,45900,INTARIAN_PEPPER_ROOT,BUY,10038,6,MARKET_TRADE
-2,46400,46400,INTARIAN_PEPPER_ROOT,SELL,10049,4,AGGRESSIVE
-2,46400,46400,INTARIAN_PEPPER_ROOT,SELL,10041,8,AGGRESSIVE
-2,46400,46400,INTARIAN_PEPPER_ROOT,SELL,10038,6,AGGRESSIVE
-2,52600,52600,INTARIAN_PEPPER_ROOT,BUY,10058,10,AGGRESSIVE
-2,52900,52900,INTARIAN_PEPPER_ROOT,BUY,10049,6,AGGRESSIVE
-2,53000,53000,INTARIAN_PEPPER_ROOT,BUY,10049,6,AGGRESSIVE
-2,53800,53800,INTARIAN_PEPPER_ROOT,BUY,10048,4,MARKET_TRADE
-2,55300,55300,INTARIAN_PEPPER_ROOT,BUY,10052,7,AGGRESSIVE
-2,57200,57200,INTARIAN_PEPPER_ROOT,SELL,10060,8,AGGRESSIVE
-2,57200,57200,INTARIAN_PEPPER_ROOT,SELL,10052,8,AGGRESSIVE
-2,59200,59200,INTARIAN_PEPPER_ROOT,SELL,10057,5,AGGRESSIVE
-2,64300,64300,INTARIAN_PEPPER_ROOT,BUY,10061,5,AGGRESSIVE
-2,64800,64800,INTARIAN_PEPPER_ROOT,BUY,10059,6,MARKET_TRADE
-2,67400,67400,INTARIAN_PEPPER_ROOT,BUY,10064,4,AGGRESSIVE
-2,71600,71600,INTARIAN_PEPPER_ROOT,SELL,10074,7,AGGRESSIVE
-2,72400,72400,INTARIAN_PEPPER_ROOT,BUY,10067,5,MARKET_TRADE
-2,78100,78100,INTARIAN_PEPPER_ROOT,SELL,10073,9,AGGRESSIVE
-2,82700,82700,INTARIAN_PEPPER_ROOT,BUY,10088,10,AGGRESSIVE
-2,82700,82700,INTARIAN_PEPPER_ROOT,BUY,10079,8,AGGRESSIVE
-2,86600,86600,INTARIAN_PEPPER_ROOT,BUY,10083,3,AGGRESSIVE
-2,88100,88100,INTARIAN_PEPPER_ROOT,SELL,10094,6,MARKET_TRADE
-2,89000,89000,INTARIAN_PEPPER_ROOT,SELL,10092,3,AGGRESSIVE
-2,89000,89000,INTARIAN_PEPPER_ROOT,SELL,10095,6,MARKET_TRADE
-2,90800,90800,INTARIAN_PEPPER_ROOT,BUY,10087,6,AGGRESSIVE
-2,91200,91200,INTARIAN_PEPPER_ROOT,BUY,10086,5,MARKET_TRADE
-2,92200,92200,INTARIAN_PEPPER_ROOT,BUY,10089,4,AGGRESSIVE
-2,94800,94800,INTARIAN_PEPPER_ROOT,SELL,10089,8,AGGRESSIVE
-2,95500,95500,INTARIAN_PEPPER_ROOT,SELL,10090,8,AGGRESSIVE
-2,98600,98600,INTARIAN_PEPPER_ROOT,SELL,10101,3,AGGRESSIVE
-2,102000,102000,INTARIAN_PEPPER_ROOT,BUY,10096,7,MARKET_TRADE
-2,102400,102400,INTARIAN_PEPPER_ROOT,SELL,10105,8,AGGRESSIVE
-2,106300,106300,INTARIAN_PEPPER_ROOT,BUY,10103,5,AGGRESSIVE
-2,107300,107300,INTARIAN_PEPPER_ROOT,BUY,10104,8,AGGRESSIVE
-2,108200,108200,INTARIAN_PEPPER_ROOT,SELL,10114,6,MARKET_TRADE
-2,108900,108900,INTARIAN_PEPPER_ROOT,BUY,10105,7,AGGRESSIVE
-2,114500,114500,INTARIAN_PEPPER_ROOT,SELL,10120,4,MARKET_TRADE
-2,117700,117700,INTARIAN_PEPPER_ROOT,BUY,10114,8,AGGRESSIVE
-2,120000,120000,INTARIAN_PEPPER_ROOT,BUY,10116,8,AGGRESSIVE
-2,120500,120500,INTARIAN_PEPPER_ROOT,SELL,10115,10,AGGRESSIVE
-2,122000,122000,INTARIAN_PEPPER_ROOT,SELL,10116,12,AGGRESSIVE
-2,122000,122000,INTARIAN_PEPPER_ROOT,SELL,10125,3,AGGRESSIVE
-2,122700,122700,INTARIAN_PEPPER_ROOT,BUY,10119,4,AGGRESSIVE
-2,123300,123300,INTARIAN_PEPPER_ROOT,SELL,10129,4,MARKET_TRADE
-2,124000,124000,INTARIAN_PEPPER_ROOT,SELL,10127,7,AGGRESSIVE
-2,126500,126500,INTARIAN_PEPPER_ROOT,BUY,10123,3,AGGRESSIVE
-2,126500,126500,INTARIAN_PEPPER_ROOT,BUY,10132,12,AGGRESSIVE
-2,129400,129400,INTARIAN_PEPPER_ROOT,SELL,10132,5,AGGRESSIVE
-2,129400,129400,INTARIAN_PEPPER_ROOT,SELL,10124,10,AGGRESSIVE
-2,130000,130000,INTARIAN_PEPPER_ROOT,BUY,10124,4,MARKET_TRADE
-2,131400,131400,INTARIAN_PEPPER_ROOT,SELL,10139,5,MARKET_TRADE
-2,134600,134600,INTARIAN_PEPPER_ROOT,BUY,10140,10,AGGRESSIVE
-2,134600,134600,INTARIAN_PEPPER_ROOT,BUY,10129,5,MARKET_TRADE
-2,136200,136200,INTARIAN_PEPPER_ROOT,SELL,10139,7,AGGRESSIVE
-2,136200,136200,INTARIAN_PEPPER_ROOT,SELL,10131,10,AGGRESSIVE
-2,136800,136800,INTARIAN_PEPPER_ROOT,SELL,10139,8,AGGRESSIVE
-2,136900,136900,INTARIAN_PEPPER_ROOT,BUY,10142,8,AGGRESSIVE
-2,137000,137000,INTARIAN_PEPPER_ROOT,BUY,10133,5,AGGRESSIVE
-2,137000,137000,INTARIAN_PEPPER_ROOT,BUY,10143,11,AGGRESSIVE
-2,140000,140000,INTARIAN_PEPPER_ROOT,SELL,10134,10,AGGRESSIVE
-2,140000,140000,INTARIAN_PEPPER_ROOT,SELL,10132,3,AGGRESSIVE
-2,140000,140000,INTARIAN_PEPPER_ROOT,SELL,10143,5,AGGRESSIVE
-2,140700,140700,INTARIAN_PEPPER_ROOT,BUY,10142,9,AGGRESSIVE
-2,141800,141800,INTARIAN_PEPPER_ROOT,BUY,10136,5,MARKET_TRADE
-2,144100,144100,INTARIAN_PEPPER_ROOT,BUY,10136,3,MARKET_TRADE
