label,best_v,best_ev,regret_at_40,ai_version,N
N=20,42,199186.639935731,11931.460825400398,base,20
N=35,42,198904.56855624742,11794.407052707858,base,35
N=50,42,199085.70181290893,11913.12972685488,base,50
N=75,42,199123.0127010397,11853.275838676083,base,75
N=100,42,199136.21921633277,12219.044291527447,base,100
AI=base,42,199085.70181290893,11913.12972685488,base,50
AI=concentrated,42,214597.16894473156,16282.14513689201,concentrated,50
AI=higher,45,180540.0164231397,15845.140867235983,higher,50
ai_weight=15%,41,200876.2058118578,10047.98019951256,base,50
ai_weight=20%,42,200049.33768497346,10465.616163559695,base,50
ai_weight=30%,42,199085.70181290893,11913.12972685488,base,50
ai_weight=40%,46,199018.03116247084,14416.033564140205,base,50
ai_weight=50%,46,202206.88342550865,17856.99986347396,base,50
just_above_weight=10%,43,197646.18009978387,9037.546689338225,base,50
just_above_weight=15%,42,198196.4642986141,10378.77688439106,base,50
just_above_weight=20%,42,199085.70181290893,11913.12972685488,base,50
just_above_weight=25%,42,199915.89301151352,13542.917893515783,base,50
just_above_weight=30%,42,200789.77848372888,15108.88111242588,base,50
focal_weight=5%,42,199612.39494886575,12672.163249202102,base,50
focal_weight=10%,42,199085.70181290893,11913.12972685488,base,50
focal_weight=15%,42,198398.4026982747,11139.32089388385,base,50
focal_weight=20%,42,197872.89048863167,10381.468297850428,base,50
