v,mean_ev_across_scenarios,median_ev_across_scenarios,min_ev_across_scenarios,p25_ev_across_scenarios,p75_ev_across_scenarios,mean_expected_regret_across_scenarios,max_expected_regret_across_scenarios
25,54139.9328785105,54555.917406920744,37115.246274743775,54417.93478334142,54840.19486031911,152687.06811257053,172877.59072696266
26,61615.9578721461,62370.39945734656,42725.95632091769,61663.61511848098,62798.289104845906,145211.04311893496,167266.88068078874
27,63105.53406734711,63798.76992349228,42279.63459429872,63312.72460073821,64193.380977609435,143721.46692373397,167713.20240740772
28,64346.31894790887,65175.07741109198,41869.65325004707,64663.82268514155,65605.63940055553,142480.6820431722,168123.18375165935
29,65605.75994865558,66531.5926045028,41456.622117571715,66155.90866416591,67105.16767390605,141221.24104242548,168536.2148841347
30,74724.75744512666,75862.40803480461,51255.725876400465,74286.7375256138,76904.24280265247,132102.2435459544,158737.11112530596
31,89828.72361378458,91676.41375582964,67837.18161892465,87975.69605031774,92016.20230941441,116998.27737729649,142155.65538278178
32,96594.03363563752,98527.80047209137,76434.48041177854,95351.97909195318,99706.09927289489,110232.96735544354,133558.3565899279
33,108833.29589251321,110786.54236641183,89147.92614124551,109615.5719991066,111850.14992497883,97993.70509856782,124650.9895459512
34,128042.83553637138,129446.24982492275,108555.47562804549,128828.62225977497,130076.28459214454,78784.16545470968,98795.14429865287
35,148270.36646191892,148970.53614271033,125567.17206858883,148447.98614869386,150721.07862266546,58556.63452916214,77430.370671113
36,163273.1375903218,163847.79283041024,137890.34341244286,163227.33891179145,164983.915132279,43553.86340075926,60000.437787990355
37,169197.98440922517,170162.82898275153,142393.84315410795,169637.8654925221,170762.97568640576,37629.01658185589,50776.42009285948
38,174510.89112258886,175614.97305565927,146847.6697760411,175081.6790154659,176425.68327194,32316.10986849221,42305.52547181162
39,179077.98843727473,180071.41499052354,151174.3128721423,179569.878331391,180848.3546513963,27749.012553806337,37545.24322538472
40,186810.21921007428,187489.71196979829,158421.6851233634,186988.42997130848,188637.0580321849,20016.78178100677,29632.063006989698
41,197234.72459939733,198235.87428141202,170410.2842806912,197887.85804307408,198767.56575665055,9592.27639168375,17643.463849661865
42,199370.82604121824,199671.441264556,173171.45478278206,199469.87578899454,199976.91817670254,7456.174949862836,14882.293347570985
43,199584.72093030813,200063.83836157087,175323.2123801446,199677.42828633296,200559.8274133688,7242.280060772917,13593.336821533865
44,198882.79795658292,199382.62470183164,176763.60847395135,198976.09516880134,200334.61298257872,7944.203034498175,14309.300705464948
45,197282.95484255583,197783.6116445306,177587.08236041665,197347.9214614449,199101.15913322417,9544.046148525242,15937.47441282135
46,198832.5243703981,199454.7279562314,181762.60650090495,199002.10610158366,199650.84213197153,7994.476620682985,14344.18773096529
47,194281.52126373435,194666.21885683545,180800.66646889964,194223.70122743325,194826.75394353885,12545.479727346647,19245.705337073414
48,189457.68361206356,189745.96992071904,179145.32868363825,189163.19810996632,189923.3609166079,17369.317379017488,24131.446379600846
49,184598.93923295793,184797.60809508275,176994.8615046234,184309.14240849586,185081.7055521001,22228.06175812311,29044.021545441712
50,181607.1538465203,181713.44477313815,176205.54215288998,181298.8543280995,182092.93129274948,25219.847144560772,32141.227554121393
51,179049.35646172316,179222.62989854725,175571.70786504494,178614.81907191628,179352.91222303605,27777.644529357916,34670.57680234997
52,173806.58959429883,173868.56086310788,171620.5887600339,173476.05779749178,173956.39371695204,33020.411396782205,39933.23825930793
53,168478.436316003,168477.51459015365,167130.32609966933,168111.1504594081,168586.00105605405,38348.564675078036,45310.85973494586
54,163113.85086750583,163066.94316837034,161706.63797131195,162839.9785499735,163197.60278744745,43713.15012357524,50736.708767147604
55,157677.29042892111,157636.75253561448,156285.6937629352,157445.22861474505,157742.02929264866,49149.71056215992,56107.19159419269
