v,mean_pnl,std_pnl,p10,p25,p50,p75,p90,mean_multiplier,std_multiplier,p10_multiplier,p90_multiplier,mean_rank,p10_rank,p90_rank,expected_regret,p90_regret,prob_best_response,label,group
25,54255.45302558188,31806.415304362807,22349.00562596925,22349.00562596925,43785.74803366384,65222.490441358445,86659.23284905299,0.20477473684210526,0.06247299431180283,0.14210526315789473,0.2684210526315789,17.5116,16.0,19.0,159029.94284868438,204539.0073403119,0.0,N=20,N
26,61663.61511848098,33193.56994855034,21079.724825513636,42140.384033073235,63201.04324063285,84261.7024481924,105322.36165575206,0.22324210526315788,0.06636183530912605,0.14210526315789473,0.31052631578947376,17.073,15.0,19.0,151621.78075578526,197064.03795531671,0.0,N=20,N
27,63090.85086299329,33256.92761211944,19810.444025058037,40495.020032482644,61179.596039907265,81864.17204733181,102548.74805475649,0.23020631578947368,0.06769738419722593,0.14210526315789473,0.31052631578947376,16.9076,15.0,19.0,150194.545011273,197307.8512744317,0.0,N=20,N
28,64418.048476269665,33149.02845217488,18541.16322460244,38849.65603189205,59158.14883918167,79466.64164647124,99775.1344537609,0.23722105263157897,0.06872733391157261,0.14210526315789473,0.31052631578947376,16.741,15.0,19.0,148867.34739799658,194304.5355990802,0.0,N=20,N
29,66168.60233856326,33180.10470420442,17282.57703402164,37218.15541447251,57153.73379492338,97024.89055582511,116960.46893627592,0.24535578947368422,0.07007858079236891,0.14210526315789473,0.3526315789473684,16.5478,14.0,19.0,147116.793535703,194249.883836305,0.0,N=20,N
30,75091.91489260402,34380.50376020057,35603.00438827858,55169.40539131369,74735.80639434875,94302.2073973839,113868.60840041898,0.2691873684210526,0.07398397682331491,0.1842105263157895,0.3526315789473684,15.9818,14.0,18.0,138193.48098166223,183317.5416249982,0.0,N=20,N
31,90807.79584919279,36562.441459793394,53185.076987704,72382.30061332331,91579.52423894271,110776.74786456203,129973.97149018137,0.3088336842105263,0.08019238872152559,0.22631578947368425,0.39473684210526316,15.0402,13.0,17.0,122477.60002507348,169342.05987903662,0.0,N=20,N
32,97619.41380441541,37012.33230591631,51200.74858409431,70028.79483229786,88856.8410805015,126512.93357690866,145340.97982511224,0.33012210526315794,0.08277088186867747,0.22631578947368425,0.43684210526315786,14.5346,12.0,17.0,115665.98206985083,161871.6069979739,0.0002,N=20,N
33,110141.76277540694,37421.18387915331,67675.28905127241,86134.15792206029,104593.02679284808,141510.76453442374,159969.6334052116,0.36528842105263154,0.085358902863503,0.2684210526315789,0.4789473684210527,13.6994,11.0,16.0,103143.63309885934,149464.534515317,0.0004,N=20,N
34,128828.62225977497,38173.83307751276,83442.0431395917,101535.8794975024,119629.71585541315,155817.38857123462,173911.22492914536,0.41614315789473677,0.08883242092390715,0.31052631578947376,0.5210526315789474,12.4916,10.0,15.0,84456.77361449129,128207.00462367143,0.0018,N=20,N
35,148495.10249856988,38164.974837986905,98505.16190755233,116237.12153830487,151701.0407998099,169433.00043056245,204896.91969206752,0.4713347368421053,0.09062429322142963,0.3526315789473684,0.605263157894737,11.1808,8.0,14.0,64790.29337569641,105724.03483508539,0.0118,N=20,N
36,163381.0464209139,37920.89067352116,112844.5272211966,130214.6101247909,164954.77593197953,182324.8588355738,217065.02464276244,0.5172378947368421,0.09192063675527844,0.39473684210526316,0.6473684210526316,10.0906,7.0,13.0,49904.34945335239,88152.50805695602,0.0236,N=20,N
37,169797.0484180836,37146.85679440432,126460.13908052442,143468.34525696054,177484.75760983268,194492.96378626884,211501.16996270488,0.5441263157894738,0.09196020818373932,0.43684210526315786,0.6473684210526316,9.452,7.0,12.0,43488.34745618266,78692.93953460662,0.0308,N=20,N
38,175081.6790154659,36002.92454643335,122705.66803625796,155998.32693481375,172644.6563840916,205937.31528264735,222583.64473192522,0.569322105263158,0.09106587834275773,0.43684210526315786,0.6894736842105263,8.8536,6.0,12.0,38203.71685880038,71232.92917566781,0.0298,N=20,N
39,179746.27721203247,34911.97862407935,135300.27534402127,151590.40944019897,184170.67763255438,200460.81172873202,216750.94582490972,0.5938273684210525,0.09023732024861428,0.4789473684210527,0.6894736842105263,8.2716,6.0,11.0,33539.118662233785,64019.858293895144,0.034,N=20,N
