v,mean_pnl,std_pnl,p10,p25,p50,p75,p90,mean_multiplier,std_multiplier,mean_rank,p10_rank,p90_rank,mean_regret,max_regret,p90_regret,prob_best_response
0,24526.28774130897,1878.1331526230326,24232.991676237143,24232.991676237143,24232.991676237143,24232.991676237143,24232.991676237143,0.10039510204081631,0.0025300518141777198,49.9758,50.0,50.0,188713.9041046215,262937.3404591834,209927.40258298046,0.0
1,23852.207318362103,2631.223392006132,23268.926849273033,23268.926849273033,23268.926849273033,23268.926849273033,23268.926849273033,0.10079608163265304,0.003591185929908621,49.95124,50.0,50.0,189387.98452756836,263901.4052861475,210050.40070389194,0.0
2,23181.72816941375,3219.1287435565077,22304.86202230891,22304.86202230891,22304.86202230891,22304.86202230891,22304.86202230891,0.10121273469387754,0.0044521608278061285,49.92572,50.0,50.0,190058.46367651672,264865.4701131116,211014.46553085605,0.0
3,22483.181748637748,3638.4211684241773,21340.797195344785,21340.797195344785,21340.797195344785,21340.797195344785,21340.797195344785,0.10160130612244897,0.005100056785826883,49.90192,50.0,50.0,190757.01009729275,265829.5349400757,211978.5303578202,0.0
4,21782.327462617264,3987.121783179908,20385.421049110344,20385.421049110344,20385.421049110344,20385.421049110344,31876.918363250792,0.10198465306122448,0.005664698347684749,49.87844,49.0,50.0,191457.86438331322,266784.91108631017,211972.04979376972,0.0
5,21108.85118056659,4338.359112533111,19434.266710608863,19434.266710608863,19434.266710608863,19434.266710608863,30770.473520504165,0.1024117551020408,0.006248152847375364,49.85228,49.0,50.0,192131.3406653639,267736.0654248117,212923.20413227123,0.0
6,20425.01391607269,4639.140672993511,18483.112372107367,18483.112372107367,18483.112372107367,18483.112372107367,29664.02867775754,0.10283559183673467,0.00677413819597807,49.82632,49.0,50.0,192815.17792985777,268687.2197633132,212650.50765902046,0.0
7,19715.472967316127,4879.510979767572,17531.95803360587,17531.95803360587,17531.95803360587,17531.95803360587,28557.583835010897,0.10323330612244898,0.007225484232723395,49.80196,49.0,50.0,193524.71887861434,269638.37410181464,212211.191686049,0.0
8,18990.104810366905,5079.549737540453,16580.80369510439,16580.80369510439,16580.80369510439,16580.80369510439,27451.13899226427,0.10361861224489796,0.007629150529334852,49.77836,49.0,50.0,194250.08703556357,270589.52844031615,213317.63652879559,0.0
9,18260.651618522978,5282.277936362919,15636.890591200601,15636.890591200601,15636.890591200601,15636.890591200601,26353.117626498642,0.10399738775510203,0.00804772725944923,49.75516,49.0,50.0,194979.54022740753,271533.4415442199,214004.6373543663,0.0
10,17552.95810867019,5470.579500194634,14699.220725612016,14699.220725612016,14699.220725612016,14699.220725612016,25262.358803262934,0.10441077551020407,0.008455402459011437,49.72984,49.0,50.0,195687.23373726028,272471.1114098085,214942.3072199549,0.0
11,16825.43651702297,5602.267701412666,13761.550860023439,13761.550860023439,13761.550860023439,24171.599980027255,24171.599980027255,0.10480522448979589,0.008786278918640788,49.70568,49.0,50.0,196414.75532890751,273408.7812753971,215879.97708554348,0.0
12,16087.645718096766,5734.996177369862,12823.880994434861,12823.880994434861,12823.880994434861,23080.84115679156,23080.84115679156,0.10519510204081631,0.009128688146276548,49.6818,49.0,50.0,197152.54612783372,274346.45114098565,216817.64695113205,0.0
13,15352.243106909851,5865.15197002291,11886.211128846277,11886.211128846277,11886.211128846277,21990.082333555853,21990.082333555853,0.10560065306122447,0.009477316292334883,49.65696,49.0,50.0,197887.94873902062,275284.12100657425,216953.1488675892,0.0
14,14627.442533136133,5980.113513813345,10954.827120784415,10954.827120784415,10954.827120784415,20906.635630300225,20906.635630300225,0.10602514285714282,0.009810730004965006,49.63096,49.0,50.0,198612.74931279433,276215.5050146361,217884.53287565106,0.0
15,13886.991791633567,6082.294732270281,10031.26913410586,10031.26913410586,10031.26913410586,19832.292666204754,19832.292666204754,0.10642285714285714,0.01013187763644117,49.6066,49.0,50.0,199353.20005429696,277139.06300131464,218808.0908623296,0.0
16,13139.966825115642,6160.222312589458,9107.711147427312,9107.711147427312,9107.711147427312,18757.949702109312,18757.949702109312,0.10682187755102039,0.010422028180425631,49.58216,49.0,50.0,200100.22502081483,278062.6209879932,219731.64884900814,0.0
17,12377.971926039752,6231.058009636081,8184.153160748756,8184.153160748756,8184.153160748756,17683.60673801384,17683.60673801384,0.10720783673469385,0.010709201167577665,49.55852,49.0,50.0,200862.21991989075,278986.17897467175,220655.2068356867,0.0
