iteration,mean_speed,l1_change,top_speeds,top_probs_pct,best_ev_v,best_ev
1,38.63904864735186,1.102605885810838,"41, 42, 40, 39, 38","49.4%, 10.1%, 6.2%, 2.4%, 2.3%",41,228575.89992527175
2,40.65132557340387,0.6714287864875547,"42, 41, 43, 40, 39","40.3%, 40.3%, 5.5%, 2.2%, 0.8%",42,228734.42849243904
3,41.723194484847944,0.6915818557724074,"42, 43, 41, 44, 40","61.3%, 18.3%, 14.1%, 1.6%, 0.8%",42,227630.81664624834
4,42.5929211885597,0.9705733007998076,"43, 42, 44, 41, 45","61.6%, 24.8%, 6.4%, 4.9%, 0.5%",43,225008.5071457979
5,43.10293067813181,0.40657199337312355,"43, 44, 42, 41, 45","65.1%, 21.4%, 8.7%, 1.7%, 1.6%",43,221671.1163736116
6,43.806955730953966,0.960187474582995,"44, 43, 45, 46, 42","61.7%, 24.2%, 6.0%, 4.0%, 3.0%",44,218764.3803699221
7,44.48123076027645,0.5209507294208586,"44, 46, 45, 43, 47","53.9%, 21.0%, 14.0%, 8.5%, 1.3%",44,213854.88656095805
8,45.51868480594673,1.0023683402978831,"46, 44, 47, 45, 43","66.8%, 18.9%, 5.3%, 5.2%, 3.0%",46,212085.69849542907
9,45.97525959084394,0.3583298209072528,"46, 47, 44, 45, 43","75.0%, 14.4%, 6.6%, 1.8%, 1.0%",46,209514.92548412766
10,46.52961410556225,0.795381302758857,"47, 46, 48, 44, 45","51.2%, 41.5%, 3.7%, 2.3%, 0.6%",47,206038.25822605554
11,46.93927359653835,0.5829133172988031,"47, 46, 48, 44, 49","73.6%, 14.5%, 9.8%, 0.8%, 0.6%",47,204260.92695467063
12,47.321676320460305,0.4663502636401407,"47, 48, 46, 49, 50","60.5%, 30.8%, 5.1%, 2.1%, 0.9%",47,200310.43923654547
