v,mean_regret,max_regret,p90_regret,prob_best_response
0,188713.9041046215,262937.3404591834,209927.40258298046,0.0
1,189387.98452756836,263901.4052861475,210050.40070389194,0.0
2,190058.46367651672,264865.4701131116,211014.46553085605,0.0
3,190757.01009729275,265829.5349400757,211978.5303578202,0.0
4,191457.86438331322,266784.91108631017,211972.04979376972,0.0
5,192131.3406653639,267736.0654248117,212923.20413227123,0.0
6,192815.17792985777,268687.2197633132,212650.50765902046,0.0
7,193524.71887861434,269638.37410181464,212211.191686049,0.0
8,194250.08703556357,270589.52844031615,213317.63652879559,0.0
9,194979.54022740753,271533.4415442199,214004.6373543663,0.0
10,195687.23373726028,272471.1114098085,214942.3072199549,0.0
11,196414.75532890751,273408.7812753971,215879.97708554348,0.0
12,197152.54612783372,274346.45114098565,216817.64695113205,0.0
13,197887.94873902062,275284.12100657425,216953.1488675892,0.0
14,198612.74931279433,276215.5050146361,217884.53287565106,0.0
15,199353.20005429696,277139.06300131464,218808.0908623296,0.0
16,200100.22502081483,278062.6209879932,219731.64884900814,0.0
17,200862.21991989075,278986.17897467175,220655.2068356867,0.0
18,201276.09452590466,279909.7369613503,221424.2831824781,0.0
19,201627.02382519693,280827.36982368893,222341.91604481672,0.0
20,195408.2741453381,272685.6448550088,217233.6058153272,0.0
21,189471.93512560474,264840.6570150277,213296.84283347608,0.0
22,187687.31649041062,258608.08319390792,212195.14701811204,0.0
23,184065.5626829853,259665.20921489826,208766.19240683527,0.0
24,178643.9465475972,254583.1249577282,203938.5647436264,0.0
25,166296.92540159335,242649.81950829277,193592.9311067043,0.0
26,155063.44823535255,241427.09879720613,183761.9216938989,0.0
27,151494.68269182826,242611.95275681507,179748.90841128133,0.0
28,149256.74511573682,232979.24999085604,178450.66882041527,0.0
29,147818.02638375596,234003.4809914361,176797.90843254316,0.0
30,146126.17747658442,235166.57808610055,174697.6973646608,0.0
31,135320.20525635066,218254.9126085898,164695.2067694342,0.0
32,129211.26143914391,212403.63953235486,158444.11375115963,0.0
33,113164.73588089367,202868.26645734193,142064.2417157176,0.0
34,94357.47817824387,187282.40559150514,123456.37919416616,0.0
35,67465.18642978717,154187.90157377924,94374.82451885985,0.00012
36,45424.47109194218,129368.88165120629,70279.77247507806,0.00188
37,35228.76298312574,112431.96284026405,58277.09381112896,0.0068
38,28928.673498874894,96733.71348994403,50003.0955987786,0.01152
39,25108.312120069048,92209.74825546189,44402.09055182137,0.01408
40,17100.76386895065,80320.84808733655,32849.19140492132,0.05212
41,7622.506464661625,62730.38162374025,18457.531602184958,0.26728
42,6838.415333739662,58158.52985523167,16182.536109770648,0.17316
43,7043.391185732929,47540.91746817905,14831.611298617849,0.12276
44,8032.7508019468,43153.31492397413,15524.46372167833,0.08564
45,10117.763399134434,46153.47555762675,19004.04030855614,0.04464
46,8407.977425401376,46799.15323750564,19148.406103513407,0.17096
47,12430.19631308253,54058.432709953515,23348.990613401635,0.02716
48,17130.778717516576,61271.261661772034,28651.093427963468,0.00628
49,22231.974936987775,68345.59680212202,34693.83681847365,0.00104
50,23419.46989281474,75419.93194247194,37024.26966720383,0.00968
51,26854.69122885076,82494.26708282187,41493.522001379635,0.0046
52,32583.432276454238,89568.60222317182,47622.54023084024,0.00028
53,38305.77622138407,96521.56300186983,53057.165198980016,0.0
54,44002.54028247927,103397.24211997128,59592.003529006586,0.0
55,49765.88505377082,110272.92123807271,64856.17011702771,0.0
56,55532.19732370809,113083.53371822042,70969.64924051281,0.0
57,61317.73006248459,120076.46480554526,77343.85400752569,0.0
58,66920.93754655897,126860.64815960388,83206.64535207921,0.0
59,72531.94268790886,133644.83151366247,88794.80267016662,0.0
60,78176.51123033484,140429.0148677211,95123.51664680353,0.0
61,83945.88167127663,147213.1982217797,101095.12914969976,0.0
62,89609.26675629037,153864.72848841545,106664.26734913513,0.0
63,95206.9056621501,160411.3571900942,112011.5199318513,0.0
64,100833.80695915893,166957.98589177296,117890.27069121771,0.0
65,106523.22336453175,173504.6145934517,124030.10200530637,0.0
66,112217.36203744505,180009.9066066949,130231.88279580374,0.0
67,117758.2903976001,186296.32362784393,136023.32921663107,0.0
68,123353.47410037609,192582.7406489929,141965.99933196712,0.0
69,129016.12345956413,198869.15767014195,147527.01793079395,0.0
70,134748.98910334648,205155.574691291,153021.032774449,0.0
71,140293.40728189613,211196.2387089106,159032.259995231,0.0
72,145860.46704185483,217195.00506255392,164751.4998659375,0.0
73,151468.52190858437,223193.77141619724,170750.26621958084,0.0
74,157127.62695711572,229192.53776984056,176749.03257322416,0.0
75,162624.66846126565,234980.72735002325,182537.22215340685,0.0
76,168051.80620700284,240657.92761587867,187647.98973967574,0.0
77,173516.00306827133,246335.12788173405,193325.19000553113,0.0
78,179008.95411211086,252012.32814758946,199002.39027138654,0.0
79,184323.32194690403,257480.75158614098,204470.81370993805,0.0
80,189504.84135388827,262793.39028942626,209783.45241322333,0.0
81,194740.78145607386,268106.02899271157,215096.09111650864,0.0
82,199982.4423425393,273418.6676959969,220408.72981979395,0.0
83,204970.2386269783,278468.93295013893,225458.995073936,0.0
84,209802.99215585296,283360.7162155791,230350.77833937612,0.0
85,214639.16039348143,288252.4994810192,235242.56160481626,0.0
86,219480.35130562828,293144.28274645936,240134.3448702564,0.0
87,223915.82790619408,297624.17974264553,244614.2418664426,0.0
88,228269.84633175423,302018.1966751761,249008.25879897317,0.0
89,232628.48475226053,306412.21360770665,253402.27573150373,0.0
90,236860.70653594917,310676.730894762,257666.79301855905,0.0
91,240619.11987592324,314461.53107199894,261451.59319579598,0.0
92,244380.81234617328,318246.33124923584,265236.3933730329,0.0
93,248146.11900021165,322031.1314264728,269021.1935502699,0.0
94,251273.25094267714,325172.7994281339,272162.86155193095,0.0
95,254261.36242391766,328172.1826049555,275162.2447287526,0.0
96,257251.58938847636,331171.5657817772,278161.6279055743,0.0
97,259460.24994462173,333385.53195818356,280375.59408198064,0.0
98,261349.42720293964,335277.9320468021,282267.99417059915,0.0
99,263240.1918459305,337170.3321354205,284160.3942592176,0.0
100,263240.1918459305,337170.3321354205,284160.3942592176,0.0
