v,mean_ev_across_scenarios,median_ev_across_scenarios,min_ev_across_scenarios,p25_ev_across_scenarios,p75_ev_across_scenarios,mean_regret_across_scenarios,max_regret_across_scenarios
18,11889.741630345807,11889.432620141703,11568.46166488025,11789.090243836667,11984.379010535606,201681.90179652954,208706.52652680807
19,11528.811080979973,11554.00366308905,11218.353336256945,11424.407598425563,11619.068196035048,202042.83234589535,209060.8362539856
20,17940.04846476313,17812.389953806487,16915.043494357888,17657.64373094324,18352.260103498855,195631.5949621122,202638.66962826345
21,23980.91421977207,23727.11499018791,22373.592215440243,23493.774876279145,24453.12601336317,189590.72920710332,196802.4953195645
22,25921.695367740966,25598.48207377635,24042.09563392686,25335.60739725769,26255.62602793265,187649.94805913436,194903.42819326158
23,29524.719449048454,29262.40400561436,27496.007008369914,29051.285429782612,29744.87879440377,184046.9239778269,191278.83154002504
24,34665.84023800412,34612.70484438732,32028.837143783872,34382.4261882118,35082.18756917373,178905.8031888712,185998.63007248638
25,46586.87414895148,46696.2198384693,43099.48062025831,45930.340991965044,47025.33562727728,166984.7692779239,173613.48319785413
26,57734.7001704242,58055.391782529696,53561.10673102404,56454.45447770832,58327.692661877845,155836.94325645117,162101.65165836204
27,61426.27936410393,61704.180367782305,56643.90472682339,60797.48015823538,61806.465333193475,152145.36406277138,158640.60811194635
28,63941.94896014483,63875.36948912719,58648.58526863466,63534.58759324887,64112.39875186935,149629.6944667305,156505.08234051315
29,65876.04111644972,65437.64389515576,60018.70695569923,65140.428273995974,66103.0319157949,147695.6023104256,154965.48205641538
30,68101.77088704651,67162.52635973212,61784.92536473168,66888.25069445226,68802.62139686175,145469.87253982882,153189.96037747202
31,79425.49285271604,78139.92669938477,72841.41462269904,77825.44153617913,80104.35116838921,134146.1505741593,142078.8780730403
32,85809.04858086303,84348.89448089246,78608.1335224521,83931.29610002413,86678.53859514212,127762.5948460123,135783.24703231908
33,101732.45644657055,100375.39537363712,94124.31161827338,100149.98961270312,103548.85755333687,111839.1869803048,119696.3428114275
34,119758.10356336444,119115.92475524178,111788.90572886524,118714.61085006264,121307.01448579147,93813.53986351092,101097.49524102926
35,145859.8179114691,145835.69455579927,137569.32035220903,145488.18908662588,146335.8202552895,67711.82551540626,74436.24039200672
36,167365.94680845356,167893.27787075925,159109.35309428343,166076.83602201997,168427.4454450446,46205.69661842182,52896.20764993234
37,177265.97510890997,177917.4302392113,169445.7306137698,176817.86237459216,178537.5540019458,36305.66831796536,42501.59765607748
38,183687.19581537467,184204.45640341938,175567.20828177014,183597.01053204288,184754.18161642292,29884.447611500684,35723.25822414057
39,187783.3410044176,187983.54929436377,179739.583850812,187677.9203325842,188396.68325427518,25788.302422457717,32145.420794608865
40,196123.3071658718,196132.9191505526,188656.83168209047,195917.05680575018,196347.96428907427,17448.33626100353,24357.06046544634
41,205634.44630524077,205694.45840792073,199447.4863704404,205379.1297217106,205898.92006792623,7937.197121634553,14776.87982126421
42,206379.04453560762,206362.5697585725,200822.84442051544,206215.53379352807,206529.0630022555,7192.598891267747,13984.164121920228
43,206260.8946090698,206249.47546647378,201213.07190872123,206142.0014626338,206361.13519965785,7310.748817805553,14024.370061580788
44,205244.38234943134,205224.86599713028,200743.94916641078,205153.6446875247,205380.59820230948,8327.261077443987,15191.182381326224
45,203164.44148017233,203200.07356591272,199080.629734402,203090.93930159012,203288.4233001295,10407.201946702999,17348.95989472237
46,204806.54315401355,204770.55469305627,201534.8496208599,204708.3227175327,205002.70187505064,8765.100272861822,15695.121144647215
47,200765.87564769405,200736.27746597986,197748.847575445,200655.95708722575,200978.4944572276,12805.767779181282,19638.15257294717
48,196064.70512954265,196035.53419640963,193259.80688909168,195968.92761557782,196271.11783684173,17506.938297332694,24388.208520312302
49,190977.4840620069,190930.1558297556,188359.4220171524,190884.5120022508,191175.2335715852,22594.159364868436,29470.46591825614
50,189784.04717807838,189786.56211810332,187559.26297591676,189664.87266171834,189926.09491597192,23787.596248796937,30693.137124895326
51,186327.50441333116,186321.93201301375,184484.54670888113,186244.4975177835,186436.3296080824,27244.13901354421,34254.13976710671
52,180599.2787935193,180593.40385928596,178889.0623908251,180532.87864853354,180666.7403309624,32972.36463335603,40054.05835447196
53,174869.9656071139,174864.56514503976,173264.25758967668,174796.55481774244,174956.87239089623,38701.67781976143,45732.42869079102
54,169165.00655848064,169153.16231204802,167632.77680500923,169081.8460281073,169252.88370689919,44406.63686839473,51415.606247257034
55,163420.48016866026,163417.72854922595,161984.15498935178,163350.77957969886,163499.43732829794,50151.16325821508,57190.122106937524
