v,mean_pnl,std_pnl,p10,p25,p50,p75,p90,mean_multiplier,std_multiplier,mean_rank,p10_rank,p90_rank,mean_regret,max_regret,p90_regret,prob_best_response,label,group
18,11913.739158501307,6551.152671941611,7260.5951740702,7260.5951740702,7260.5951740702,16609.263773918385,16609.263773918385,0.10812625850340134,0.011440944076858327,49.502266666666664,49.0,50.0,201222.32941892705,260662.61971383245,221424.2831824781,0.0,AI sigma = 2.5,ai_sigma
19,11599.799023961947,6908.897548510251,6342.9623117316005,6342.9623117316005,6342.9623117316005,15541.813301402057,24740.66429107258,0.10933006802721086,0.01226221921077744,49.428533333333334,48.0,50.0,201536.26955346644,261580.25257617107,222341.91604481672,0.0,AI sigma = 2.5,ai_sigma
20,18306.40432587723,10633.800236522617,5434.204855090764,14484.687280411694,14484.687280411694,23535.169705732682,32585.652131053546,0.1232206802721088,0.01918274152992756,48.577733333333335,47.0,50.0,194829.66425155115,262489.0100328119,217208.72491920175,0.0,AI sigma = 2.5,ai_sigma
21,24734.432811369865,13027.014046319853,13427.561259421353,13427.561259421353,22329.675120392814,31231.788981364167,40133.902842335636,0.13706340136054418,0.02389162247697611,47.729866666666666,46.0,49.0,188401.63576605855,259158.1047058812,212075.53379358677,0.0,AI sigma = 2.5,ai_sigma
22,26943.670408247137,13856.124296639393,12370.43523843099,21124.180535052932,21124.180535052932,38631.6711282967,47385.41642491857,0.14350693877551018,0.02584293120608084,47.3352,45.0,49.0,186192.39816918125,260066.86216252204,210272.49453586154,0.0,AI sigma = 2.5,ai_sigma
23,30433.308932985557,14854.789276606569,11313.309217440634,19918.68594971305,28524.06268198535,37129.439414257766,45734.81614653014,0.15260190476190474,0.02818321375209817,46.77813333333334,45.0,49.0,182702.75964444282,252370.2428868905,207851.10012461265,0.0,AI sigma = 2.5,ai_sigma
24,35006.06525939947,15857.91206968016,18721.52965732025,27179.56407668267,35637.598496045204,44095.63291540768,52553.667334770216,0.16408707482993196,0.030610502868045255,46.074666666666666,44.0,48.0,178130.0033180289,253420.05686637343,203629.60146385198,0.0,AI sigma = 2.5,ai_sigma
25,46018.72745164739,18077.222307606113,25848.88193742954,34161.08817714789,42473.29441686619,59097.70689630284,67409.91313602113,0.18859646258503399,0.035506617001299215,44.57346666666667,42.0,47.0,167117.341125781,242074.33295047312,194465.22295181942,0.0,AI sigma = 2.5,ai_sigma
26,56448.73801306626,19852.698531723418,32684.577858250545,40850.95591832466,57183.71203847295,73516.46815862118,81682.84621869528,0.21281632653061225,0.03969026267575341,43.09,40.0,46.0,156687.3305643621,232583.33184303174,184619.63578063832,0.0,AI sigma = 2.5,ai_sigma
27,60094.87998870972,20247.736035180053,31208.067539353215,47249.16730021314,55269.717180643085,71310.81694150296,87351.91670236288,0.22410775510204078,0.04121603719635498,42.3984,39.0,46.0,153041.18858871868,228694.59746811952,181435.7110563352,0.0,AI sigma = 2.5,ai_sigma
28,62948.1833172637,20423.15489697298,37606.27892124164,45481.00062202745,61230.44402359896,76979.88742517047,92729.33082674202,0.23417360544217689,0.04234299017713564,41.781866666666666,38.0,45.0,150187.88526016468,223121.11546511558,178834.58180464135,0.0,AI sigma = 2.5,ai_sigma
29,65581.30291179875,20593.81657862222,35997.60979934284,51457.85425765171,66918.0987159605,82378.34317426936,90108.46540342376,0.24411537414965984,0.043495505869977864,41.17293333333333,38.0,45.0,147554.76566562965,224316.5913237102,176094.1587397236,0.0,AI sigma = 2.5,ai_sigma
30,68784.15976543917,20771.799949960332,41992.03328722883,57165.97692223561,64752.948739739004,79926.89237474585,95100.83600975265,0.2556136054421768,0.0446991811636978,40.468666666666664,37.0,44.0,144351.9088119892,225622.83883002563,173063.92466956028,0.0,AI sigma = 2.5,ai_sigma
31,81232.09011137586,21951.548157901587,55143.977357665135,62587.79876351752,77475.44157522236,92363.08438692713,107250.72719863197,0.2878312925170068,0.04814632208993848,38.495333333333335,35.0,42.0,131903.97846605253,214432.60051447697,161302.5221944843,0.0,AI sigma = 2.5,ai_sigma
32,88619.78701250028,22278.84758748064,60422.64878729604,75023.99077569884,89625.3327641016,104226.67475250442,118828.01674090722,0.3099961904761904,0.0498223091317827,37.13773333333334,33.0,41.0,124516.2815649281,213353.65316159383,153660.88758084946,0.0,AI sigma = 2.5,ai_sigma
33,104362.42905955345,23256.149653973804,72572.53997617534,86887.58114127608,101202.62230637687,122675.18405402798,136990.22521912877,0.3521055782312925,0.05304801220889527,34.55853333333334,30.0,39.0,108773.63951787494,194595.17387449695,138326.19032858717,0.0,AI sigma = 2.5,ai_sigma
34,121011.64183879773,23812.293154940893,91196.54443583911,105228.49916238216,119260.45388892514,133292.4086154682,154340.3407052827,0.3979526530612245,0.05541239844602492,31.7504,27.0,36.0,92124.42673863065,175688.08297627536,121392.52418382582,0.0,AI sigma = 2.5,ai_sigma
35,145055.53658227643,23862.855770313377,115875.24481114664,129626.56044315881,143377.876075171,164004.8495231892,177756.1651552014,0.46316734693877554,0.05666332671801212,27.756,23.0,32.0,68080.53199515192,142874.70197114508,95517.49703238453,0.0,AI sigma = 2.5,ai_sigma
36,165172.95362635498,23205.042399486683,132696.0505395901,146166.72707707138,166372.74188329332,179843.41842077463,193314.0949582559,0.5215814965986394,0.05624926618043458,24.178133333333335,20.0,29.0,47963.114951073396,133363.19433481357,72745.1499161477,0.0010666666666666667,AI sigma = 2.5,ai_sigma
37,175105.13601262507,22503.941710108236,148674.93898444096,161864.97642739138,175055.01387034185,188245.05131329226,201435.0887562427,0.5572669387755103,0.055710424601201416,21.9924,18.0,26.0,38030.932564803334,104435.88242790641,60777.95334690114,0.0026666666666666666,AI sigma = 2.5,ai_sigma
38,182328.29051011574,21856.903406932768,157357.21097148943,170266.60931990904,183176.0076683286,196085.4060167482,208994.80436516777,0.5876517006802722,0.05528490064850378,20.131333333333334,16.0,24.0,30807.77806731265,98367.55123110584,51914.88876741755,0.0084,AI sigma = 2.5,ai_sigma
39,187315.2719262059,20979.738043181223,159236.798913915,171869.96413135892,184503.12934880282,203452.87717496871,216086.04239241267,0.6133910204081633,0.0542265266864262,18.5548,14.0,23.0,25820.796651222514,88680.02126790068,44576.53542079052,0.013466666666666667,AI sigma = 2.5,ai_sigma
40,196207.07033769845,19955.752844794435,167046.70404154676,185584.50082801338,197943.03201899113,210301.56320996888,222660.09440094663,0.6505153741496598,0.05272604076911395,16.280933333333333,12.0,21.0,16928.99823972992,69588.52961882402,32058.56514694367,0.05733333333333333,AI sigma = 2.5,ai_sigma
41,205694.0556113486,18504.59865986823,180349.289698502,192433.18686301357,204517.08402752515,216600.9811920367,228684.87835654832,0.6909355102040817,0.050003056526318236,13.8052,10.0,18.0,7442.012966079801,52825.94480892431,18333.65612333358,0.2668,AI sigma = 2.5,ai_sigma
42,206385.794642744,17717.474896356893,181018.7101380133,192827.9732760587,204637.2364141041,216446.49955214944,228255.76269019488,0.708916462585034,0.04898949119613378,12.703866666666666,9.0,17.0,6750.273934684374,49162.623900402454,16309.862302755966,0.17946666666666666,AI sigma = 2.5,ai_sigma
