label,group,best_v,best_ev,robust_v,robust_ev,best_p10,best_mean_regret,config_N,config_ai_sigma_25,config_ai_sigma_35,config_ai_weight_35
AI sigma = 2.5,ai_sigma,42,206385.794642744,42,206385.794642744,181018.7101380133,6750.273934684374,50,2.5,2.5,0.75
AI sigma = 3.5,ai_sigma,42,206436.9681163422,42,206436.9681163422,181018.7101380133,7054.406812322198,50,3.5,3.5,0.75
AI sigma = 5.0,ai_sigma,42,206409.4131690201,42,206409.4131690201,181018.7101380133,6832.297441895368,50,5.0,5.0,0.75
AI internal 35-cluster = 70%,ai_internal_weight,42,206339.34487440102,42,206339.34487440102,181018.7101380133,6846.417562457085,50,2.0,2.0,0.7
AI internal 35-cluster = 75%,ai_internal_weight,42,206215.74125355616,42,206215.74125355616,181018.7101380133,6945.360127895573,50,2.0,2.0,0.75
AI internal 35-cluster = 80%,ai_internal_weight,42,206434.6062637146,42,206434.6062637146,181018.7101380133,6855.22056600354,50,2.0,2.0,0.8
AI total weight = 25%,ai_weight_total,46,201534.8496208599,46,201534.8496208599,181358.09866000144,7046.395396979903,50,2.0,2.0,0.75
AI total weight = 30%,ai_weight_total,42,206195.27186411686,42,206195.27186411686,181018.7101380133,6922.18023818642,50,2.0,2.0,0.75
AI total weight = 35%,ai_weight_total,42,211407.88061325013,42,211407.88061325013,192827.9732760587,6291.481770609176,50,2.0,2.0,0.75
Nash weight = 18%,nash_weight,41,209776.8016666649,41,209776.8016666649,186391.23828075783,5362.763827909869,50,2.0,2.0,0.75
Nash weight = 23%,nash_weight,42,206217.31582197457,42,206217.31582197457,181018.7101380133,6907.373591664377,50,2.0,2.0,0.75
Nash weight = 28%,nash_weight,46,205116.40710875366,46,205116.40710875366,186722.92413617537,6889.153635462107,50,2.0,2.0,0.75
Just-above weight = 10%,just_above_weight,43,205889.97952582955,43,205889.97952582955,187180.81110684804,6696.957297535847,50,2.0,2.0,0.75
Just-above weight = 15%,just_above_weight,43,206302.91924802412,43,206302.91924802412,187180.81110684804,6905.825874926365,50,2.0,2.0,0.75
Just-above weight = 20%,just_above_weight,42,207432.88264098403,42,207432.88264098403,186923.34170703596,6974.168773447772,50,2.0,2.0,0.75
N = 20,N,42,206702.03427877757,42,206702.03427877757,168898.67691738775,13984.164121920228,20,2.0,2.0,0.75
N = 35,N,42,206663.63650233892,42,206663.63650233892,181887.03830992835,9126.68224656033,35,2.0,2.0,0.75
N = 50,N,42,206484.20516889438,42,206484.20516889438,181018.7101380133,6865.2363891724,50,2.0,2.0,0.75
N = 75,N,42,206214.91141344377,42,206214.91141344377,185566.87229253075,5419.90083527791,75,2.0,2.0,0.75
N = 100,N,42,206248.79128561117,42,206248.79128561117,190740.47726680822,4346.853013294433,100,2.0,2.0,0.75
