v,mean_pnl,std_pnl,p10,p25,p50,p75,p90,mean_mult,std_mult,mu,sigma
0,24670.814831225558,2301.7801873417006,24232.991676237143,24232.991676237143,24232.991676237143,24232.991676237143,24232.991676237143,0.10058979591836735,0.0031007509402029513,10,3
2,25869.934402837447,6455.507760115955,22304.86202230891,22304.86202230891,22304.86202230891,34109.73745452259,34109.73745452259,0.10493061224489796,0.008928179349991947,10,3
4,39084.960053545416,14305.910057060646,20385.421049110344,31876.918363250792,31876.918363250792,43368.41567739131,54859.91299153169,0.12656734693877547,0.020325104039768286,10,3
6,85202.43519699844,25514.614448968794,52025.861289057866,63206.77759470811,85568.61020600854,96749.52651165868,119111.35912295902,0.19742448979591834,0.037256797428150606,10,3
8,180873.692584467,34971.251464716006,136154.49196386334,157895.1625581831,179635.83315250295,201376.5037468228,223117.17434114253,0.3467571428571429,0.052524525875147096,10,3
10,308045.4874955369,36428.57779377669,257651.3965115837,278777.6726668856,310467.08689983847,331593.3630551403,352719.63921044226,0.5534,0.056304507821306665,10,3
12,413732.55438039056,28493.805331802625,381048.7508230419,392331.4070016333,412845.3273263467,433359.24765106017,453873.1679757736,0.7381469387755103,0.04535505428950925,10,3
14,465901.75313330034,17453.36986394727,438882.59302996495,458786.21004899655,468738.0185585123,478689.8270680283,488641.635577544,0.8463673469387755,0.028633285809116855,10,3
16,474725.69001173775,8241.987967996045,462668.92321748193,472319.16177216393,472319.16177216393,481969.40032684593,481969.40032684593,0.8877448979591839,0.013944014762200406,10,3
18,464265.5853433496,3189.6603739106736,455996.68796678376,465345.35656663193,465345.35656663193,465345.35656663193,465345.35656663193,0.8981142857142859,0.005570428257363063,10,3
20,448793.5813551972,1020.5641729961405,448907.843695817,448907.843695817,448907.843695817,448907.843695817,448907.843695817,0.8997938775510206,0.001841036911531374,10,3
22,432539.26729466114,309.2981402450389,432550.20947628206,432550.20947628206,432550.20947628206,432550.20947628206,432550.20947628206,0.8999795918367349,0.0005768691438817366,10,3
24,416245.97560445,163.75841889725962,416249.1473673573,416249.1473673573,416249.1473673573,416249.1473673573,416249.1473673573,0.8999938775510207,0.00031610261989693415,10,3
26,400171.5905615864,0.0,400171.5905615864,400171.5905615864,400171.5905615864,400171.5905615864,400171.5905615864,0.9000000000000002,2.220446049250313e-16,10,3
28,384094.0337558156,1.7462298274040222e-10,384094.0337558154,384094.0337558154,384094.0337558154,384094.0337558154,384094.0337558154,0.9000000000000002,2.220446049250313e-16,10,3
30,368231.82143987523,5.820766091346741e-11,368231.8214398753,368231.8214398753,368231.8214398753,368231.8214398753,368231.8214398753,0.9000000000000002,2.220446049250313e-16,10,3
32,352449.4885553516,1.1641532182693481e-10,352449.48855535174,352449.48855535174,352449.48855535174,352449.48855535174,352449.48855535174,0.9000000000000002,2.220446049250313e-16,10,3
34,336755.7521503419,5.820766091346741e-11,336755.752150342,336755.752150342,336755.752150342,336755.752150342,336755.752150342,0.9000000000000002,2.220446049250313e-16,10,3
36,321285.52206432825,0.0,321285.52206432825,321285.52206432825,321285.52206432825,321285.52206432825,321285.52206432825,0.9000000000000002,2.220446049250313e-16,10,3
38,305815.2919783146,5.820766091346741e-11,305815.29197831464,305815.29197831464,305815.29197831464,305815.29197831464,305815.29197831464,0.9000000000000002,2.220446049250313e-16,10,3
40,290632.0159513242,5.820766091346741e-11,290632.01595132425,290632.01595132425,290632.01595132425,290632.01595132425,290632.01595132425,0.9000000000000002,2.220446049250313e-16,10,3
42,275492.8152423766,5.820766091346741e-11,275492.8152423765,275492.8152423765,275492.8152423765,275492.8152423765,275492.8152423765,0.9000000000000002,2.220446049250313e-16,10,3
44,260522.8045927933,2.9103830456733704e-11,260522.80459279328,260522.80459279328,260522.80459279328,260522.80459279328,260522.80459279328,0.9000000000000002,2.220446049250313e-16,10,3
46,245736.00437408878,0.0,245736.00437408878,245736.00437408878,245736.00437408878,245736.00437408878,245736.00437408878,0.9000000000000002,2.220446049250313e-16,10,3
48,230996.5128842471,2.9103830456733704e-11,230996.51288424706,230996.51288424706,230996.51288424706,230996.51288424706,230996.51288424706,0.9000000000000002,2.220446049250313e-16,10,3
50,216586.43530043957,2.9103830456733704e-11,216586.43530043954,216586.43530043954,216586.43530043954,216586.43530043954,216586.43530043954,0.9000000000000002,2.220446049250313e-16,10,3
52,202176.35771663205,0.0,202176.35771663205,202176.35771663205,202176.35771663205,202176.35771663205,202176.35771663205,0.9000000000000002,2.220446049250313e-16,10,3
54,188092.2233182751,0.0,188092.2233182751,188092.2233182751,188092.2233182751,188092.2233182751,188092.2233182751,0.9000000000000002,2.220446049250313e-16,10,3
56,174086.79841720016,5.820766091346741e-11,174086.7984172001,174086.7984172001,174086.7984172001,174086.7984172001,174086.7984172001,0.9000000000000002,2.220446049250313e-16,10,3
58,160309.68397581668,2.9103830456733704e-11,160309.68397581665,160309.68397581665,160309.68397581665,160309.68397581665,160309.68397581665,0.9000000000000002,2.220446049250313e-16,10,3
60,146741.31726769943,0.0,146741.31726769943,146741.31726769943,146741.31726769943,146741.31726769943,146741.31726769943,0.9000000000000002,2.220446049250313e-16,10,3
62,133305.60364700507,0.0,133305.60364700507,133305.60364700507,133305.60364700507,133305.60364700507,133305.60364700507,0.9000000000000002,2.220446049250313e-16,10,3
64,120212.34624364763,5.820766091346741e-11,120212.34624364757,120212.34624364757,120212.34624364757,120212.34624364757,120212.34624364757,0.9000000000000002,2.220446049250313e-16,10,3
66,107160.42552872562,1.4551915228366852e-11,107160.42552872564,107160.42552872564,107160.42552872564,107160.42552872564,107160.42552872564,0.9000000000000002,2.220446049250313e-16,10,3
68,94587.59148642764,2.9103830456733704e-11,94587.59148642761,94587.59148642761,94587.59148642761,94587.59148642761,94587.59148642761,0.9000000000000002,2.220446049250313e-16,10,3
70,82014.75744412954,1.4551915228366852e-11,82014.75744412953,82014.75744412953,82014.75744412953,82014.75744412953,82014.75744412953,0.9000000000000002,2.220446049250313e-16,10,3
72,69975.3270728666,0.0,69975.3270728666,69975.3270728666,69975.3270728666,69975.3270728666,69975.3270728666,0.9000000000000002,2.220446049250313e-16,10,3
74,57977.79436557995,7.275957614183426e-12,57977.794365579946,57977.794365579946,57977.794365579946,57977.794365579946,57977.794365579946,0.9000000000000002,2.220446049250313e-16,10,3
76,46512.40451954187,1.4551915228366852e-11,46512.40451954186,46512.40451954186,46512.40451954186,46512.40451954186,46512.40451954186,0.9000000000000002,2.220446049250313e-16,10,3
78,35158.00398783106,0.0,35158.00398783106,35158.00398783106,35158.00398783106,35158.00398783106,35158.00398783106,0.9000000000000002,2.220446049250313e-16,10,3
80,24376.941845994264,1.0913936421275139e-11,24376.941845994254,24376.941845994254,24376.941845994254,24376.941845994254,24376.941845994254,0.9000000000000002,2.220446049250313e-16,10,3
82,13751.66443942364,3.637978807091713e-12,13751.664439423635,13751.664439423635,13751.664439423635,13751.664439423635,13751.664439423635,0.9000000000000002,2.220446049250313e-16,10,3
84,3809.615919841475,4.547473508864641e-13,3809.6159198414753,3809.6159198414753,3809.6159198414753,3809.6159198414753,3809.6159198414753,0.9000000000000002,2.220446049250313e-16,10,3
86,-5973.950611038802,9.094947017729282e-13,-5973.950611038803,-5973.950611038803,-5973.950611038803,-5973.950611038803,-5973.950611038803,0.9000000000000002,2.220446049250313e-16,10,3
88,-14847.864539755561,9.094947017729282e-12,-14847.864539755552,-14847.864539755552,-14847.864539755552,-14847.864539755552,-14847.864539755552,0.9000000000000002,2.220446049250313e-16,10,3
90,-23506.398759341446,0.0,-23506.398759341446,-23506.398759341446,-23506.398759341446,-23506.398759341446,-23506.398759341446,0.9000000000000002,2.220446049250313e-16,10,3
92,-31075.99911381532,0.0,-31075.99911381532,-31075.99911381532,-31075.99911381532,-31075.99911381532,-31075.99911381532,0.9000000000000002,2.220446049250313e-16,10,3
94,-38002.46729271334,7.275957614183426e-12,-38002.467292713336,-38002.467292713336,-38002.467292713336,-38002.467292713336,-38002.467292713336,0.9000000000000002,2.220446049250313e-16,10,3
96,-44001.233646356646,2.1827872842550278e-11,-44001.23364635667,-44001.23364635667,-44001.23364635667,-44001.23364635667,-44001.23364635667,0.9000000000000002,2.220446049250313e-16,10,3
98,-48107.59991138153,7.275957614183426e-12,-48107.599911381534,-48107.599911381534,-48107.599911381534,-48107.599911381534,-48107.599911381534,0.9000000000000002,2.220446049250313e-16,10,3
100,-50000.0,0.0,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0,0.9000000000000002,2.220446049250313e-16,10,3
0,41209.62238488843,14031.625626513392,24232.991676237143,36352.663786643185,36352.663786643185,48472.335897049314,60592.00800745528,0.12286938775510199,0.018902142173807982,10,5
2,61257.99972975607,20638.791357719096,34109.73745452259,45914.61288673636,57719.48831894995,69524.36375116372,93134.11461559116,0.15387346938775506,0.028544126605692447,10,5
4,96756.47576172362,27469.17500481215,66351.41030567221,77842.90761981266,100825.90224809363,112317.39956223409,135300.39419051498,0.20850408163265305,0.03902679645213168,10,5
6,151017.50141567003,33098.53278623156,107930.44281730885,130292.2754286092,152654.1080399096,175015.94065120994,197377.77326251034,0.29352857142857147,0.04833094122006102,10,5
8,220319.42179403602,36970.94060798658,168765.49785534298,190506.16844966283,223117.17434114253,244857.84493546234,266598.5155297821,0.40600204081632646,0.05552792780527071,10,5
10,294483.73859609285,36584.659376632306,247088.25843393285,268214.5345892347,299903.94882218755,321030.2249774894,342156.5011327912,0.5324387755102041,0.05654574964942319,10,5
12,360616.88617962634,32935.92160834757,320532.68586513627,341046.6061898497,361560.5265145631,382074.44683927664,402588.36716399,0.6536000000000001,0.05242579905444735,10,5
14,409013.4837647169,26733.386527733495,379171.74197286996,389123.55048238573,409027.16750141745,428930.78452044906,438882.59302996495,0.7530387755102043,0.04385770215500772,10,5
16,436100.61019662296,19952.735161007942,404767.4918893898,424067.9689987539,433718.2075534359,453018.6846627999,462668.92321748193,0.8223979591836735,0.033756568768568175,10,5
18,444798.15156774054,13511.075715574843,427950.68216723914,437299.3507670873,446648.0193669356,455996.68796678376,465345.35656663193,0.8641163265306122,0.023595765420358697,10,5
20,440898.1667494078,8389.533597846908,430806.87884517515,439857.36127049604,439857.36127049604,448907.843695817,448907.843695817,0.8855510204081634,0.0151342183400624,10,5
22,429797.1565804944,4917.624351519779,423796.4641796602,423796.4641796602,432550.20947628206,432550.20947628206,432550.20947628206,0.8948653061224492,0.00917181638190822,10,5
24,415451.9776233324,2632.432432940729,416249.1473673573,416249.1473673573,416249.1473673573,416249.1473673573,416249.1473673573,0.8984612244897963,0.005081380208466037,10,5
26,399973.55589362956,1288.941581724621,400171.5905615864,400171.5905615864,400171.5905615864,400171.5905615864,400171.5905615864,0.8996040816326534,0.002576900559417814,10,5
28,384040.8793843353,656.6987938517285,384094.0337558154,384094.0337558154,384094.0337558154,384094.0337558154,384094.0337558154,0.8998897959183676,0.0013615227773414174,10,5
30,368220.440982149,293.6216906519799,368231.8214398753,368231.8214398753,368231.8214398753,368231.8214398753,368231.8214398753,0.8999755102040818,0.0006318493907924025,10,5
32,352443.10046823166,215.86225859984185,352449.48855535174,352449.48855535174,352449.48855535174,352449.48855535174,352449.48855535174,0.8999857142857145,0.00048273395361300703,10,5
34,336753.1211588307,135.83834057214762,336755.752150342,336755.752150342,336755.752150342,336755.752150342,336755.752150342,0.8999938775510207,0.00031610261989693415,10,5
36,321285.52206432825,0.0,321285.52206432825,321285.52206432825,321285.52206432825,321285.52206432825,321285.52206432825,0.9000000000000002,2.220446049250313e-16,10,5
38,305815.2919783146,5.820766091346741e-11,305815.29197831464,305815.29197831464,305815.29197831464,305815.29197831464,305815.29197831464,0.9000000000000002,2.220446049250313e-16,10,5
40,290632.0159513242,5.820766091346741e-11,290632.01595132425,290632.01595132425,290632.01595132425,290632.01595132425,290632.01595132425,0.9000000000000002,2.220446049250313e-16,10,5
42,275492.8152423766,5.820766091346741e-11,275492.8152423765,275492.8152423765,275492.8152423765,275492.8152423765,275492.8152423765,0.9000000000000002,2.220446049250313e-16,10,5
44,260522.8045927933,2.9103830456733704e-11,260522.80459279328,260522.80459279328,260522.80459279328,260522.80459279328,260522.80459279328,0.9000000000000002,2.220446049250313e-16,10,5
46,245736.00437408878,0.0,245736.00437408878,245736.00437408878,245736.00437408878,245736.00437408878,245736.00437408878,0.9000000000000002,2.220446049250313e-16,10,5
48,230996.5128842471,2.9103830456733704e-11,230996.51288424706,230996.51288424706,230996.51288424706,230996.51288424706,230996.51288424706,0.9000000000000002,2.220446049250313e-16,10,5
50,216586.43530043957,2.9103830456733704e-11,216586.43530043954,216586.43530043954,216586.43530043954,216586.43530043954,216586.43530043954,0.9000000000000002,2.220446049250313e-16,10,5
52,202176.35771663205,0.0,202176.35771663205,202176.35771663205,202176.35771663205,202176.35771663205,202176.35771663205,0.9000000000000002,2.220446049250313e-16,10,5
54,188092.2233182751,0.0,188092.2233182751,188092.2233182751,188092.2233182751,188092.2233182751,188092.2233182751,0.9000000000000002,2.220446049250313e-16,10,5
56,174086.79841720016,5.820766091346741e-11,174086.7984172001,174086.7984172001,174086.7984172001,174086.7984172001,174086.7984172001,0.9000000000000002,2.220446049250313e-16,10,5
58,160309.68397581668,2.9103830456733704e-11,160309.68397581665,160309.68397581665,160309.68397581665,160309.68397581665,160309.68397581665,0.9000000000000002,2.220446049250313e-16,10,5
60,146741.31726769943,0.0,146741.31726769943,146741.31726769943,146741.31726769943,146741.31726769943,146741.31726769943,0.9000000000000002,2.220446049250313e-16,10,5
62,133305.60364700507,0.0,133305.60364700507,133305.60364700507,133305.60364700507,133305.60364700507,133305.60364700507,0.9000000000000002,2.220446049250313e-16,10,5
64,120212.34624364763,5.820766091346741e-11,120212.34624364757,120212.34624364757,120212.34624364757,120212.34624364757,120212.34624364757,0.9000000000000002,2.220446049250313e-16,10,5
66,107160.42552872562,1.4551915228366852e-11,107160.42552872564,107160.42552872564,107160.42552872564,107160.42552872564,107160.42552872564,0.9000000000000002,2.220446049250313e-16,10,5
68,94587.59148642764,2.9103830456733704e-11,94587.59148642761,94587.59148642761,94587.59148642761,94587.59148642761,94587.59148642761,0.9000000000000002,2.220446049250313e-16,10,5
70,82014.75744412954,1.4551915228366852e-11,82014.75744412953,82014.75744412953,82014.75744412953,82014.75744412953,82014.75744412953,0.9000000000000002,2.220446049250313e-16,10,5
72,69975.3270728666,0.0,69975.3270728666,69975.3270728666,69975.3270728666,69975.3270728666,69975.3270728666,0.9000000000000002,2.220446049250313e-16,10,5
74,57977.79436557995,7.275957614183426e-12,57977.794365579946,57977.794365579946,57977.794365579946,57977.794365579946,57977.794365579946,0.9000000000000002,2.220446049250313e-16,10,5
76,46512.40451954187,1.4551915228366852e-11,46512.40451954186,46512.40451954186,46512.40451954186,46512.40451954186,46512.40451954186,0.9000000000000002,2.220446049250313e-16,10,5
78,35158.00398783106,0.0,35158.00398783106,35158.00398783106,35158.00398783106,35158.00398783106,35158.00398783106,0.9000000000000002,2.220446049250313e-16,10,5
80,24376.941845994264,1.0913936421275139e-11,24376.941845994254,24376.941845994254,24376.941845994254,24376.941845994254,24376.941845994254,0.9000000000000002,2.220446049250313e-16,10,5
82,13751.66443942364,3.637978807091713e-12,13751.664439423635,13751.664439423635,13751.664439423635,13751.664439423635,13751.664439423635,0.9000000000000002,2.220446049250313e-16,10,5
84,3809.615919841475,4.547473508864641e-13,3809.6159198414753,3809.6159198414753,3809.6159198414753,3809.6159198414753,3809.6159198414753,0.9000000000000002,2.220446049250313e-16,10,5
86,-5973.950611038802,9.094947017729282e-13,-5973.950611038803,-5973.950611038803,-5973.950611038803,-5973.950611038803,-5973.950611038803,0.9000000000000002,2.220446049250313e-16,10,5
88,-14847.864539755561,9.094947017729282e-12,-14847.864539755552,-14847.864539755552,-14847.864539755552,-14847.864539755552,-14847.864539755552,0.9000000000000002,2.220446049250313e-16,10,5
90,-23506.398759341446,0.0,-23506.398759341446,-23506.398759341446,-23506.398759341446,-23506.398759341446,-23506.398759341446,0.9000000000000002,2.220446049250313e-16,10,5
