mu,sigma,best_v,best_ev,ev_at_35,regret_at_35,overshoot,ev_at_34,regret_at_34
10,3,16,474764.6930592296,,,6,336755.7521503419,137969.93786139583
10,5,18,444859.307441498,,,8,336753.1211588307,108045.03040890984
10,8,22,407340.1525007858,,,12,336362.85741799866,70824.46927948348
10,12,24,369448.02358021814,,,14,329595.070253953,39678.15394826507
10,20,24,319173.46699152753,,,14,298837.9024905411,20392.30381521629
10,30,20,287983.47831179167,,,10,265604.9717150648,22370.587424604688
20,3,26,394074.70880823594,,,6,336753.1211588307,57288.58187141252
20,5,28,366837.8936021602,,,8,336094.49628385354,30691.883513847424
20,8,30,333138.28329801327,,,10,324704.0570345823,8253.08731128805
20,12,32,299402.8131114844,,,12,297789.013874732,1539.879942936066
20,20,32,257377.1089226136,,,12,256278.1068077657,1176.8759387860773
20,30,26,234601.67805110844,,,6,228881.59220136088,5663.601734832046
25,3,30,355810.6840793193,,,5,336480.3750388335,19291.741933746845
25,5,32,328611.58098078513,,,7,326831.65216999437,1635.1321694058133
25,8,34,296513.2753241772,,,9,296356.8774954542,0.0
25,12,36,265646.57646082895,,,11,263070.44989258295,2552.5528843053617
25,20,36,228135.7938076451,,,11,227877.43044124264,329.0844182241999
25,30,30,209679.91664534056,,,5,207624.0577878186,1944.2671470394998
30,3,36,316257.0307685243,,,6,313708.26651199505,2521.542264359712
30,5,38,291670.8945212296,,,8,273602.3089120239,18026.361118774395
30,8,40,262049.8229393905,,,10,238341.7606785621,23560.5322947361
30,12,40,232942.9072906397,,,10,215243.40920433143,17631.011225958326
30,20,40,199954.89790912237,,,10,195555.6997258212,4441.2539904981095
30,30,32,185801.9388847127,,,2,185593.0118699757,100.02533907347242
35,3,40,280515.5282939098,,,5,142299.16955556802,138184.94747156464
35,5,42,256213.20906425588,,,7,151287.51355508922,104808.58698304772
35,8,44,228212.47255935115,,,9,156408.300033107,71678.60207994244
35,12,46,201418.5223217849,,,11,159214.6909784156,42185.05445420265
35,20,42,173218.69183533426,,,7,161555.39642623704,11672.890435396926
35,30,36,163134.1667324072,,,1,162697.2467421095,333.92544260487193
40,3,44,242129.9028096416,,,4,4389.610514421551,237628.56980467876
40,5,46,220367.0859036313,,,6,39600.16990917004,180636.14837347946
40,8,48,195160.64316400388,,,8,77388.22398775039,117695.53275322696
40,12,50,171437.61453982952,,,10,104216.44442773024,67167.57072299124
40,20,46,147862.36373071972,,,6,127691.0276880663,20150.99441272294
40,30,38,141548.576910654,,,-2,139997.05198324454,1396.8810930273612
45,3,50,208669.03982362556,,,5,-6946.45491028439,215590.91155544692
45,5,52,187239.43549735303,,,7,-876.7574938841268,188025.46287311683
45,8,54,163318.3945488165,,,9,25555.93722224129,137666.17664669972
45,12,54,142761.83952179205,,,9,58480.16499373368,84250.3608116129
45,20,50,123879.64228983772,,,5,96069.1407146312,27797.202478660925
45,30,40,121451.96296763283,,,-5,117896.72328893926,3468.2150215571164
50,3,54,173989.53322899822,,,4,-7027.138649962013,180931.0090684542
50,5,56,154864.11455297633,,,6,-6700.01870539948,161465.04725907565
50,8,58,133488.60225311393,,,8,1998.916227886783,131432.14097186417
50,12,56,115585.74691930148,,,6,26784.61025798421,88818.58257230512
50,20,52,101457.15856650758,,,2,68315.68825986992,33043.30641833528
50,30,44,102621.8411018006,,,-6,97072.42547757905,5474.542778669696
60,3,64,110130.32031693768,,,4,-7027.138649962013,117096.21854602898
60,5,66,93678.8407265676,,,6,-7027.138649962013,100636.48667136385
60,8,66,78094.65612708648,,,6,-6786.841425269963,84857.97694445417
60,12,64,66729.38843346671,,,4,-1252.1122828191524,67986.5183137942
60,20,58,61372.569107356605,,,-2,27794.910998295312,33507.07798836194
60,30,48,68928.42888167562,,,-12,60813.854464191856,8071.883337294988
