v,scenario,N,mean_pnl,std_pnl,p10,p25,p50,p75,p90
0,conservative,50,55247.23260676625,18751.130396528064,36352.663786643185,36352.663786643185,48472.335897049314,72711.68011786141,84831.35222826747
2,conservative,50,64791.78919038924,21492.587847086557,34109.73745452259,45914.61288673636,57719.48831894995,81329.23918337742,93134.11461559116
4,conservative,50,78158.92379595153,24123.23338396565,43368.41567739131,66351.41030567221,77842.90761981266,89334.40493395319,112317.39956223409
6,conservative,50,94511.10706726751,27124.54337759299,63206.77759470811,74387.69390035828,96749.52651165868,107930.44281730885,130292.2754286092
8,conservative,50,112833.27461733644,29224.141537668027,70932.48018090388,92673.15077522374,114413.8213695435,136154.49196386334,147024.82726102322
10,conservative,50,139304.11011719808,31474.3682936515,99204.32534681956,120330.60150212143,141456.87765742335,162583.15381272518,183709.42996802714
12,conservative,50,158829.65751355022,32446.818169073456,115393.48261800199,135907.40294271545,156421.32326742884,176935.2435921423,197449.1639168557
14,conservative,50,177948.1642721619,33069.49873865978,140328.33774449013,160231.95476352182,180135.5717825535,200039.1888015851,219942.80582061678
16,conservative,50,193918.4646842871,33044.32367885922,153861.28946765754,173161.7665770216,192462.24368638554,211762.7207957496,240713.43645979563
18,conservative,50,207560.49426011782,32691.813891515805,166187.96137148963,184885.29857118597,203582.6357708824,231628.641570427,250325.97877012333
20,conservative,50,224062.18356235613,31479.30016514001,186443.85336150962,204544.81821215156,222645.78306279343,240746.74791343528,267898.19518939813
22,conservative,50,230950.5799205501,30649.353774148887,187445.34117086895,213706.57706073462,231214.06765397842,248721.55824722222,266229.048840466
24,conservative,50,235083.97072870628,29601.77622600407,196340.25246393253,213256.32130265748,238630.424560745,255546.49339946994,272462.562238195
26,conservative,50,243135.4070175849,27763.14391108374,204178.51711980725,228677.65130002965,245010.4074201779,261343.16354032618,277675.9196604744
28,conservative,50,242916.81057629824,26279.990536889552,210850.15633852856,226599.5997401001,242349.04314167157,258098.48654324317,273847.9299448147
30,conservative,50,246793.23313455228,24953.82776471516,216492.38508980715,231666.32872481394,246840.27235982084,262014.21599482762,277188.1596298344
32,conservative,50,244123.5924775903,23497.151649871976,213736.73966552527,228338.0816539281,242939.42364233086,257540.76563073363,272142.1076191364
34,conservative,50,243606.72549139513,21915.623661654994,217484.13697472634,231516.09170126932,245548.04642781237,259580.00115435536,273611.9558808984
36,conservative,50,237757.89805836798,20636.397239016118,213520.10976447788,226990.7863019592,240461.46283944044,253932.13937692175,260667.47764566244
38,conservative,50,231026.62905649806,19378.16700124573,202540.105190958,215449.5035393776,234813.6010620069,241268.3002362167,254177.69858463632
40,conservative,50,227785.79521240463,17507.10347486691,204122.29761448002,216480.82880545774,228839.35999643547,241197.89118741325,247377.15678290214
42,conservative,50,218938.84453743396,16205.961986033877,198732.6048450814,210541.86798312678,216446.49955214944,228255.76269019488,240065.02582824032
44,conservative,50,209409.48351680074,15372.136077707695,187292.9368430189,198559.07034298417,209825.20384294947,221091.33734291472,226724.40409289743
46,conservative,50,199228.86880368448,14316.620338033623,181358.09866000144,192087.74961234932,197452.5750885233,208182.22604087117,218911.87699321908
48,conservative,50,188482.31394713165,13357.921424348237,169827.20395706402,180022.08877826118,190216.97359945838,200411.85842065557,205509.30083125414
50,conservative,50,180742.22668722726,12146.670823537346,163390.0491180389,173062.11933302085,182734.18954800276,187570.22465549377,197242.2948704757
52,conservative,50,169480.12041036293,11258.420851742523,156430.07967279854,161004.70747718192,170153.9630859486,179303.2186947153,183877.84649909864
54,conservative,50,157985.7046309275,10556.57478550444,144900.89029001654,149220.02359284242,157858.29019849413,166496.55680414583,170815.69010697168
56,conservative,50,146386.6213328557,9818.190737742987,133436.13203766267,141566.26531357015,145631.3319515239,153761.46522743138,157826.53186538513
58,conservative,50,134823.01163419223,9116.077893919835,122158.26738156416,129788.5507004147,133603.69235983992,141233.97567869042,145049.11733811567
60,conservative,50,125539.65204812994,8160.586959714102,114620.28587705464,121758.29285275345,125327.29634060292,132465.30331630175,136034.30680415116
62,conservative,50,114053.27796110816,7467.788823552115,103378.15815361647,110028.70159659171,113353.97331807934,120004.51676105458,123329.78848254221
64,conservative,50,102692.43962076401,6894.14539690855,92422.57542835816,98598.08005397802,101685.83236678797,107861.33699240783,110949.08930521776
66,conservative,50,93089.40003762313,6079.709740283365,84352.5633204752,90054.5288725378,92905.51164856911,98607.47720063172,101458.45997666303
68,conservative,50,82024.40516984365,5439.485836293985,73604.35825483719,78850.16656273481,81473.07071668361,86718.8790245812,89341.78317853
70,conservative,50,72279.55217453983,4614.041429182723,65250.97872106545,70040.62978479805,72435.45531666433,74830.28084853063,77225.10638039693
72,conservative,50,61275.075463364854,4176.631335352546,54740.364904883536,59093.211238592994,61269.63440544771,63446.05757230242,65622.48073915717
74,conservative,50,50418.46730860679,3713.724185773123,46225.10926456445,48183.8901147337,50142.67096490295,52101.4518150722,54060.23266524146
76,conservative,50,41063.23975171199,2984.1457280613113,37758.44492593262,39509.23684465447,41260.02876337632,43010.82068209817,44761.61260082002
78,conservative,50,30458.209057542117,2617.044235402951,27433.92199346998,28978.738392342188,30523.55479121441,32068.371190086633,33613.187588958855
80,conservative,50,21303.09968883246,1990.7622846154152,18979.975544244095,20329.217119681634,21678.458695119174,23027.700270556714,24376.941845994254
82,conservative,50,11215.360125916153,1667.6017900610666,9125.693323637795,10282.186102584252,11438.678881530715,12595.17166047718,13751.664439423635
84,conservative,50,1785.9839059925243,1387.5440432802495,-94.93670926267077,881.2014480133657,1857.3396052894022,2833.4777625654388,3809.6159198414753
86,conservative,50,-7574.621961340043,1084.2307075140493,-9168.584580305826,-8369.926087989072,-7571.267595672311,-6772.609103355557,-5973.950611038803
