bid,q_low_competition,ev_low_competition,q_central,ev_central,q_high_competition,ev_high_competition,weighted_ev_risk_adjusted,weighted_ev_conservative_delta,weighted_ev_central_delta,weighted_ev_optimistic_delta
0,0.04742587317756678,162.35654858925267,0.013576916943744367,46.47887804229087,0.0066928509242848554,22.912138532923667,62.584390298873075,62.584390298873075,119.17702277967022,370.99538453432086
5,0.11920292202211755,407.48028856735607,0.027346786796182875,93.48157231440163,0.01098694263059318,37.55749001485396,139.5040908751282,139.5040908751282,265.83673469428754,827.9749143145615
10,0.2689414213699951,917.997924168807,0.05431326613264062,185.39154478550216,0.01798620996209156,61.39367942935427,294.71346105531876,294.71346105531876,561.9921391611148,1751.2932178021924
15,0.5,1704.1875,0.10500058502026482,357.88136896844514,0.02931223075135632,99.90707448715409,549.7503068303688,549.7503068303688,1049.0559271279478,3270.799603054134
20,0.7310585786300049,2488.066490044893,0.1933213698023087,657.9451169509324,0.04742587317756678,161.40803112570134,875.0082658221552,875.0082658221552,1670.8939566101844,5212.320146074254
25,0.8807970779778823,2993.278769873086,0.32865254651727005,1116.8845977706276,0.07585818002124355,257.79454252969356,1234.436415618839,1234.436415618839,2358.9009697366364,7362.393641069758
30,0.9525741268224334,3232.441227606075,0.5,1696.6875,0.11920292202211755,404.5002155168031,1616.182060176256,1616.182060176256,3090.5530300906103,9651.01268689183
40,0.9933071490757153,3360.730575504048,0.8066786301976913,2729.2963104451137,0.2689414213699951,909.9296815277072,2309.773174781679,2309.773174781679,4423.104267014593,13826.723610430628
50,0.9990889488055994,3370.301682677089,0.9456867338673594,3190.1559858598034,0.5,1686.6875,2775.1445794653196,2775.1445794653196,5321.795022658658,16653.541125551175
60,0.9998766054240137,3362.959977767992,0.9864230830562556,3317.7107369743335,0.7310585786300049,2458.8241468996926,3069.0946081106727,3069.0946081106727,5893.866153428279,18463.158509891793
75,0.9999938558253978,3348.3544269993663,0.9983878472514738,3342.9769080406536,0.9241418199787566,3094.373366471369,3269.471349361611,3269.471349361611,6292.148691614953,19742.05591580027
100,0.9999999586006244,3323.37486241435,0.9999546021312976,3323.224125858101,0.9933071490757153,3301.132146559505,3316.626679379772,3316.626679379772,6405.965819366986,20152.495836327656
