delta_name,scenario_family,best_bid,best_ev,plateau_99,plateau_97,plateau_95
central,moderate_alt,175,6314.911420385859,"150,175,200,250","150,175,200,250,300","125,150,175,200,250,300,400,500"
central,prior_reused,100,6405.965819366987,"90,100,125,150,175","75,90,100,125,150,175,200,250,300","75,90,100,125,150,175,200,250,300,400"
central,tough_alt,250,6235.100274244751,"250,300","200,250,300,400","200,250,300,400,500"
central,very_tough_alt,300,6117.284043895348,"300,400","300,400,500","250,300,400,500"
conservative,moderate_alt,175,4369.373215602731,"150,175,200","150,175,200,250,300","125,150,175,200,250,300,400"
conservative,prior_reused,100,4455.434553756646,"90,100,125,150","75,90,100,125,150,175,200","75,90,100,125,150,175,200,250,300"
conservative,tough_alt,250,4291.169266745729,"250,300","200,250,300,400","200,250,300,400"
conservative,very_tough_alt,300,4194.751214856361,"300,400","300,400","250,300,400,500"
risk_adjusted,moderate_alt,175,3233.4805146904027,"150,175,200","150,175,200,250","125,150,175,200,250,300"
risk_adjusted,prior_reused,100,3316.626679379772,"90,100,125","75,90,100,125,150,175,200","75,90,100,125,150,175,200,250"
risk_adjusted,tough_alt,250,3156.2149198885686,250,"200,250,300","200,250,300,400"
risk_adjusted,very_tough_alt,300,3072.2900869274213,300,"250,300,400","250,300,400,500"
