scenario,scenario_label,day,product,product_label,P1_d,drawdown,fill_count,maker_share,avg_fill_size,avg_abs_position,avg_position,max_abs_position,pct_time_abs_ge_60,pct_time_abs_ge_70,pct_time_at_limit,final_position,time_to_50,time_to_70,time_to_80,pct_time_pos_ge_70,pct_time_pos_at_80,P0_d,drawdown_P0,fill_count_P0,maker_share_P0,avg_fill_size_P0,avg_abs_position_P0,pct_time_abs_ge_70_P0,pct_time_at_limit_P0,time_to_50_P0,time_to_70_P0,time_to_80_P0,Delta_d,drawdown_change,fill_count_change,maker_share_change,avg_fill_size_change,avg_abs_position_change,time_to_70_change,time_to_80_change
uniform_depth_125,Uniform depth +25%,-1,ASH_COATED_OSMIUM,ASH,23041.0,-1676.0,669.0,0.6606875934230194,6.249626307922272,40.46409614421633,39.656685027541315,80.0,0.1971957936905358,0.0772158237356034,0.02543815723585378,31.0,,,,,,22167.0,-1620.0,669.0,0.6651718983557549,5.678624813153961,41.55373059589384,0.07080620931397096,0.023535302954431646,,,,874.0,-56.0,0.0,-0.004484304932735439,0.5710014947683106,-1.0896344516775116,,
uniform_depth_125,Uniform depth +25%,-1,INTARIAN_PEPPER_ROOT,PEPPER,81305.5,-1360.0,490.0,0.3877551020408163,6.1938775510204085,72.84800240312406,72.84800240312406,80.0,0.9420246320216281,0.7054170421548013,0.32812656453389405,79.0,1400.0,5700.0,11300.0,0.7054170421548013,0.32812656453389405,81203.5,-1360.0,500.0,0.39,5.294,73.05387003104035,0.7056173024932412,0.30599779713627717,2700.0,5700.0,12600.0,102.0,0.0,-10.0,-0.0022448979591837004,0.8998775510204089,-0.20586762791629099,0.0,-1300.0
uniform_depth_125,Uniform depth +25%,-1,TOTAL,TOTAL,104346.5,-1882.5,1159.0,0.545297670405522,6.226056945642796,,,,,,,,,,,,,103370.5,-1825.5,1169.0,0.5474764756201882,5.514114627887083,,,,,,,976.0,-57.0,-10.0,-0.0021788052146661796,0.7119423177557129,,,
uniform_depth_125,Uniform depth +25%,0,ASH_COATED_OSMIUM,ASH,23530.0,-1600.0,676.0,0.6760355029585798,6.235207100591716,18.749098557692307,13.759314903846153,80.0,0.04517227564102564,0.028044871794871796,0.009915865384615384,25.0,,,,,,22848.0,-1600.0,680.0,0.6735294117647059,5.688235294117647,17.92918669871795,0.028745993589743588,0.009815705128205128,,,,682.0,0.0,-4.0,0.002506091193873905,0.546971806474069,0.8199118589743577,,
uniform_depth_125,Uniform depth +25%,0,INTARIAN_PEPPER_ROOT,PEPPER,81191.0,-1520.0,507.0,0.3668639053254438,6.347140039447732,71.25866559807653,71.25866559807653,80.0,0.9061310358645562,0.6652975355640153,0.26117010619114406,80.0,1000.0,9900.0,12600.0,0.6652975355640153,0.26117010619114406,81022.0,-1520.0,516.0,0.3701550387596899,5.457364341085271,71.38709677419355,0.6471648968142657,0.23802845121218194,1000.0,9900.0,14400.0,169.0,0.0,-9.0,-0.0032911334342461407,0.8897756983624605,-0.1284311761170187,0.0,-1800.0
uniform_depth_125,Uniform depth +25%,0,TOTAL,TOTAL,104721.0,-1850.0,1183.0,0.5435333896872359,6.283178360101437,,,,,,,,,,,,,103870.0,-1850.0,1196.0,0.5426421404682275,5.588628762541806,,,,,,,851.0,0.0,-13.0,0.0008912492190084054,0.6945495975596314,,,
uniform_depth_125,Uniform depth +25%,1,ASH_COATED_OSMIUM,ASH,22505.0,-1600.0,679.0,0.658321060382916,6.2739322533136965,23.801062337141712,19.908699138103827,80.0,0.0724594107035478,0.04279414712367208,0.01723792343154941,30.0,,,,,,21818.0,-1600.0,678.0,0.6607669616519174,5.6946902654867255,21.625275606333936,0.03788334335538184,0.016536380036079375,,,,687.0,0.0,1.0,-0.0024459012690013493,0.579241987826971,2.1757867308077756,,
uniform_depth_125,Uniform depth +25%,1,INTARIAN_PEPPER_ROOT,PEPPER,80139.5,-1680.0,515.0,0.3864077669902913,6.328155339805825,68.27954727564102,68.27954727564102,80.0,0.7788461538461539,0.5793269230769231,0.2709334935897436,75.0,14400.0,17400.0,19900.0,0.5793269230769231,0.2709334935897436,79638.0,-1680.0,523.0,0.3881453154875717,5.41491395793499,67.9678485576923,0.5441706730769231,0.22626201923076922,14400.0,19900.0,23100.0,501.5,0.0,-8.0,-0.0017375484972804167,0.9132413818708347,0.3116987179487154,-2500.0,-3200.0
uniform_depth_125,Uniform depth +25%,1,TOTAL,TOTAL,102644.5,-1720.0,1194.0,0.541038525963149,6.297319932998325,,,,,,,,,,,,,101456.0,-1710.0,1201.0,0.5420482930890924,5.57285595337219,,,,,,,1188.5,-10.0,-7.0,-0.0010097671259433616,0.724463979626135,,,
front_bias_depth_25,Front-biased depth +25%,-1,ASH_COATED_OSMIUM,ASH,23721.0,-1688.0,669.0,0.6591928251121076,6.715994020926757,39.25127691537306,38.20250375563345,80.0,0.20220330495743616,0.10615923885828743,0.027240861291937906,35.0,,,,,,22167.0,-1620.0,669.0,0.6651718983557549,5.678624813153961,41.55373059589384,0.07080620931397096,0.023535302954431646,,,,1554.0,-68.0,0.0,-0.005979073243647215,1.0373692077727954,-2.3024536805207774,,
front_bias_depth_25,Front-biased depth +25%,-1,INTARIAN_PEPPER_ROOT,PEPPER,81247.0,-1360.0,490.0,0.38571428571428573,6.742857142857143,72.53970161209573,72.53970161209573,80.0,0.92830679883849,0.6907980374486833,0.33303294282567336,78.0,1500.0,2700.0,5700.0,0.6907980374486833,0.33303294282567336,81203.5,-1360.0,500.0,0.39,5.294,73.05387003104035,0.7056173024932412,0.30599779713627717,2700.0,5700.0,12600.0,43.5,0.0,-10.0,-0.004285714285714282,1.4488571428571433,-0.514168418944621,-3000.0,-6900.0
front_bias_depth_25,Front-biased depth +25%,-1,TOTAL,TOTAL,104968.0,-1878.0,1159.0,0.543572044866264,6.727351164797239,,,,,,,,,,,,,103370.5,-1825.5,1169.0,0.5474764756201882,5.514114627887083,,,,,,,1597.5,-52.5,-10.0,-0.003904430753924215,1.2132365369101556,,,
front_bias_depth_25,Front-biased depth +25%,0,ASH_COATED_OSMIUM,ASH,24166.0,-1600.0,677.0,0.6750369276218612,6.692762186115214,20.880408653846153,16.075520833333332,80.0,0.04587339743589743,0.031850961538461536,0.008814102564102564,29.0,,,,,,22848.0,-1600.0,680.0,0.6735294117647059,5.688235294117647,17.92918669871795,0.028745993589743588,0.009815705128205128,,,,1318.0,0.0,-3.0,0.0015075158571552505,1.0045268919975667,2.9512219551282044,,
front_bias_depth_25,Front-biased depth +25%,0,INTARIAN_PEPPER_ROOT,PEPPER,81024.0,-1520.0,500.0,0.368,6.98,70.67231015828492,70.67231015828492,80.0,0.8454217591664998,0.6424564215588059,0.2693848928070527,80.0,400.0,2700.0,9900.0,0.6424564215588059,0.2693848928070527,81022.0,-1520.0,516.0,0.3701550387596899,5.457364341085271,71.38709677419355,0.6471648968142657,0.23802845121218194,1000.0,9900.0,14400.0,2.0,0.0,-16.0,-0.00215503875968992,1.5226356589147292,-0.7147866159086362,-7200.0,-4500.0
front_bias_depth_25,Front-biased depth +25%,0,TOTAL,TOTAL,105190.0,-1926.0,1177.0,0.5446049277824979,6.814783347493628,,,,,,,,,,,,,103870.0,-1850.0,1196.0,0.5426421404682275,5.588628762541806,,,,,,,1320.0,-76.0,-19.0,0.0019627873142704644,1.2261545849518223,,,
front_bias_depth_25,Front-biased depth +25%,1,ASH_COATED_OSMIUM,ASH,23147.0,-1827.0,681.0,0.6549192364170338,6.751835535976505,24.580978151934254,18.529063940669474,80.0,0.07556624574062938,0.04279414712367208,0.019342553617959512,34.0,,,,,,21818.0,-1600.0,678.0,0.6607669616519174,5.6946902654867255,21.625275606333936,0.03788334335538184,0.016536380036079375,,,,1329.0,-227.0,3.0,-0.005847725234883638,1.0571452704897792,2.9557025456003174,,
