day,bid,P0_d,Delta_d,net_gain_if_accepted,uplift_pct_vs_base,fee_roi,EV_uplift_weighted
0,0,103870.0,851.0,851.0,0.008192933474535476,,7.630811318212615
0,10,103870.0,851.0,841.0,0.008096659285645518,84.1,28.666673301944765
0,20,103870.0,851.0,831.0,0.00800038509675556,41.55,85.47560438598988
0,30,103870.0,851.0,821.0,0.007904110907865601,27.366666666666667,162.9946348244203
0,40,103870.0,851.0,811.0,0.007807836718975642,20.275,249.75694228880394
0,50,103870.0,851.0,801.0,0.007711562530085684,16.02,349.48728408526136
0,60,103870.0,851.0,791.0,0.007615288341195726,13.183333333333334,432.6422340021539
0,75,103870.0,851.0,776.0,0.007470877057860787,10.346666666666666,516.2733427389687
0,100,103870.0,851.0,751.0,0.007230191585635891,7.51,607.5578840640064
0,125,103870.0,851.0,726.0,0.0069895061134109945,5.808,643.5834189456791
0,150,103870.0,851.0,701.0,0.006748820641186098,4.673333333333333,659.8916876932559
0,175,103870.0,851.0,676.0,0.006508135168961202,3.862857142857143,660.7590050001604
0,200,103870.0,851.0,651.0,0.006267449696736305,3.255,646.3318638711049
