delta_1m,cutoff_median,cutoff_slope,best_bid,plateau95_bid
400.0,20.0,6.0,50,40
400.0,30.0,6.0,50,50
400.0,40.0,7.199999999999999,75,60
400.0,50.0,9.0,75,75
400.0,60.0,10.799999999999999,100,100
400.0,70.0,12.6,100,100
400.0,80.0,14.399999999999999,125,125
400.0,90.0,16.2,125,125
400.0,100.0,18.0,150,150
400.0,110.0,19.8,150,150
400.0,120.0,21.599999999999998,175,150
400.0,130.0,23.4,175,175
400.0,140.0,25.2,200,175
400.0,150.0,27.0,200,200
500.0,20.0,6.0,50,40
500.0,30.0,6.0,60,50
500.0,40.0,7.199999999999999,75,60
500.0,50.0,9.0,75,75
500.0,60.0,10.799999999999999,100,100
500.0,70.0,12.6,125,100
500.0,80.0,14.399999999999999,125,125
500.0,90.0,16.2,150,125
500.0,100.0,18.0,150,150
500.0,110.0,19.8,175,150
500.0,120.0,21.599999999999998,175,175
500.0,130.0,23.4,200,175
500.0,140.0,25.2,200,200
500.0,150.0,27.0,200,200
600.0,20.0,6.0,50,40
600.0,30.0,6.0,60,50
600.0,40.0,7.199999999999999,75,60
600.0,50.0,9.0,100,75
600.0,60.0,10.799999999999999,100,100
600.0,70.0,12.6,125,100
600.0,80.0,14.399999999999999,125,125
600.0,90.0,16.2,150,125
600.0,100.0,18.0,150,150
600.0,110.0,19.8,175,150
600.0,120.0,21.599999999999998,175,175
600.0,130.0,23.4,200,175
600.0,140.0,25.2,200,200
600.0,150.0,27.0,200,200
700.0,20.0,6.0,50,40
700.0,30.0,6.0,60,50
700.0,40.0,7.199999999999999,75,60
700.0,50.0,9.0,100,75
700.0,60.0,10.799999999999999,100,100
700.0,70.0,12.6,125,100
700.0,80.0,14.399999999999999,125,125
700.0,90.0,16.2,150,125
700.0,100.0,18.0,150,150
700.0,110.0,19.8,175,150
700.0,120.0,21.599999999999998,200,175
700.0,130.0,23.4,200,175
700.0,140.0,25.2,200,200
700.0,150.0,27.0,250,200
800.0,20.0,6.0,50,40
800.0,30.0,6.0,60,50
800.0,40.0,7.199999999999999,75,60
800.0,50.0,9.0,100,75
800.0,60.0,10.799999999999999,100,100
800.0,70.0,12.6,125,100
800.0,80.0,14.399999999999999,125,125
800.0,90.0,16.2,150,125
800.0,100.0,18.0,175,150
800.0,110.0,19.8,175,150
800.0,120.0,21.599999999999998,200,175
800.0,130.0,23.4,200,175
800.0,140.0,25.2,200,200
800.0,150.0,27.0,250,200
900.0,20.0,6.0,50,40
900.0,30.0,6.0,60,50
900.0,40.0,7.199999999999999,75,60
900.0,50.0,9.0,100,75
900.0,60.0,10.799999999999999,100,100
900.0,70.0,12.6,125,100
900.0,80.0,14.399999999999999,150,125
900.0,90.0,16.2,150,150
900.0,100.0,18.0,175,150
900.0,110.0,19.8,175,175
900.0,120.0,21.599999999999998,200,175
900.0,130.0,23.4,200,200
900.0,140.0,25.2,250,200
900.0,150.0,27.0,250,200
1000.0,20.0,6.0,50,40
1000.0,30.0,6.0,60,50
1000.0,40.0,7.199999999999999,75,60
1000.0,50.0,9.0,100,75
1000.0,60.0,10.799999999999999,100,100
1000.0,70.0,12.6,125,100
1000.0,80.0,14.399999999999999,150,125
1000.0,90.0,16.2,150,150
1000.0,100.0,18.0,175,150
1000.0,110.0,19.8,175,175
1000.0,120.0,21.599999999999998,200,175
1000.0,130.0,23.4,200,200
1000.0,140.0,25.2,250,200
1000.0,150.0,27.0,250,250
1100.0,20.0,6.0,50,40
