scenario,inventory_bin,mean_delta_increment,median_delta_increment,total_delta,observations
front_bias_depth_25,0-20,-3.690909090909091,0.0,-203.0,55
front_bias_depth_25,20-40,0.15265486725663716,0.0,34.5,226
front_bias_depth_25,40-50,0.28841607565011823,0.0,244.0,846
front_bias_depth_25,50-60,-0.2112086992890004,0.0,-505.0,2391
front_bias_depth_25,60-70,0.2578385590393596,0.0,1932.5,7495
front_bias_depth_25,70-80,0.22522001955729398,0.0,2533.5,11249
front_bias_depth_25,80,0.10248126130783149,0.0,793.0,7738
uniform_depth_125,0-20,-0.5818181818181818,0.0,-32.0,55
uniform_depth_125,20-40,-0.9048672566371682,0.0,-204.5,226
uniform_depth_125,40-50,0.2718676122931442,0.0,230.0,846
uniform_depth_125,50-60,-0.11083228774571309,0.0,-265.0,2391
uniform_depth_125,60-70,0.18612408272181455,0.0,1395.0,7495
uniform_depth_125,70-80,0.12947817583785226,0.0,1456.5,11249
uniform_depth_125,80,0.056280692685448434,0.0,435.5,7738
uniform_depth_trade_125,0-20,0.16363636363636364,0.0,9.0,55
uniform_depth_trade_125,20-40,0.5973451327433629,0.0,135.0,226
uniform_depth_trade_125,40-50,0.566193853427896,0.0,479.0,846
uniform_depth_trade_125,50-60,0.2998745294855709,0.0,717.0,2391
uniform_depth_trade_125,60-70,0.6802535023348899,0.0,5098.5,7495
uniform_depth_trade_125,70-80,0.8027824695528492,0.0,9030.5,11249
uniform_depth_trade_125,80,0.5198371672266736,0.0,4022.5,7738
