scenario,scenario_label,inventory_bin,pct_time
baseline,Baseline,<0,0.0
baseline,Baseline,0-20,0.001836210062431142
baseline,Baseline,20-40,0.007545154074717056
baseline,Baseline,40-50,0.028244249323940842
baseline,Baseline,50-60,0.07982505925950656
baseline,Baseline,60-70,0.25022535305311655
baseline,Baseline,70-80,0.3755550362234167
baseline,Baseline,80,0.25676893800287115
uniform_depth_125,Uniform depth +25%,<0,0.0
uniform_depth_125,Uniform depth +25%,0-20,0.0004340132874837245
uniform_depth_125,Uniform depth +25%,20-40,0.008913965212165727
uniform_depth_125,Uniform depth +25%,40-50,0.03044770139885821
uniform_depth_125,Uniform depth +25%,50-60,0.08453243414683004
uniform_depth_125,Uniform depth +25%,60-70,0.225653523854038
uniform_depth_125,Uniform depth +25%,70-80,0.3632691216238774
uniform_depth_125,Uniform depth +25%,80,0.2867492404767469
front_bias_depth_25,Front-biased depth +25%,<0,0.0
front_bias_depth_25,Front-biased depth +25%,0-20,0.0011017260374586854
front_bias_depth_25,Front-biased depth +25%,20-40,0.011184188562080593
front_bias_depth_25,Front-biased depth +25%,40-50,0.027843621673955866
front_bias_depth_25,Front-biased depth +25%,50-60,0.11401195205822455
front_bias_depth_25,Front-biased depth +25%,60-70,0.21313390979200747
front_bias_depth_25,Front-biased depth +25%,70-80,0.33816312222481887
front_bias_depth_25,Front-biased depth +25%,80,0.29456147965145396
uniform_depth_trade_125,Depth +25% + trades +25%,<0,0.0
uniform_depth_trade_125,Depth +25% + trades +25%,0-20,0.0004340132874837245
uniform_depth_trade_125,Depth +25% + trades +25%,20-40,0.012319300237038026
uniform_depth_trade_125,Depth +25% + trades +25%,40-50,0.039628751711013925
uniform_depth_trade_125,Depth +25% + trades +25%,50-60,0.10823623677094114
uniform_depth_trade_125,Depth +25% + trades +25%,60-70,0.22194771809167696
uniform_depth_trade_125,Depth +25% + trades +25%,70-80,0.33669415417487397
uniform_depth_trade_125,Depth +25% + trades +25%,80,0.28073982572697226
