scenario,scenario_label,product,product_label,P0,P1,total_pnl,pnl_per_1m,max_drawdown,avg_abs_position,avg_position,max_abs_position,pct_time_abs_ge_60,pct_time_abs_ge_70,pct_time_at_limit,daily_mean_pnl,daily_std_pnl,min_day_pnl,fill_count,maker_share,aggressive_fill_share,avg_fill_size,day_-1_pnl,day_0_pnl,day_1_pnl,time_to_50_mean,time_to_50_median,time_to_70_mean,time_to_70_median,time_to_80_mean,time_to_80_median,pct_time_pos_ge_70,pct_time_pos_at_80
baseline,Baseline,ASH_COATED_OSMIUM,ASH,,66833.0,66833.0,22277.666666666668,-1620.0,27.037633151901694,23.96614018098641,80.0,0.10288175777206399,0.0458142718803219,0.01662937856880489,22277.666666666668,523.8418972679957,21818.0,2027.0,0.6665022200296004,0.3334977799703996,5.687222496299951,22167.0,22848.0,21818.0,,,,,,,,
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,,241863.5,241863.5,80621.16666666667,-1680.0,70.80312489566988,70.80312489566988,80.0,0.8825493272794044,0.6323239742262878,0.25676893800287115,80621.16666666667,856.2698659495926,79638.0,1539.0,0.38271604938271603,0.6172839506172839,5.389863547758285,81203.5,81022.0,79638.0,6033.333333333333,2700.0,11833.333333333334,9900.0,16700.0,14400.0,0.6323239742262878,0.25676893800287115
baseline,Baseline,TOTAL,TOTAL,,308696.5,308696.5,102898.83333333333,-1850.0,,,,,,,102898.83333333333,1274.2452995139254,101456.0,3566.0,0.5440269209197981,0.4559730790802019,5.558889512058329,103370.5,103870.0,101456.0,,,,,,,,
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,,69076.0,69076.0,23025.333333333332,-1676.0,27.67262163154907,24.442982602597922,80.0,0.10495208201155375,0.04935385848332053,0.017530971382776237,23025.333333333332,512.6795620398119,22505.0,2024.0,0.6650197628458498,0.3349802371541502,6.252964426877471,23041.0,23530.0,22505.0,,,,,,,,
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,,242636.0,242636.0,80878.66666666667,-1680.0,70.79557974159516,70.79557974159516,80.0,0.8756718859546623,0.6500183621006244,0.2867492404767469,80878.66666666667,642.692059491428,80139.5,1512.0,0.3802910052910053,0.6197089947089947,6.291005291005291,81305.5,81191.0,80139.5,5600.0,1400.0,11000.0,9900.0,14600.0,12600.0,0.6500183621006244,0.2867492404767469
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,,311712.0,311712.0,103904.0,-1882.5,,,,,,,103904.0,1106.7148458388006,102644.5,3536.0,0.5432692307692307,0.4567307692307692,6.269230769230769,104346.5,104721.0,102644.5,,,,,,,,
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,,71034.0,71034.0,23678.0,-1827.0,28.238654957090862,24.270644805823622,80.0,0.10789060673857148,0.060273149230306876,0.018465956523190972,23678.0,510.8590803734431,23147.0,2027.0,0.6630488406512087,0.33695115934879133,6.720276270350271,23721.0,24166.0,23147.0,,,,,,,,
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,,242492.0,242492.0,80830.66666666667,-1680.0,70.41745401128435,70.41745401128435,80.0,0.8458585116682803,0.6327246018762728,0.29456147965145396,80830.66666666667,539.6316645021244,80221.0,1502.0,0.3781624500665779,0.6218375499334221,6.886817576564581,81247.0,81024.0,80221.0,5433.333333333333,1500.0,7600.0,2700.0,11833.333333333334,9900.0,0.6327246018762728,0.29456147965145396
front_bias_depth_25,Front-biased depth +25%,TOTAL,TOTAL,,313526.0,313526.0,104508.66666666667,-1926.0,,,,,,,104508.66666666667,994.0630429370832,103368.0,3529.0,0.5417965429300085,0.4582034570699915,6.7911589685463305,104968.0,105190.0,103368.0,,,,,,,,
uniform_depth_trade_125,Depth +25% + trades +25%,ASH_COATED_OSMIUM,ASH,,82608.0,82608.0,27536.0,-1610.0,27.70568003472802,23.40655157444819,80.0,0.1088255918789862,0.058536748255250945,0.019634687948709387,27536.0,653.9319536465549,26855.0,2024.0,0.6645256916996047,0.33547430830039526,7.069169960474309,27594.0,28159.0,26855.0,,,,,,,,
uniform_depth_trade_125,Depth +25% + trades +25%,INTARIAN_PEPPER_ROOT,PEPPER,,245580.0,245580.0,81860.0,-1680.0,69.95846826695156,69.95846826695156,80.0,0.8393816979935231,0.6174339799018462,0.28073982572697226,81860.0,365.8343204238771,81467.5,1519.0,0.380513495720869,0.619486504279131,6.850559578670178,82191.5,81921.0,81467.5,5600.0,1400.0,11000.0,9900.0,15633.333333333334,14400.0,0.6174339799018462,0.28073982572697226
uniform_depth_trade_125,Depth +25% + trades +25%,TOTAL,TOTAL,,328188.0,328188.0,109396.0,-1926.0,,,,,,,109396.0,941.2673637176633,108322.5,3543.0,0.5427603725656224,0.4572396274343776,6.975444538526673,109785.5,110080.0,108322.5,,,,,,,,
