scenario_label,delta_key,EV_125_minus_100,EV_150_minus_125,EV_175_minus_150
Escenario A — masa en 100,central,1065.2517304010166,-13.890874036323567,-25.0
Escenario A — masa en 100,conservative,628.696405889749,-18.41482835175941,-25.0
Escenario A — masa en 100,downside,517.3916442654595,-19.568262128434753,-25.0
Escenario B — masa en 125,central,741.5141925363706,717.6616332108357,-24.68021025755843
Escenario B — masa en 125,conservative,439.5460953091564,415.23077266188113,-24.812667979396338
Escenario B — masa en 125,downside,362.5558830888771,338.1225736520182,-24.846439587086593
Escenario C — masa en 150,central,5.453641239670458,944.7106780656903,484.6462582280385
Escenario C — masa en 150,conservative,3.2327623062857436,553.3710877172108,273.5496505798095
Escenario C — masa en 150,downside,2.6665238792237647,453.59459348558363,219.72816158460222
Escenario D — mezcla heterogénea,central,725.4911031566326,710.8061480643644,-12.846119997569758
Escenario D — mezcla heterogénea,conservative,429.9735946105075,411.2495670797088,-17.880287899021596
Escenario D — mezcla heterogénea,downside,354.6280335837254,334.8741984438746,-19.163806451624396
Escenario E — cola superior agresiva,central,0.8737900781408589,664.7030485788378,766.203336538487
Escenario E — cola superior agresiva,conservative,0.5179577284388681,389.3752674284234,438.50694357918303
Escenario E — cola superior agresiva,downside,0.4272342103919162,319.177307791121,354.9570087700992
Escenario F — overinsurance,central,0.0,22.410384437848585,783.8154583771795
Escenario F — overinsurance,conservative,0.0,13.127946403767677,453.3386493752607
Escenario F — overinsurance,downside,0.0,10.761282902796113,369.0798157681011
