model,delta_key,delta_value,bid,net_gain_if_accepted,uplift_pct_vs_base,fee_roi
model_kiko,Delta_conservative_mean,1005.1666666666666,100,905.1666666666666,0.008796665980987798,9.051666666666666
model_kiko,Delta_conservative_mean,1005.1666666666666,125,880.1666666666666,0.00855370890178541,7.041333333333333
model_kiko,Delta_conservative_mean,1005.1666666666666,150,855.1666666666666,0.008310751822583022,5.701111111111111
model_kiko,Delta_conservative_mean,1005.1666666666666,175,830.1666666666666,0.008067794743380634,4.7438095238095235
model_kiko,Delta_conservative_mean,1005.1666666666666,200,805.1666666666666,0.007824837664178247,4.025833333333333
model_kiko,Delta_conservative_mean,1005.1666666666666,225,780.1666666666666,0.007581880584975858,3.467407407407407
model_kiko,Delta_conservative_min,851.0,100,751.0,0.007298430659239739,7.51
model_kiko,Delta_conservative_min,851.0,125,726.0,0.007055473580037351,5.808
model_kiko,Delta_conservative_min,851.0,150,701.0,0.006812516500834963,4.673333333333333
model_kiko,Delta_conservative_min,851.0,175,676.0,0.006569559421632574,3.862857142857143
model_kiko,Delta_conservative_min,851.0,200,651.0,0.006326602342430186,3.255
model_kiko,Delta_conservative_min,851.0,225,626.0,0.0060836452632277984,2.7822222222222224
model_kiko,Delta_central_mean,1609.8333333333333,100,1509.8333333333333,0.014672987869962892,15.098333333333333
model_kiko,Delta_central_mean,1609.8333333333333,125,1484.8333333333333,0.014430030790760504,11.878666666666666
model_kiko,Delta_central_mean,1609.8333333333333,150,1459.8333333333333,0.014187073711558116,9.732222222222221
model_kiko,Delta_central_mean,1609.8333333333333,175,1434.8333333333333,0.013944116632355728,8.199047619047619
model_kiko,Delta_central_mean,1609.8333333333333,200,1409.8333333333333,0.01370115955315334,7.049166666666666
model_kiko,Delta_central_mean,1609.8333333333333,225,1384.8333333333333,0.013458202473950952,6.154814814814815
model_G5,Delta_conservative_mean,1641.5,100,1541.5,0.015221834914929544,15.415
model_G5,Delta_conservative_mean,1641.5,125,1516.5,0.014974967660389655,12.132
model_G5,Delta_conservative_mean,1641.5,150,1491.5,0.014728100405849766,9.943333333333333
model_G5,Delta_conservative_mean,1641.5,175,1466.5,0.014481233151309877,8.38
model_G5,Delta_conservative_mean,1641.5,200,1441.5,0.014234365896769989,7.2075
model_G5,Delta_conservative_mean,1641.5,225,1416.5,0.0139874986422301,6.295555555555556
model_G5,Delta_conservative_min,1457.0,100,1357.0,0.013399954576425165,13.57
model_G5,Delta_conservative_min,1457.0,125,1332.0,0.013153087321885276,10.656
