model,scenario,scenario_label,proxy_kind,product,product_label,Delta_mean,Delta_median,Delta_min,Delta_max,Delta_std,Delta_p25,fill_count_change_mean,maker_share_change_mean,avg_fill_size_change_mean,avg_abs_position_change_mean,time_to_70_change_mean,time_to_80_change_mean
model_kiko,uniform_depth_125,Uniform depth +25%,conservative,ASH_COATED_OSMIUM,ASH,747.6666666666666,687.0,682.0,874.0,109.43643512712451,684.5,-1.0,-0.0014747050026209612,0.5657384296897835,0.6353547127015405,,
model_kiko,uniform_depth_125,Uniform depth +25%,conservative,INTARIAN_PEPPER_ROOT,PEPPER,257.5,169.0,102.0,501.5,213.94917620780876,135.5,-9.0,-0.0024245266302367527,0.9009648770845681,-0.007533362028198098,-833.3333333333334,-2100.0
model_kiko,uniform_depth_125,Uniform depth +25%,conservative,TOTAL,TOTAL,1005.1666666666666,976.0,851.0,1188.5,170.6299602453606,913.5,-10.0,-0.0007657743738670453,0.7103186316471598,,,
model_kiko,front_bias_depth_25,Front-biased depth +25%,central,ASH_COATED_OSMIUM,ASH,1400.3333333333333,1329.0,1318.0,1554.0,133.19284265054685,1323.5,0.0,-0.0034397608737918675,1.0330137900867138,1.2014902734025814,,
model_kiko,front_bias_depth_25,Front-biased depth +25%,central,INTARIAN_PEPPER_ROOT,PEPPER,209.5,43.5,2.0,583.0,324.1253615501262,22.75,-12.333333333333334,-0.004575564510991966,1.4967241979456274,-0.3856799902502293,-4233.333333333333,-4866.666666666667
model_kiko,front_bias_depth_25,Front-biased depth +25%,central,TOTAL,TOTAL,1609.8333333333333,1597.5,1320.0,1912.0,296.1926456435631,1458.75,-12.333333333333334,-0.0022296714944940454,1.232125302042,,,
model_kiko,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,ASH_COATED_OSMIUM,ASH,5258.333333333333,5311.0,5037.0,5427.0,200.26316020010603,5174.0,-1.0,-0.001960463562617698,1.3818624435241702,0.6684288675773059,,
model_kiko,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,INTARIAN_PEPPER_ROOT,PEPPER,1238.8333333333333,988.0,899.0,1829.5,513.4642960648124,943.5,-6.666666666666667,-0.0021440090416376956,1.4599852666908213,-0.8446578750164851,-833.3333333333334,-1066.6666666666667
model_kiko,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,TOTAL,TOTAL,6497.166666666667,6415.0,6210.0,6866.5,335.8743564688042,6312.5,-7.666666666666667,-0.0012546911265519285,1.4163113267632195,,,
model_G5,uniform_depth_125,Uniform depth +25%,conservative,ASH_COATED_OSMIUM,ASH,671.6666666666666,741.0,427.0,847.0,218.4155061650462,584.0,-4.0,0.002293762566679014,0.5866446571405876,1.317089701724323,,
model_G5,uniform_depth_125,Uniform depth +25%,conservative,INTARIAN_PEPPER_ROOT,PEPPER,969.8333333333334,1001.5,878.0,1030.0,80.79655520709613,939.75,-18.333333333333332,0.010968372218329506,0.6162124281826227,0.11644184299458023,-3500.0,-1700.0
model_G5,uniform_depth_125,Uniform depth +25%,conservative,TOTAL,TOTAL,1641.5,1619.0,1457.0,1848.5,196.71743694954955,1538.0,-22.333333333333332,0.007581009130569065,0.6008426588631256,,,
model_G5,front_bias_depth_25,Front-biased depth +25%,central,ASH_COATED_OSMIUM,ASH,1276.3333333333333,1443.0,818.0,1568.0,401.8187817080398,1130.5,-6.333333333333333,0.003310938186655288,1.069138474658848,2.6011649847019123,,
model_G5,front_bias_depth_25,Front-biased depth +25%,central,INTARIAN_PEPPER_ROOT,PEPPER,1059.1666666666667,1001.0,656.5,1520.0,434.67871276764095,828.75,-23.666666666666668,0.011780387365304809,0.9426902532242684,-0.028722852941536797,-5200.0,-5000.0
model_G5,front_bias_depth_25,Front-biased depth +25%,central,TOTAL,TOTAL,2335.5,2338.0,2099.5,2569.0,234.75998381325553,2218.75,-30.0,0.009206139909163191,1.0377023300422825,,,
