model,sensitivity_class,bid_level,probability
model_kiko,MAF-light,100,0.2
model_kiko,MAF-light,125,0.25
model_kiko,MAF-light,150,0.25
model_kiko,MAF-light,175,0.15
model_kiko,MAF-light,200,0.08
model_kiko,MAF-light,225,0.04
model_kiko,MAF-light,250,0.02
model_kiko,MAF-light,300,0.01
model_G5,MAF-heavy,100,0.04
model_G5,MAF-heavy,125,0.1
model_G5,MAF-heavy,150,0.22
model_G5,MAF-heavy,175,0.25
model_G5,MAF-heavy,200,0.18
model_G5,MAF-heavy,225,0.11
model_G5,MAF-heavy,250,0.06
model_G5,MAF-heavy,300,0.04
model_G1,MAF-medium,100,0.1
model_G1,MAF-medium,125,0.18
model_G1,MAF-medium,150,0.27
model_G1,MAF-medium,175,0.22
model_G1,MAF-medium,200,0.12
model_G1,MAF-medium,225,0.06
model_G1,MAF-medium,250,0.03
model_G1,MAF-medium,300,0.02
model_G4,MAF-heavy,100,0.04
model_G4,MAF-heavy,125,0.1
model_G4,MAF-heavy,150,0.22
model_G4,MAF-heavy,175,0.25
model_G4,MAF-heavy,200,0.18
model_G4,MAF-heavy,225,0.11
model_G4,MAF-heavy,250,0.06
model_G4,MAF-heavy,300,0.04
model_G2,MAF-heavy,100,0.04
model_G2,MAF-heavy,125,0.1
model_G2,MAF-heavy,150,0.22
model_G2,MAF-heavy,175,0.25
model_G2,MAF-heavy,200,0.18
model_G2,MAF-heavy,225,0.11
model_G2,MAF-heavy,250,0.06
model_G2,MAF-heavy,300,0.04
model_F3,MAF-medium,100,0.1
model_F3,MAF-medium,125,0.18
model_F3,MAF-medium,150,0.27
model_F3,MAF-medium,175,0.22
model_F3,MAF-medium,200,0.12
model_F3,MAF-medium,225,0.06
model_F3,MAF-medium,250,0.03
model_F3,MAF-medium,300,0.02
noise,noise,100,0.125
noise,noise,125,0.125
noise,noise,150,0.125
noise,noise,175,0.125
noise,noise,200,0.125
noise,noise,225,0.125
noise,noise,250,0.125
noise,noise,300,0.125
