model,round,round_label,scenario,day,product,day_pnl,avg_position,avg_abs_position,max_abs_position,pct_abs_ge_60,pct_abs_ge_70,pct_at_limit
model_kiko,round_1,Round 1,baseline,-2,ASH_COATED_OSMIUM,20113.0,8.511620917651774,26.34872770987778,80.0,0.07794029252654779,0.023342015628130635,0.0039070326587858145
model_kiko,round_1,Round 1,baseline,-1,ASH_COATED_OSMIUM,22308.0,14.720424722027447,21.38054692978063,80.0,0.06060302514274266,0.03716317740158269,0.0018030652108584593
model_kiko,round_1,Round 1,baseline,0,ASH_COATED_OSMIUM,20420.0,30.243941518125375,34.81193671139595,80.0,0.23663128379731624,0.13208491888644103,0.03835369517324254
model_kiko,round_1,Round 1,baseline,-2,INTARIAN_PEPPER_ROOT,83008.0,75.88040865384616,75.88040865384616,80.0,0.9972956730769231,0.8834134615384616,0.43139022435897434
model_kiko,round_1,Round 1,baseline,-1,INTARIAN_PEPPER_ROOT,82988.0,74.55874987478714,74.55874987478714,80.0,0.9755584493639187,0.8066713412801763,0.37343483922668536
model_kiko,round_1,Round 1,baseline,0,INTARIAN_PEPPER_ROOT,81948.0,71.96793265858302,71.96793265858302,80.0,0.9160236496642951,0.6797274275979557,0.29191301733640646
model_kiko,round_1,Round 1,baseline,-2,TOTAL,103121.0,,,,,,
model_kiko,round_1,Round 1,baseline,-1,TOTAL,105296.0,,,,,,
model_kiko,round_1,Round 1,baseline,0,TOTAL,102368.0,,,,,,
model_kiko,round_2,Round 2,baseline,-1,ASH_COATED_OSMIUM,22167.0,40.50655983975964,41.55373059589384,80.0,0.19328993490235352,0.07080620931397096,0.023535302954431646
model_kiko,round_2,Round 2,baseline,0,ASH_COATED_OSMIUM,22630.0,17.268830128205128,21.615985576923077,80.0,0.061398237179487176,0.03615785256410257,0.013621794871794872
model_kiko,round_2,Round 2,baseline,1,ASH_COATED_OSMIUM,21659.0,17.997694928843455,21.63710162357186,80.0,0.07085588294247344,0.03788334335538184,0.016536380036079375
model_kiko,round_2,Round 2,baseline,-1,INTARIAN_PEPPER_ROOT,81203.5,73.05387003104035,73.05387003104035,80.0,0.9522379092820666,0.7056173024932412,0.30599779713627717
model_kiko,round_2,Round 2,baseline,0,INTARIAN_PEPPER_ROOT,81593.5,71.63905029052295,71.63905029052295,80.0,0.9115407733921058,0.6567822079743538,0.24644359847725908
model_kiko,round_2,Round 2,baseline,1,INTARIAN_PEPPER_ROOT,80687.0,68.67077323717949,68.67077323717949,80.0,0.8037860576923077,0.5636017628205128,0.2341746794871795
model_kiko,round_2,Round 2,baseline,-1,TOTAL,103370.5,,,,,,
model_kiko,round_2,Round 2,baseline,0,TOTAL,104223.5,,,,,,
model_kiko,round_2,Round 2,baseline,1,TOTAL,102346.0,,,,,,
model_G5,round_1,Round 1,baseline,-2,ASH_COATED_OSMIUM,20101.5,6.270386696052896,21.54828691644961,80.0,0.015728310959727508,0.005209376878381086,0.00010018032458425165
model_G5,round_1,Round 1,baseline,-1,ASH_COATED_OSMIUM,22204.5,5.187418611639788,21.86577181208054,64.0,0.003806471000701192,0.0,0.0
model_G5,round_1,Round 1,baseline,0,ASH_COATED_OSMIUM,20842.0,13.461045463649109,31.596635289405167,74.0,0.036050470658922494,0.002002803925495694,0.0
model_G5,round_1,Round 1,baseline,-2,INTARIAN_PEPPER_ROOT,80842.0,77.88321314102564,77.88321314102564,80.0,0.9878806089743589,0.9560296474358975,0.6779847756410257
model_G5,round_1,Round 1,baseline,-1,INTARIAN_PEPPER_ROOT,79812.0,77.01622758689773,77.01622758689773,80.0,0.9863768406290694,0.9234698988280076,0.5544425523389762
model_G5,round_1,Round 1,baseline,0,INTARIAN_PEPPER_ROOT,80224.0,76.16925543641648,76.16925543641648,80.0,0.9863713798977853,0.891271670508067,0.4930353742860006
model_G5,round_1,Round 1,baseline,-2,TOTAL,100943.5,,,,,,
