variant,label,round,total_pnl,pepper_pnl,pepper_avg_abs_position,pepper_pct_ge_70,pepper_pct_at_limit,delta_vs_baseline_total,delta_vs_baseline_pepper
baseline,Sin cambios,round_1,310785.0,247944.0,74.13604488078542,0.7899552527883523,0.3655913978494624,0.0,0.0
baseline,Sin cambios,round_2,309940.0,243484.0,71.12139017794544,0.6420058091009248,0.2622107969151671,0.0,0.0
pepper_slope_p01,PEPPER price_slope +1%,round_1,310749.0,247908.0,74.4149802978695,0.8054832030989114,0.38115274160154944,-36.0,-36.0
pepper_slope_p01,PEPPER price_slope +1%,round_2,310301.0,243845.0,71.39845758354755,0.6536573965879878,0.272693887089774,361.0,361.0
pepper_slope_p02,PEPPER price_slope +2%,round_1,310625.0,247784.0,74.8627863487611,0.8268550056768851,0.4084685767715221,-160.0,-160.0
pepper_slope_p02,PEPPER price_slope +2%,round_2,310797.0,244341.0,71.7998864888325,0.6715854839248155,0.280105498614496,857.0,857.0
pepper_slope_p05,PEPPER price_slope +5%,round_1,310169.0,247328.0,75.74570894276364,0.8646229880451479,0.4722500500901623,-616.0,-616.0
pepper_slope_p05,PEPPER price_slope +5%,round_2,312748.0,246292.0,73.30050412312623,0.7469034821219911,0.3255433512502921,2808.0,2808.0
pepper_base_update_03,PEPPER base_update_weight = 0.3,round_1,312073.0,249232.0,75.62702865157283,0.8599479062312162,0.43705336271956186,1288.0,1288.0
pepper_base_update_03,PEPPER base_update_weight = 0.3,round_2,313546.0,247090.0,73.30280773211365,0.7403598971722365,0.3180649684505726,3606.0,3606.0
pepper_base_update_04,PEPPER base_update_weight = 0.4,round_1,312480.0,249639.0,77.34047952982034,0.9423295264809991,0.5794429973953116,1695.0,1695.0
pepper_base_update_04,PEPPER base_update_weight = 0.4,round_2,316808.0,250352.0,75.55052916235435,0.8507662003805962,0.44266016759590027,6868.0,6868.0
pepper_residual_06,PEPPER residual_weight = 0.6,round_1,311877.0,249036.0,74.8850263808188,0.8245174647699192,0.402858478594804,1092.0,1092.0
pepper_residual_06,PEPPER residual_weight = 0.6,round_2,311736.0,245280.0,71.63108870563883,0.6668113377624946,0.2744967115147064,1796.0,1796.0
pepper_take_m025,PEPPER take_width = 0.75,round_1,310317.0,247476.0,74.7780004007213,0.8176718092566619,0.4013223802845121,-468.0,-468.0
pepper_take_m025,PEPPER take_width = 0.75,round_2,310150.0,243694.0,71.760157580209,0.6731879945247554,0.27703401996461124,210.0,210.0
pepper_take_p025,PEPPER take_width = 1.25,round_1,310192.0,247351.0,73.77229012222,0.7706538435851199,0.35938021772523876,-593.0,-593.0
pepper_take_p025,PEPPER take_width = 1.25,round_2,308378.0,241922.0,70.2560010683404,0.6071178179147331,0.2526958902280239,-1562.0,-1562.0
ash_edge_m5,ASH default_edge -5,round_1,310785.0,247944.0,74.13604488078542,0.7899552527883523,0.3655913978494624,0.0,0.0
ash_edge_m5,ASH default_edge -5,round_2,309940.0,243484.0,71.12139017794544,0.6420058091009248,0.2622107969151671,0.0,0.0
ash_edge_p5,ASH default_edge +5,round_1,310785.0,247944.0,74.13604488078542,0.7899552527883523,0.3655913978494624,0.0,0.0
ash_edge_p5,ASH default_edge +5,round_2,309940.0,243484.0,71.12139017794544,0.6420058091009248,0.2622107969151671,0.0,0.0
